step,temperature,objective,gradient_norm_before_clip,soft_rmse,hard_rmse,soft_attainment,hard_attainment,soft_hard_attainment_gap,soft_target_mass_in_search,categorical_entropy,hard_air_voxels_in_search,hard_background_voxels_in_search,hard_target_voxels_in_search,hard_distinct_categories_in_search,max_state_voxel_norm,predicted_hidden_voxels,truth_hidden_voxels,hidden_true_positive_voxels,hidden_precision,hidden_recall,hidden_iou,hidden_false_positive_voxels,hidden_body_0_recall,hidden_body_1_recall
0,0.5,,,0.07527794688940048,0.06987712532281876,-0.0772902654714398,0.0,-0.0772902654714398,7188.853515625,0.21378415822982788,0,161920,0,1,1.000000238418579,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
1,0.5,1.1605544090270996,0.00533379428088665,0.073926642537117,0.06987712532281876,-0.057951972059386625,0.0,-0.057951972059386625,6677.71484375,0.21401071548461914,0,161920,0,1,1.0191479921340942,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
5,0.5,1.02028489112854,0.006365992594510317,0.06967321038246155,0.06987712532281876,0.002918193034060268,0.0,0.002918193034060268,5099.171875,0.21913279592990875,0,161920,0,1,1.0879014730453491,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
10,0.5,0.912941575050354,0.007407403085380793,0.06617661565542221,0.06987712532281876,0.052957382695709154,0.0,0.052957382695709154,4039.59521484375,0.22902289032936096,0,161920,0,1,1.2689396142959595,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
15,0.5,0.8442500233650208,0.0073453099466860294,0.0637892633676529,0.06987712532281876,0.08712238700491937,0.0,0.08712238700491937,3444.56201171875,0.23502735793590546,0,161920,0,1,1.4900661706924438,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
20,0.5,0.7952648997306824,0.007069237995892763,0.06197407841682434,0.06987712532281876,0.11309919905096089,0.0,0.11309919905096089,2994.66357421875,0.23772062361240387,0,161920,0,1,1.64911949634552,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
25,0.5,0.7523040175437927,0.0072085680440068245,0.06024552509188652,0.06987712532281876,0.1378362402064497,0.0,0.1378362402064497,2610.254638671875,0.23888441920280457,0,161920,0,1,1.671526312828064,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
30,0.5,0.7021834254264832,0.008028450421988964,0.05803602933883667,0.0,0.16945596902102833,1.0,-0.8305440309789717,2294.769287109375,0.23940525949001312,0,160640,1280,2,1.5335547924041748,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
35,0.5,0.6256288290023804,0.009567134082317352,0.05433983728289604,0.0,0.22235156309226312,1.0,-0.7776484369077369,2083.4541015625,0.23970144987106323,0,160640,1280,2,1.2670875787734985,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
40,0.5,0.5002630352973938,0.009632791392505169,0.04800160974264145,0.0,0.31305689063648046,1.0,-0.6869431093635195,2009.0216064453125,0.23995928466320038,0,160640,1280,2,0.9814844727516174,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
