step,temperature,objective,gradient_norm_before_clip,soft_rmse,hard_rmse,soft_attainment,hard_attainment,soft_hard_attainment_gap,soft_target_mass_in_search,categorical_entropy,hard_air_voxels_in_search,hard_background_voxels_in_search,hard_target_voxels_in_search,hard_distinct_categories_in_search,max_state_voxel_norm,predicted_hidden_voxels,truth_hidden_voxels,hidden_true_positive_voxels,hidden_precision,hidden_recall,hidden_iou,hidden_false_positive_voxels,hidden_body_0_recall,hidden_body_1_recall
0,0.5,,,0.013240734115242958,0.007097688969224691,-0.8654993438926777,0.0,-0.8654993438926777,7188.853515625,0.21378415822982788,0,161920,0,1,1.000000238418579,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
1,0.5,3.4800877571105957,0.03440359979867935,0.013025257736444473,0.007097688969224691,-0.8351406764823726,0.0,-0.8351406764823726,7183.09228515625,0.21378926932811737,0,161920,0,1,1.0055447816848755,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
5,0.5,3.1053643226623535,0.03291776403784752,0.012361697852611542,0.007097688969224691,-0.7416511073127312,0.0,-0.7416511073127312,7126.6962890625,0.2139424830675125,0,161920,0,1,1.044521450996399,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
10,0.5,2.905519962310791,0.030066439881920815,0.012051279656589031,0.007097688969224691,-0.6979159989741619,0.0,-0.6979159989741619,7020.7236328125,0.2143246829509735,0,161920,0,1,1.1375019550323486,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
15,0.5,2.8706347942352295,0.039230670779943466,0.01198964286595583,0.007097688969224691,-0.689231934217245,0.0,-0.689231934217245,6933.6943359375,0.2147144377231598,0,161920,0,1,1.28997802734375,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
20,0.5,2.8479745388031006,0.008892177604138851,0.011976401321589947,0.007097688969224691,-0.687366320716386,0.0,-0.687366320716386,6868.39501953125,0.21498766541481018,0,161920,0,1,1.3987548351287842,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
25,0.5,2.835050106048584,0.007491726893931627,0.011944055557250977,0.007097688969224691,-0.6828090958958537,0.0,-0.6828090958958537,6821.056640625,0.21515434980392456,0,161920,0,1,1.4621093273162842,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
30,0.5,2.819620132446289,0.00579115329310298,0.011919938959181309,0.007097688969224691,-0.679411285964447,0.0,-0.679411285964447,6775.08203125,0.21526190638542175,0,161920,0,1,1.4931275844573975,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
35,0.5,2.8220157623291016,0.010739454068243504,0.011914524249732494,0.007097688969224691,-0.6786484025143138,0.0,-0.6786484025143138,6728.42919921875,0.2153370976448059,0,161920,0,1,1.5085232257843018,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
40,0.5,2.8036673069000244,0.03425004333257675,0.0118872644379735,0.007097688969224691,-0.6748077422829071,0.0,-0.6748077422829071,6689.75390625,0.21537229418754578,0,161920,0,1,1.515976905822754,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
