step,temperature,objective,gradient_norm_before_clip,soft_rmse,hard_rmse,soft_attainment,hard_attainment,soft_hard_attainment_gap,soft_target_mass_in_search,categorical_entropy,hard_air_voxels_in_search,hard_background_voxels_in_search,hard_target_voxels_in_search,hard_distinct_categories_in_search,max_state_voxel_norm,predicted_hidden_voxels,truth_hidden_voxels,hidden_true_positive_voxels,hidden_precision,hidden_recall,hidden_iou,hidden_false_positive_voxels,hidden_body_0_recall,hidden_body_1_recall
0,0.5,,,0.013240734115242958,0.007097688969224691,-0.8654993438926777,0.0,-0.8654993438926777,7522.849609375,0.20765532553195953,0,161920,0,1,1.000000238418579,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
1,0.5,1.0,0.03558877110481262,0.013234449550509453,0.007097688969224691,-0.8646139057224853,0.0,-0.8646139057224853,7522.91552734375,0.20765608549118042,0,161920,0,1,1.0053234100341797,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
5,0.5,1.0,0.044097788631916046,0.01322354655712843,0.007097688969224691,-0.8630777728448265,0.0,-0.8630777728448265,7524.40380859375,0.20767119526863098,0,161920,0,1,1.0216832160949707,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
10,0.5,1.0,0.051656607538461685,0.013290039263665676,0.007097688969224691,-0.8724459921096541,0.0,-0.8724459921096541,7527.697265625,0.20769670605659485,0,161920,0,1,1.1566945314407349,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
15,0.5,1.0,0.04329643025994301,0.013400702737271786,0.007097688969224691,-0.88803747182734,0.0,-0.88803747182734,7530.52978515625,0.20770998299121857,0,161920,0,1,1.3733254671096802,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
20,0.5,1.0,0.03371750935912132,0.013481990434229374,0.007097688969224691,-0.8994901710524046,0.0,-0.8994901710524046,7532.74267578125,0.2077132910490036,0,161920,0,1,1.5870925188064575,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
25,0.5,1.0,0.02764563076198101,0.013533622026443481,0.007097688969224691,-0.9067645940988327,0.0,-0.9067645940988327,7534.8095703125,0.2077125608921051,0,161920,0,1,1.748691439628601,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
30,0.5,1.8849003314971924,0.4584142565727234,0.013517368584871292,0.009744536131620407,-0.9044746315993961,-0.37291675838041716,-0.531557873218979,7548.5380859375,0.20773909986019135,0,161664,256,2,1.8620669841766357,256,1280,256,1.0,0.2,0.2,0,0.20000000298023224,0.20000000298023224
35,0.5,1.8849003314971924,0.8276800513267517,0.013589194044470787,0.009744536131620407,-0.9145941874028312,-0.37291675838041716,-0.541677429022414,7594.46142578125,0.20793724060058594,0,161664,256,2,1.960618257522583,256,1280,256,1.0,0.2,0.2,0,0.20000000298023224,0.20000000298023224
40,0.5,1.7464582920074463,0.24451518058776855,0.013643356040120125,0.009379853494465351,-0.9222251213426225,-0.3215362824626491,-0.6006888388799734,7641.56201171875,0.2081000655889511,0,161664,128,3,2.0551257133483887,128,1280,128,1.0,0.1,0.1,0,0.10000000149011612,0.10000000149011612
45,0.2,1.3844363689422607,0.9426944851875305,0.008936671540141106,0.008351287804543972,-0.25909596474150565,-0.17662070580365485,-0.08247525893785079,1034.91796875,0.04279535636305809,0,161664,128,3,2.189680814743042,128,1280,128,1.0,0.1,0.1,0,0.10000000149011612,0.10000000149011612
50,0.2,2.67264461517334,0.2652733027935028,0.008990258909761906,0.01054475549608469,-0.26664593908571166,-0.4856604088748251,0.21901446978911343,1078.0433349609375,0.04283831641077995,0,161024,512,5,2.3210690021514893,512,1280,384,0.75,0.3,0.2727272727272727,128,0.30000001192092896,0.30000001192092896
55,0.2,1.9393614530563354,0.12617775797843933,0.008959395810961723,0.009625453501939774,-0.2622976083918753,-0.35613909593325,0.09384148754137467,1085.673828125,0.04283490777015686,0,158720,576,8,2.4154138565063477,576,1280,384,0.6666666666666666,0.3,0.2608695652173913,192,0.30000001192092896,0.30000001192092896
60,0.2,1.736291527748108,0.11262711882591248,0.00895683467388153,0.009251103736460209,-0.26193676740669036,-0.30339660931503776,0.041459841908347395,1086.3572998046875,0.042868148535490036,0,158720,512,8,2.4799325466156006,512,1280,384,0.75,0.3,0.2727272727272727,128,0.30000001192092896,0.30000001192092896
65,0.2,1.5422790050506592,0.04541483893990517,0.008968576788902283,0.008814515545964241,-0.2635911249125862,-0.24188529311211648,-0.0217058318004697,1087.6976318359375,0.04300067946314812,0,158720,320,9,2.5219855308532715,320,1280,256,0.8,0.2,0.19047619047619047,64,0.20000000298023224,0.20000000298023224
70,0.2,1.5173866748809814,0.06985638290643692,0.009337088093161583,0.008559804409742355,-0.31551102529947994,-0.20599880423858252,-0.10951222106089742,1095.1390380859375,0.04318062216043472,0,158720,256,8,2.5492827892303467,256,1280,256,1.0,0.2,0.2,0,0.20000000298023224,0.20000000298023224
75,0.2,1.2787165641784668,0.08148384094238281,0.00980035588145256,0.009096518158912659,-0.38078125484880077,-0.28161690352378277,-0.099164351325018,1097.1182861328125,0.043311163783073425,0,158592,320,9,2.567850351333618,320,1280,256,0.8,0.2,0.19047619047619047,64,0.20000000298023224,0.20000000298023224
80,0.2,1.9056928157806396,0.055926915258169174,0.009864023886620998,0.010025154799222946,-0.3897514993106954,-0.4124533834451798,0.022701884134484374,1102.189208984375,0.043450649827718735,0,158528,320,10,2.5752296447753906,320,1280,256,0.8,0.2,0.19047619047619047,64,0.20000000298023224,0.20000000298023224
85,0.2,1.9002002477645874,0.12042058259248734,0.009567189030349255,0.009815548546612263,-0.3479301603426441,-0.38292176357291874,0.034991603230274615,1106.586669921875,0.04355084151029587,0,158464,320,9,2.633648157119751,320,1280,256,0.8,0.2,0.19047619047619047,64,0.20000000298023224,0.20000000298023224
90,0.2,2.0351054668426514,0.13533687591552734,0.009596176445484161,0.00996293406933546,-0.35201422422042117,-0.4036870469436409,0.051672822723219713,1115.744384765625,0.043661072850227356,0,158400,320,11,2.8505940437316895,320,1280,256,0.8,0.2,0.19047619047619047,64,0.20000000298023224,0.20000000298023224
95,0.2,1.8733994960784912,0.10236618667840958,0.00965358130633831,0.009431276470422745,-0.36010204845490845,-0.32878131337064787,-0.03132073508426059,1124.58740234375,0.043693121522665024,0,158336,448,9,3.024216413497925,448,1280,256,0.5714285714285714,0.2,0.17391304347826086,192,0.20000000298023224,0.20000000298023224
100,0.2,1.9917027950286865,0.09511715918779373,0.009261987172067165,0.010719598270952702,-0.30492998667971905,-0.5102941700365387,0.2053641833568196,1134.079833984375,0.043763626366853714,0,158144,1792,9,3.1384503841400146,1792,1280,320,0.17857142857142858,0.25,0.11627906976744186,1472,0.30000001192092896,0.20000000298023224
105,0.1,2.212308406829834,0.5125328302383423,0.009494362398982048,0.011061618104577065,-0.33766954851772746,-0.5584816624875812,0.22081211396985378,530.5189208984375,0.0050750249065458775,0,158016,2304,11,3.206233024597168,2304,1280,384,0.16666666666666666,0.3,0.12,1920,0.30000001192092896,0.30000001192092896
