step,temperature,objective,gradient_norm_before_clip,soft_rmse,hard_rmse,soft_attainment,hard_attainment,soft_hard_attainment_gap,soft_target_mass_in_search,categorical_entropy,hard_air_voxels_in_search,hard_background_voxels_in_search,hard_target_voxels_in_search,hard_distinct_categories_in_search,max_state_voxel_norm,predicted_hidden_voxels,truth_hidden_voxels,hidden_true_positive_voxels,hidden_precision,hidden_recall,hidden_iou,hidden_false_positive_voxels,hidden_body_0_recall,hidden_body_1_recall
0,0.5,,,0.016313809901475906,0.008885824121534824,-0.8359366197603815,0.0,-0.8359366197603815,7188.853515625,0.21378415822982788,0,161920,0,1,1.000000238418579,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
1,0.5,3.370663642883301,0.03394002094864845,0.01603316143155098,0.008885824121534824,-0.8043527772167536,0.0,-0.8043527772167536,7171.34130859375,0.21379835903644562,0,161920,0,1,1.0057659149169922,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
5,0.5,2.996105432510376,0.03289642930030823,0.015249858610332012,0.008885824121534824,-0.716200816238747,0.0,-0.716200816238747,7124.201171875,0.2139846533536911,0,161920,0,1,1.0665041208267212,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
10,0.5,2.771425485610962,0.017571469768881798,0.014754251576960087,0.008885824121534824,-0.66042579451951,0.0,-0.66042579451951,7063.4072265625,0.2143227905035019,0,161920,0,1,1.1472609043121338,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
15,0.5,2.7171220779418945,0.010892342776060104,0.01463733334094286,0.008885824121534824,-0.6472679563248651,0.0,-0.6472679563248651,7000.9150390625,0.21460531651973724,0,161920,0,1,1.3192799091339111,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
20,0.5,2.707393169403076,0.011195908300578594,0.014617704786360264,0.008885824121534824,-0.6450589823102855,0.0,-0.6450589823102855,6949.06884765625,0.2147943675518036,0,161920,0,1,1.4553602933883667,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
25,0.5,2.6807174682617188,0.02114839479327202,0.014534037560224533,0.008885824121534824,-0.6356431729276797,0.0,-0.6356431729276797,6914.53662109375,0.21492138504981995,0,161920,0,1,1.5484466552734375,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
30,0.5,2.654761791229248,0.020162129774689674,0.014454515650868416,0.008885824121534824,-0.6266938725286999,0.0,-0.6266938725286999,6892.4873046875,0.21499000489711761,0,161920,0,1,1.610509991645813,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
35,0.5,2.6286776065826416,0.012737814337015152,0.014392975717782974,0.015558452345430851,-0.6197682421939401,-0.7509295854421527,0.1311613432482126,6877.935546875,0.21503953635692596,0,161792,128,2,1.6689479351043701,128,1280,128,1.0,0.1,0.1,0,0.10000000149011612,0.10000000149011612
40,0.5,2.6120452880859375,0.010681361891329288,0.014354950748383999,0.015558452345430851,-0.6154889576977702,-0.7509295854421527,0.13544062774438248,6871.62744140625,0.2150881290435791,0,161792,128,2,1.7899961471557617,128,1280,128,1.0,0.1,0.1,0,0.10000000149011612,0.10000000149011612
45,0.2,1.9436208009719849,0.058832261711359024,0.012249957770109177,0.015558452345430851,-0.3785955700407533,-0.7509295854421527,0.37233401540139943,743.360107421875,0.046223901212215424,0,161792,128,2,1.8044562339782715,128,1280,128,1.0,0.1,0.1,0,0.10000000149011612,0.10000000149011612
50,0.2,1.71488618850708,0.0817127600312233,0.011387841776013374,0.011905916035175323,-0.28157406901796556,-0.3398775254082844,0.058303456390318864,743.4652099609375,0.045898862183094025,0,161856,0,2,1.9072476625442505,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
55,0.2,1.3256142139434814,0.05363699048757553,0.010039910674095154,0.011100691743195057,-0.12987951784499052,-0.24925854837622707,0.11937903053123655,744.6224975585938,0.0458177775144577,0,161856,0,2,1.970452904701233,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
60,0.2,1.1182078123092651,0.04744685813784599,0.009308782406151295,0.011321290396153927,-0.04759921857911076,-0.27408445646777335,0.2264852378886626,750.349609375,0.045749541372060776,0,161792,0,3,2.083099126815796,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
65,0.2,0.9812053442001343,0.04058670252561569,0.008635028265416622,0.010864241048693657,0.028224265154021877,-0.22264867052276371,0.2508729356767856,756.90966796875,0.04562525078654289,0,161792,0,3,2.1385974884033203,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
70,0.2,0.8893559575080872,0.025961311534047127,0.008317080326378345,0.0089411661028862,0.0640057452609406,-0.006228120272744775,0.07023386553368538,763.5760498046875,0.04561856761574745,0,161856,0,2,2.24275279045105,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
75,0.2,0.8287057876586914,0.01510984729975462,0.008063672110438347,0.013827234506607056,0.09252400225928281,-0.5561004041365962,0.648624406395879,769.0851440429688,0.045665059238672256,0,161792,64,3,2.3244595527648926,64,1280,64,1.0,0.05,0.05,0,0.0,0.10000000149011612
80,0.2,0.7982390522956848,0.009730448946356773,0.007927310653030872,0.013827234506607056,0.10786995729309923,-0.5561004041365962,0.6639703614296955,772.28076171875,0.045664042234420776,0,161792,64,3,2.3967578411102295,64,1280,64,1.0,0.05,0.05,0,0.0,0.10000000149011612
85,0.2,0.7871487736701965,0.007481580134481192,0.007879899814724922,0.013827234506607056,0.11320551623028874,-0.5561004041365962,0.669305920366885,772.8385009765625,0.0456012599170208,0,161792,64,3,2.44201397895813,64,1280,64,1.0,0.05,0.05,0,0.0,0.10000000149011612
90,0.2,0.7784348726272583,0.012804673053324223,0.007830671966075897,0.0129719078540802,0.11874555933441922,-0.45984296747926146,0.5785885268136807,770.4732666015625,0.04554937779903412,0,161792,64,3,2.459254741668701,64,1280,64,1.0,0.05,0.05,0,0.0,0.10000000149011612
95,0.2,0.7713533043861389,0.0052405958995223045,0.007798110134899616,0.0129719078540802,0.12241002880071972,-0.45984296747926146,0.5822529962799812,767.9453735351562,0.045511845499277115,0,161792,64,3,2.458496570587158,64,1280,64,1.0,0.05,0.05,0,0.0,0.10000000149011612
100,0.2,0.7653911113739014,0.004813117440789938,0.007768115494400263,0.0129719078540802,0.12578558970414355,-0.45984296747926146,0.585628557183405,765.920654296875,0.045469608157873154,0,161792,64,3,2.4555819034576416,64,1280,64,1.0,0.05,0.05,0,0.0,0.10000000149011612
105,0.1,1.6907724142074585,0.15298831462860107,0.011191798374056816,0.0129719078540802,-0.259511579453104,-0.45984296747926146,0.20033138802615746,47.33000564575195,0.0014847128186374903,0,161792,64,3,2.6794798374176025,64,1280,64,1.0,0.05,0.05,0,0.0,0.10000000149011612
110,0.1,1.2651143074035645,0.05861892178654671,0.009863576851785183,0.008887937292456627,-0.11003512075832922,-0.00023781372362319253,-0.10979730703470603,30.128725051879883,0.0014283083146438003,0,161856,0,2,3.013202428817749,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
115,0.1,1.1780445575714111,0.03357495740056038,0.009591741487383842,0.008887937292456627,-0.07944309455081666,-0.00023781372362319253,-0.07920528082719347,22.22896957397461,0.0013944656820967793,0,161856,0,2,3.270167589187622,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
120,0.1,1.0503746271133423,0.06465232372283936,0.008941351436078548,0.01696150377392769,-0.006248977448152893,-0.9088273121253241,0.9025783346771712,19.88265609741211,0.0013540021609514952,64,161792,0,3,3.437915325164795,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
125,0.1,0.893570601940155,0.04533974081277847,0.008336931467056274,0.01696150377392769,0.06177172167388578,-0.9088273121253241,0.9705990337992099,19.782882690429688,0.001290057203732431,64,161792,0,3,3.5424928665161133,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
130,0.1,0.8523133397102356,0.03883453086018562,0.008168801665306091,0.01696150377392769,0.08069284811647648,-0.9088273121253241,0.9895201602418006,16.782119750976562,0.001215986325405538,64,161792,0,3,3.602430820465088,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
135,0.1,0.8422756791114807,0.015521222725510597,0.008150185458362103,0.01696150377392769,0.08278789374076168,-0.9088273121253241,0.9916152058660858,14.203916549682617,0.0011632826644927263,64,161792,0,3,3.6117918491363525,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
140,0.1,0.8337634801864624,0.017396707087755203,0.008100566454231739,0.01696150377392769,0.08837195701409517,-0.9088273121253241,0.9971992691394193,12.954690933227539,0.0011259405873715878,64,161792,0,3,3.5584352016448975,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
145,0.1,0.8237015008926392,0.009722167626023293,0.008058886043727398,0.01696150377392769,0.09306262047246006,-0.9088273121253241,1.0018899325977841,12.124366760253906,0.0010914625599980354,64,161792,0,3,3.475489616394043,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
150,0.1,0.8173589110374451,0.010052255354821682,0.0080259433016181,0.01696150377392769,0.09676995719877024,-0.9088273121253241,1.0055972693240944,11.370000839233398,0.0010606641881167889,64,161792,0,3,3.3855133056640625,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
155,0.1,0.8096467852592468,0.006339584942907095,0.007985561154782772,0.01696150377392769,0.10131451561935167,-0.9088273121253241,1.0101418277446759,10.722489356994629,0.001038048998452723,64,161792,0,3,3.2996761798858643,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
160,0.1,0.7903175950050354,0.014695257879793644,0.007866483181715012,0.01696150377392769,0.11471540803395341,-0.9088273121253241,1.0235427201592775,10.291574478149414,0.0010377003345638514,64,161792,0,3,3.228888750076294,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
165,0.05,0.7805097103118896,0.11029276251792908,0.007815123535692692,0.01696150377392769,0.1204953610602405,-0.9088273121253241,1.0293226731855647,0.14222265779972076,0.00013969241990707815,64,161792,0,3,3.260348320007324,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
170,0.05,0.7716120481491089,0.023345831781625748,0.007804187014698982,0.01696150377392769,0.12172614402917237,-0.9088273121253241,1.0305534561544965,0.13834238052368164,0.00013098256022203714,64,161792,0,3,3.2732646465301514,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
175,0.05,0.769191563129425,0.017026444897055626,0.007788770366460085,0.01696150377392769,0.12346111515036928,-0.9088273121253241,1.0322884272756934,0.1354360580444336,0.00014230964006856084,64,161792,0,3,3.281045913696289,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
180,0.05,0.7680178284645081,0.026708435267210007,0.007783257402479649,0.01696150377392769,0.12408153751131556,-0.9088273121253241,1.0329088496366396,0.15075188875198364,0.00014547033060807735,64,161792,0,3,3.291934013366699,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
185,0.05,0.7665395140647888,0.013231385499238968,0.007779638282954693,0.01696150377392769,0.12448882888637047,-0.9088273121253241,1.0333161410116944,0.15202248096466064,0.0001419746840838343,64,161792,0,3,3.2927939891815186,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
190,0.05,0.7651164531707764,0.005695624276995659,0.007773767225444317,0.016673633828759193,0.1251495506641228,-0.8764307734102665,1.0015803240743892,0.16130408644676208,0.00014046559226699173,128,161728,0,3,3.293444871902466,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
195,0.05,0.7645215392112732,0.0021858930122107267,0.007769442163407803,0.016673633828759193,0.1256362879635966,-0.8764307734102665,1.0020670613738631,0.17148487269878387,0.00013873381249140948,128,161728,0,3,3.2894229888916016,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
200,0.05,0.7642475962638855,0.006064667832106352,0.007766995579004288,0.016673633828759193,0.12591162364096897,-0.8764307734102665,1.0023423970512355,0.18226300179958344,0.00013754489191342145,128,161728,0,3,3.284090280532837,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
