step,temperature,objective,gradient_norm_before_clip,soft_rmse,hard_rmse,soft_attainment,hard_attainment,soft_hard_attainment_gap,soft_target_mass_in_search,categorical_entropy,hard_air_voxels_in_search,hard_background_voxels_in_search,hard_target_voxels_in_search,hard_distinct_categories_in_search,max_state_voxel_norm,predicted_hidden_voxels,truth_hidden_voxels,hidden_true_positive_voxels,hidden_precision,hidden_recall,hidden_iou,hidden_false_positive_voxels,hidden_body_0_recall,hidden_body_1_recall
0,0.5,,,0.016313809901475906,0.008885824121534824,-0.8359366197603815,0.0,-0.8359366197603815,7522.849609375,0.20765532553195953,0,161920,0,1,1.000000238418579,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
1,0.5,1.0,0.03209160640835762,0.0163112860172987,0.008885824121534824,-0.8356525848590952,0.0,-0.8356525848590952,7522.94189453125,0.2076568603515625,0,161920,0,1,1.005599021911621,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
5,0.5,1.0,0.03960133343935013,0.016290990635752678,0.008885824121534824,-0.8333685669370168,0.0,-0.8333685669370168,7525.7626953125,0.20768707990646362,0,161920,0,1,1.0219255685806274,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
10,0.5,1.0,0.04636882245540619,0.016266893595457077,0.008885824121534824,-0.8306567148942556,0.0,-0.8306567148942556,7532.1689453125,0.20773808658123016,0,161920,0,1,1.1568694114685059,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
15,0.5,1.0,0.03887445107102394,0.0165141262114048,0.008885824121534824,-0.8584799772688232,0.0,-0.8584799772688232,7537.66796875,0.20776472985744476,0,161920,0,1,1.3734843730926514,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
20,0.5,1.0,0.030277002602815628,0.016694417223334312,0.008885824121534824,-0.8787697117339219,0.0,-0.8787697117339219,7541.94140625,0.2077714204788208,0,161920,0,1,1.5872721672058105,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
25,0.5,1.0,0.024824542924761772,0.016828471794724464,0.008885824121534824,-0.8938560525793671,0.0,-0.8938560525793671,7545.93017578125,0.20777009427547455,0,161920,0,1,1.7489097118377686,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
30,0.5,0.8053807616233826,0.054104454815387726,0.016803313046693802,0.007974405772984028,-0.8910247172201975,0.10256992892105199,-0.9935946461412495,7561.037109375,0.20779211819171906,0,161408,512,2,1.8598519563674927,512,1280,512,1.0,0.4,0.4,0,0.4000000059604645,0.4000000059604645
35,0.5,0.8053807616233826,0.09436943382024765,0.016578158363699913,0.007974405772984028,-0.8656860789673624,0.10256992892105199,-0.9682560078884144,7606.2451171875,0.20797589421272278,0,161408,512,2,1.9432549476623535,512,1280,512,1.0,0.4,0.4,0,0.4000000059604645,0.4000000059604645
40,0.5,0.8053807616233826,0.08528995513916016,0.016972944140434265,0.007776596583425999,-0.9101147972645867,0.12483113810688751,-1.034945935371474,7654.5380859375,0.20813685655593872,0,161408,384,3,2.0043580532073975,384,1280,384,1.0,0.3,0.3,0,0.30000001192092896,0.30000001192092896
