step,temperature,objective,gradient_norm_before_clip,soft_rmse,hard_rmse,soft_attainment,hard_attainment,soft_hard_attainment_gap,soft_target_mass_in_search,categorical_entropy,hard_air_voxels_in_search,hard_background_voxels_in_search,hard_target_voxels_in_search,hard_distinct_categories_in_search,max_state_voxel_norm,predicted_hidden_voxels,truth_hidden_voxels,hidden_true_positive_voxels,hidden_precision,hidden_recall,hidden_iou,hidden_false_positive_voxels,hidden_body_0_recall,hidden_body_1_recall
0,0.5,,,0.02231769822537899,0.017632273957133293,-0.26573000621681975,0.0,-0.26573000621681975,7188.853515625,0.21378415822982788,0,161920,0,1,1.000000238418579,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
1,0.5,1.6020725965499878,0.009438379667699337,0.022075461223721504,0.017632273957133293,-0.25199173273908215,0.0,-0.25199173273908215,7171.3955078125,0.21379858255386353,0,161920,0,1,1.005543828010559,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
5,0.5,1.4854884147644043,0.00956487562507391,0.02134891413152218,0.017632273957133293,-0.21078620848477048,0.0,-0.21078620848477048,7123.1728515625,0.21400819718837738,0,161920,0,1,1.0664854049682617,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
10,0.5,1.4006389379501343,0.007766394410282373,0.020823288708925247,0.017632273957133293,-0.18097579243322737,0.0,-0.18097579243322737,7057.8173828125,0.21437758207321167,0,161920,0,1,1.1524395942687988,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
15,0.5,1.3782910108566284,0.003824113868176937,0.020688604563474655,0.017632273957133293,-0.17333729125192598,0.0,-0.17333729125192598,7003.7314453125,0.2146667242050171,0,161920,0,1,1.3492878675460815,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
20,0.5,1.3723108768463135,0.007079542614519596,0.020641619339585304,0.017632273957133293,-0.1706725626977088,0.0,-0.1706725626977088,6967.232421875,0.21485339105129242,0,161920,0,1,1.5959192514419556,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
25,0.5,1.3608003854751587,0.005511093884706497,0.020547058433294296,0.017632273957133293,-0.16530961821755286,0.0,-0.16530961821755286,6946.7490234375,0.2149697244167328,0,161920,0,1,1.796614408493042,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
30,0.5,1.348291039466858,0.006786942481994629,0.020437028259038925,0.01879914663732052,-0.1590693468536395,-0.06617822993359046,-0.09289111692004903,6928.69140625,0.21504081785678864,0,161880,40,2,1.9297834634780884,40,1280,0,0.0,0.0,0.0,40,0.0,0.0
35,0.5,1.3365460634231567,0.004957047291100025,0.020370224490761757,0.024841928854584694,-0.155280625759606,-0.4088896823506234,0.2536090565910174,6912.5859375,0.21509584784507751,40,161688,192,3,2.0063836574554443,192,1280,2,0.010416666666666666,0.0015625,0.0013605442176870747,190,0.0,0.0031250000465661287
40,0.5,1.3279640674591064,0.004996639676392078,0.020310811698436737,0.026543812826275826,-0.15191107782327862,-0.5054106402162206,0.353499562392942,6903.89697265625,0.21514928340911865,40,161592,288,3,2.0418670177459717,288,1280,4,0.013888888888888888,0.003125,0.0025575447570332483,284,0.0,0.0062500000931322575
45,0.2,1.3431532382965088,0.027074940502643585,0.020223433151841164,0.026225904002785683,-0.1469554750004094,-0.4873807012382405,0.3404252262378311,805.8037109375,0.04712851345539093,80,161552,248,4,2.1789677143096924,248,1280,2,0.008064516129032258,0.0015625,0.001310615989515072,246,0.0,0.0031250000465661287
50,0.2,1.2230550050735474,0.020727159455418587,0.01939661055803299,0.02078421227633953,-0.1000629076651749,-0.17875960451097073,0.07869669684579583,811.85498046875,0.047193896025419235,0,161608,56,6,2.3841781616210938,56,1280,0,0.0,0.0,0.0,56,0.0,0.0
55,0.2,1.1182838678359985,0.01567000336945057,0.018493829295039177,0.019422657787799835,-0.04886240651662144,-0.10154015500321933,0.0526777484865979,815.5658569335938,0.04711604863405228,0,161624,40,7,2.587869644165039,40,1280,0,0.0,0.0,0.0,40,0.0,0.0
60,0.2,1.018593192100525,0.013809353113174438,0.01770797185599804,0.019688807427883148,-0.00429314443779516,-0.11663461421649846,0.1123414697787033,824.6759033203125,0.04702456668019295,0,161512,96,6,2.743987798690796,96,1280,0,0.0,0.0,0.0,96,0.0,0.0
65,0.2,0.9633244872093201,0.007746975868940353,0.017243042588233948,0.01935225911438465,0.022074938822163603,-0.09754755180374919,0.11962249062591279,835.2830810546875,0.04697030037641525,0,161472,40,8,2.8342113494873047,40,1280,0,0.0,0.0,0.0,40,0.0,0.0
70,0.2,0.940639317035675,0.004418596159666777,0.017077313736081123,0.020862000063061714,0.031474115159585314,-0.1831712752297503,0.2146453903893356,840.7282104492188,0.04694480448961258,40,161272,80,10,2.871039867401123,80,1280,0,0.0,0.0,0.0,80,0.0,0.0
75,0.2,0.9283232092857361,0.004309429321438074,0.0169665589928627,0.02318696305155754,0.037755479859775565,-0.3150296500569656,0.35278512991674116,849.2357177734375,0.04701691493391991,40,161176,96,12,2.8746023178100586,96,1280,2,0.020833333333333332,0.0015625,0.001455604075691412,94,0.0,0.0031250000465661287
80,0.2,0.918931245803833,0.004180169198662043,0.016887109726667404,0.023117972537875175,0.04226138002832169,-0.31111690948532456,0.35337828951364625,858.5323486328125,0.047062259167432785,40,161136,136,11,2.974350929260254,136,1280,2,0.014705882352941176,0.0015625,0.0014144271570014145,134,0.0,0.0031250000465661287
85,0.2,0.9097970724105835,0.003776733996346593,0.016793781891465187,0.023107614368200302,0.04755439188992905,-0.31052945436183577,0.3580838462517648,867.4043579101562,0.04710371419787407,40,161136,136,11,3.039792776107788,136,1280,2,0.014705882352941176,0.0015625,0.0014144271570014145,134,0.0,0.0031250000465661287
90,0.2,0.8965393304824829,0.004254885483533144,0.016677251085639,0.022490091621875763,0.05416334125797373,-0.27550715673727355,0.3296704979952473,878.9597778320312,0.04722005873918533,40,160968,136,11,3.0776867866516113,136,1280,2,0.014705882352941176,0.0015625,0.0014144271570014145,134,0.0,0.0031250000465661287
95,0.2,0.8892369270324707,0.003026674734428525,0.01661648228764534,0.022341273725032806,0.05760979394702548,-0.2670670714025769,0.3246768653496024,889.248291015625,0.04728790372610092,40,160968,136,10,3.0894412994384766,136,1280,2,0.014705882352941176,0.0015625,0.0014144271570014145,134,0.0,0.0031250000465661287
