step,temperature,objective,gradient_norm_before_clip,soft_rmse,hard_rmse,soft_attainment,hard_attainment,soft_hard_attainment_gap,soft_target_mass_in_search,categorical_entropy,hard_air_voxels_in_search,hard_background_voxels_in_search,hard_target_voxels_in_search,hard_distinct_categories_in_search,max_state_voxel_norm,predicted_hidden_voxels,truth_hidden_voxels,hidden_true_positive_voxels,hidden_precision,hidden_recall,hidden_iou,hidden_false_positive_voxels,hidden_body_0_recall,hidden_body_1_recall
0,0.5,,,0.02231769822537899,0.017632273957133293,-0.26573000621681975,0.0,-0.26573000621681975,7522.849609375,0.20765532553195953,0,161920,0,1,1.000000238418579,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
1,0.5,1.0,0.010972588323056698,0.022316014394164085,0.017632273957133293,-0.26563450910629394,0.0,-0.26563450910629394,7523.0673828125,0.20765812695026398,0,161920,0,1,1.0055991411209106,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
5,0.5,1.0,0.013535077683627605,0.022339103743433952,0.017632273957133293,-0.26694400267053875,0.0,-0.26694400267053875,7528.37255859375,0.2077128142118454,0,161920,0,1,1.0219265222549438,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
10,0.5,1.0,0.015850534662604332,0.022418305277824402,0.017632273957133293,-0.2714358529323371,0.0,-0.2714358529323371,7540.21142578125,0.20780518651008606,0,161920,0,1,1.1568306684494019,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
15,0.5,1.0,0.013291771523654461,0.022541970014572144,0.017632273957133293,-0.2784493973593569,0.0,-0.2784493973593569,7550.39111328125,0.20785339176654816,0,161920,0,1,1.3733932971954346,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
20,0.5,1.0,0.010352827608585358,0.02260953187942505,0.017632273957133293,-0.2822811132808063,0.0,-0.2822811132808063,7558.32958984375,0.2078654170036316,0,161920,0,1,1.587168574333191,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
25,0.5,1.0,0.008488320745527744,0.022681843489408493,0.017632273957133293,-0.286382207113584,0.0,-0.286382207113584,7565.73046875,0.20786280930042267,0,161920,0,1,1.7487876415252686,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
30,0.5,0.9104132652282715,0.01946132443845272,0.022724295035004616,0.016823936253786087,-0.28878981181047836,0.04584421188738308,-0.33463402369786144,7595.6650390625,0.20790769159793854,0,160992,928,2,1.8597438335418701,928,1280,8,0.008620689655172414,0.00625,0.0036363636363636364,920,0.0,0.012500000186264515
35,0.5,0.9104132652282715,0.034055646508932114,0.022820813581347466,0.016823936253786087,-0.29426378224546035,0.04584421188738308,-0.3401079941328434,7686.291015625,0.20827123522758484,0,160992,928,2,1.9431601762771606,928,1280,8,0.008620689655172414,0.00625,0.0036363636363636364,920,0.0,0.012500000186264515
40,0.5,0.9104132652282715,0.030610021203756332,0.023231279104948044,0.01665526069700718,-0.31754299878885583,0.0554105081682249,-0.37295350695708074,7782.2041015625,0.20858582854270935,0,160992,696,3,2.004274845123291,696,1280,6,0.008620689655172414,0.0046875,0.003045685279187817,690,0.0,0.00937500037252903
45,0.2,0.8922492861747742,0.11273249983787537,0.0204230397939682,0.016451850533485413,-0.15827600249517904,0.06694674926885025,-0.22522275176402928,1434.73388671875,0.046361591666936874,0,160992,696,3,2.0437331199645996,696,1280,6,0.008620689655172414,0.0046875,0.003045685279187817,690,0.0,0.00937500037252903
50,0.2,1.3181331157684326,0.12604264914989471,0.021761402487754822,0.02281835675239563,-0.23418014832687262,-0.29412444520034575,0.059944296873473135,1457.1048583984375,0.04640703275799751,0,160528,696,5,2.1204347610473633,696,1280,6,0.008620689655172414,0.0046875,0.003045685279187817,690,0.0,0.00937500037252903
55,0.2,1.4785254001617432,0.14078517258167267,0.020593460649251938,0.021198078989982605,-0.16794128195363434,-0.2022317167665566,0.034290434812922266,1381.566162109375,0.04648172855377197,0,160528,232,6,2.232299566268921,232,1280,2,0.008620689655172414,0.0015625,0.0013245033112582781,230,0.0,0.0031250000465661287
60,0.2,1.444453477859497,0.15136779844760895,0.020337089896202087,0.021191421896219254,-0.15340142432250126,-0.20185416513711063,0.048452740814609374,1387.1915283203125,0.04674302041530609,0,160528,232,6,2.318179130554199,232,1280,2,0.008620689655172414,0.0015625,0.0013245033112582781,230,0.0,0.0031250000465661287
65,0.2,1.5530623197555542,0.13646955788135529,0.021574947983026505,0.02112443558871746,-0.22360553355049073,-0.1980550914802104,-0.025550442070280344,1430.960205078125,0.046830225735902786,0,160296,232,6,2.4865288734436035,232,1280,2,0.008620689655172414,0.0015625,0.0013245033112582781,230,0.0,0.0031250000465661287
70,0.2,1.7976332902908325,0.19877101480960846,0.02139465883374214,0.02223639190196991,-0.21338058186685238,-0.2611187845668641,0.04773820270001172,1390.9307861328125,0.04673400893807411,0,159600,696,8,2.551003932952881,696,1280,6,0.008620689655172414,0.0046875,0.003045685279187817,690,0.0,0.00937500037252903
