step,temperature,objective,gradient_norm_before_clip,soft_rmse,hard_rmse,soft_attainment,hard_attainment,soft_hard_attainment_gap,soft_target_mass_in_search,categorical_entropy,hard_air_voxels_in_search,hard_background_voxels_in_search,hard_target_voxels_in_search,hard_distinct_categories_in_search,max_state_voxel_norm,predicted_hidden_voxels,truth_hidden_voxels,hidden_true_positive_voxels,hidden_precision,hidden_recall,hidden_iou,hidden_false_positive_voxels,hidden_body_0_recall,hidden_body_1_recall
0,0.5,,,0.017481978982686996,0.010882876813411713,-0.6063747924760812,0.0,-0.6063747924760812,7188.853515625,0.21378415822982788,0,161920,0,1,1.000000238418579,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
1,0.5,2.580440044403076,0.017804091796278954,0.017294183373451233,0.010882876813411713,-0.5891187293545792,0.0,-0.5891187293545792,7171.5009765625,0.21379609405994415,0,161920,0,1,1.000148892402649,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
5,0.5,2.4237427711486816,0.00854365061968565,0.016878893598914146,0.010882876813411713,-0.5509588032929982,0.0,-0.5509588032929982,7123.63134765625,0.21395713090896606,0,161920,0,1,1.0333747863769531,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
10,0.5,2.3713676929473877,0.003501279978081584,0.016749024391174316,0.010882876813411713,-0.53902545056224,0.0,-0.53902545056224,7051.392578125,0.21426557004451752,0,161920,0,1,1.0959336757659912,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
15,0.5,2.3678362369537354,0.002589805517345667,0.016746528446674347,0.010882876813411713,-0.5387961045407088,0.0,-0.5387961045407088,6987.75927734375,0.21452434360980988,0,161920,0,1,1.1324453353881836,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
20,0.5,2.3689823150634766,0.002373047638684511,0.016749555245041847,0.010882876813411713,-0.5390742293802522,0.0,-0.5390742293802522,6934.123046875,0.21468450129032135,0,161920,0,1,1.1555626392364502,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
25,0.5,2.3675601482391357,0.002115069655701518,0.016740843653678894,0.010882876813411713,-0.5382737433036096,0.0,-0.5382737433036096,6888.37841796875,0.21478056907653809,0,161920,0,1,1.18536376953125,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
30,0.5,2.3635342121124268,0.0014785928651690483,0.0167289599776268,0.010882876813411713,-0.5371817823951255,0.0,-0.5371817823951255,6851.2724609375,0.21484874188899994,0,161920,0,1,1.2096420526504517,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
35,0.5,2.3610424995422363,0.00094758061459288,0.016720866784453392,0.010882876813411713,-0.5364381193626235,0.0,-0.5364381193626235,6827.923828125,0.21489600837230682,0,161920,0,1,1.2204679250717163,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
40,0.5,2.359941005706787,0.0006601104978471994,0.016718236729502678,0.010882876813411713,-0.5361964502712786,0.0,-0.5361964502712786,6809.41259765625,0.21493369340896606,0,161920,0,1,1.2321103811264038,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
