step,temperature,objective,gradient_norm_before_clip,soft_rmse,hard_rmse,soft_attainment,hard_attainment,soft_hard_attainment_gap,soft_target_mass_in_search,categorical_entropy,hard_air_voxels_in_search,hard_background_voxels_in_search,hard_target_voxels_in_search,hard_distinct_categories_in_search,max_state_voxel_norm,predicted_hidden_voxels,truth_hidden_voxels,hidden_true_positive_voxels,hidden_precision,hidden_recall,hidden_iou,hidden_false_positive_voxels,hidden_body_0_recall,hidden_body_1_recall
0,0.5,,,0.017481978982686996,0.010882876813411713,-0.6063747924760812,0.0,-0.6063747924760812,7522.849609375,0.20765532553195953,0,161920,0,1,1.000000238418579,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
1,0.5,1.0,0.0,0.017481978982686996,0.010882876813411713,-0.6063747924760812,0.0,-0.6063747924760812,7522.849609375,0.20765532553195953,0,161920,0,1,1.000000238418579,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
5,0.5,1.0,0.0,0.017481978982686996,0.010882876813411713,-0.6063747924760812,0.0,-0.6063747924760812,7522.849609375,0.20765532553195953,0,161920,0,1,1.000000238418579,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
10,0.5,1.0,0.0,0.017481978982686996,0.010882876813411713,-0.6063747924760812,0.0,-0.6063747924760812,7522.849609375,0.20765532553195953,0,161920,0,1,1.000000238418579,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
15,0.5,1.0,0.0,0.017481978982686996,0.010882876813411713,-0.6063747924760812,0.0,-0.6063747924760812,7522.849609375,0.20765532553195953,0,161920,0,1,1.000000238418579,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
20,0.5,1.0,0.0,0.017481978982686996,0.010882876813411713,-0.6063747924760812,0.0,-0.6063747924760812,7522.849609375,0.20765532553195953,0,161920,0,1,1.000000238418579,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
25,0.5,1.0,0.0,0.017481978982686996,0.010882876813411713,-0.6063747924760812,0.0,-0.6063747924760812,7522.849609375,0.20765532553195953,0,161920,0,1,1.000000238418579,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
30,0.5,1.0,0.0,0.017481978982686996,0.010882876813411713,-0.6063747924760812,0.0,-0.6063747924760812,7522.849609375,0.20765532553195953,0,161920,0,1,1.000000238418579,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
35,0.5,1.0,0.0,0.017481978982686996,0.010882876813411713,-0.6063747924760812,0.0,-0.6063747924760812,7522.849609375,0.20765532553195953,0,161920,0,1,1.000000238418579,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
40,0.5,1.0,0.0,0.017481978982686996,0.010882876813411713,-0.6063747924760812,0.0,-0.6063747924760812,7522.849609375,0.20765532553195953,0,161920,0,1,1.000000238418579,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
45,0.2,1.0,0.0,0.01100916974246502,0.010882876813411713,-0.011604737535728438,0.0,-0.011604737535728438,719.266357421875,0.03941027447581291,0,161920,0,1,1.000000238418579,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
50,0.2,1.0,0.0,0.01100916974246502,0.010882876813411713,-0.011604737535728438,0.0,-0.011604737535728438,719.266357421875,0.03941027447581291,0,161920,0,1,1.000000238418579,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
55,0.2,1.0,0.0,0.01100916974246502,0.010882876813411713,-0.011604737535728438,0.0,-0.011604737535728438,719.266357421875,0.03941027447581291,0,161920,0,1,1.000000238418579,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
60,0.2,1.0,0.0,0.01100916974246502,0.010882876813411713,-0.011604737535728438,0.0,-0.011604737535728438,719.266357421875,0.03941027447581291,0,161920,0,1,1.000000238418579,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
65,0.2,1.0,0.0,0.01100916974246502,0.010882876813411713,-0.011604737535728438,0.0,-0.011604737535728438,719.266357421875,0.03941027447581291,0,161920,0,1,1.000000238418579,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
