step,temperature,objective,gradient_norm_before_clip,soft_rmse,hard_rmse,soft_attainment,hard_attainment,soft_hard_attainment_gap,soft_target_mass_in_search,categorical_entropy,hard_air_voxels_in_search,hard_background_voxels_in_search,hard_target_voxels_in_search,hard_distinct_categories_in_search,max_state_voxel_norm,predicted_hidden_voxels,truth_hidden_voxels,hidden_true_positive_voxels,hidden_precision,hidden_recall,hidden_iou,hidden_false_positive_voxels,hidden_body_0_recall,hidden_body_1_recall
0,0.5,,,0.07591039687395096,0.06987712532281876,-0.08634115274862353,0.0,-0.08634115274862353,7522.849609375,0.20765532553195953,0,161920,0,1,1.000000238418579,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
1,0.5,1.0,0.0051682088524103165,0.0756818950176239,0.06987712532281876,-0.08307110042074917,0.0,-0.08307110042074917,7527.6201171875,0.20765724778175354,0,161920,0,1,1.019148349761963,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
5,0.5,1.0,0.006921419873833656,0.07450792193412781,0.06987712532281876,-0.0662705655093232,0.0,-0.0662705655093232,7552.2001953125,0.20769746601581573,0,161920,0,1,1.0879688262939453,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
10,0.5,1.0,0.00848697405308485,0.07276532799005508,0.06987712532281876,-0.04133259137226086,0.0,-0.04133259137226086,7588.912109375,0.2077709436416626,0,161920,0,1,1.2691463232040405,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
15,0.5,1.0,0.008748793974518776,0.07123637944459915,0.06987712532281876,-0.019452061250386343,0.0,-0.019452061250386343,7621.3642578125,0.20781707763671875,0,161920,0,1,1.4841161966323853,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
20,0.5,1.0,0.008689133450388908,0.0699726864695549,0.06987712532281876,-0.0013675597886242397,0.0,-0.0013675597886242397,7648.3720703125,0.2078370898962021,0,161920,0,1,1.640380859375,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
25,0.5,1.0,0.009044970385730267,0.06869743019342422,0.06987712532281876,0.016882422165258926,0.0,0.016882422165258926,7675.810546875,0.2078419178724289,0,161920,0,1,1.6684919595718384,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
30,0.5,0.0,0.0,0.06742003560066223,0.0,0.035163005215301135,1.0,-0.9648369947846989,7703.49462890625,0.20783835649490356,0,160640,1280,2,1.6166577339172363,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
35,0.5,0.0,0.0,0.0665728971362114,0.0,0.0472862638716528,1.0,-0.9527137361283472,7721.97216796875,0.2078341841697693,0,160640,1280,2,1.5916602611541748,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
40,0.5,0.0,0.0,0.0660330131649971,0.0,0.05501245421964063,1.0,-0.9449875457803594,7733.7998046875,0.2078307718038559,0,160640,1280,2,1.5791230201721191,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
