step,temperature,objective,gradient_norm_before_clip,soft_rmse,hard_rmse,soft_attainment,hard_attainment,soft_hard_attainment_gap,soft_target_mass_in_search,categorical_entropy,hard_air_voxels_in_search,hard_background_voxels_in_search,hard_target_voxels_in_search,hard_changed_voxels_in_search,hard_non_target_changed_voxels_in_search,hard_distinct_categories_in_search,max_state_voxel_norm,predicted_hidden_voxels,truth_hidden_voxels,hidden_true_positive_voxels,hidden_precision,hidden_recall,hidden_iou,hidden_false_positive_voxels,hidden_body_0_recall,hidden_body_1_recall,hard_category_0_voxels_in_search,hard_category_1_voxels_in_search,hard_category_2_voxels_in_search,hard_category_3_voxels_in_search,hard_category_4_voxels_in_search,hard_category_5_voxels_in_search,hard_category_6_voxels_in_search,hard_category_7_voxels_in_search,hard_category_8_voxels_in_search,hard_category_9_voxels_in_search,hard_category_10_voxels_in_search,hard_category_11_voxels_in_search,hard_category_12_voxels_in_search,hard_category_13_voxels_in_search,hard_category_14_voxels_in_search
0,0.5,,,0.09010765701532364,0.05058184638619423,-0.7814228513397556,0.0,-0.7814228513397556,17001.6875,0.04480397328734398,0,161920,0,0,0,1,1.000000238418579,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.5,3.1734676361083984,0.024432513862848282,0.0854581966996193,0.05058184638619423,-0.6895033061296907,0.0,-0.6895033061296907,15982.9970703125,0.04297494888305664,0,161920,0,0,0,1,1.0191706418991089,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.5,2.2372591495513916,0.018993277102708817,0.07341834902763367,0.05058184638619423,-0.4514762562655763,0.0,-0.4514762562655763,13610.72265625,0.03840626776218414,0,161920,0,0,0,1,1.087838053703308,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.5,1.6380075216293335,0.017619721591472626,0.06238512694835663,0.05058184638619423,-0.23335013261564086,0.0,-0.23335013261564086,11884.357421875,0.03460671752691269,0,161920,0,0,0,1,1.274646282196045,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.5,1.146575689315796,0.013837619684636593,0.05263757333159447,0.05058184638619423,-0.04064159559745395,0.0,-0.04064159559745395,10387.025390625,0.03095296584069729,0,161920,0,0,0,1,1.5324512720108032,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0.5,0.9118015170097351,0.010265055112540722,0.04746818542480469,0.05058184638619423,0.06155688619226407,0.0,0.06155688619226407,9716.7333984375,0.029120473191142082,0,161920,0,0,0,1,1.793975591659546,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0.5,0.783545732498169,0.007721742615103722,0.04431921988725662,0.05058184638619423,0.12381174168934495,0.0,0.12381174168934495,9325.126953125,0.028015481308102608,0,161920,0,0,0,1,2.0089612007141113,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0.5,0.7393826842308044,0.006249651312828064,0.04344342276453972,0.0073488568887114525,0.14112619707774976,0.854713550142028,-0.7135873530642782,9350.3662109375,0.027972156181931496,0,160496,1424,1424,0,2,2.1586594581604004,1424,1280,1216,0.8539325842696629,0.95,0.8172043010752689,208,0.949999988079071,0.949999988079071,0,160496,0,0,0,0,0,0,0,0,1424,0,0,0,0
35,0.5,0.7287254333496094,0.0054375603795051575,0.04306800290942192,0.012538956478238106,0.14854822458246864,0.752105599655206,-0.6035573750727373,9426.1240234375,0.028083251789212227,0,160272,1648,1648,0,2,2.2440593242645264,1648,1280,1264,0.7669902912621359,0.9875,0.7596153846153846,384,0.987500011920929,0.987500011920929,0,160272,0,0,0,0,0,0,0,0,1648,0,0,0,0
40,0.5,0.7091867923736572,0.004766697995364666,0.04247595742344856,0.01489656325429678,0.16025292751982423,0.7054958583251196,-0.5452429308052954,9416.552734375,0.028002845123410225,0,160176,1744,1744,0,2,2.273655652999878,1744,1280,1264,0.7247706422018348,0.9875,0.7181818181818181,480,0.987500011920929,0.987500011920929,0,160176,0,0,0,0,0,0,0,0,1744,0,0,0,0
45,0.2,0.026119329035282135,0.003770821262151003,0.007855523377656937,0.01489656325429678,0.8446967847381504,0.7054958583251196,0.13920092641303072,1415.995849609375,0.0017725125653669238,0,160176,1744,1744,0,2,2.2525155544281006,1744,1280,1264,0.7247706422018348,0.9875,0.7181818181818181,480,0.987500011920929,0.987500011920929,0,160176,0,0,0,0,0,0,0,0,1744,0,0,0,0
50,0.2,0.018555868417024612,0.0022524099331349134,0.006702012848109007,0.01489656325429678,0.8675016171426623,0.7054958583251196,0.16200575881754264,1456.3642578125,0.0017003981629386544,0,160176,1744,1744,0,2,2.2332353591918945,1744,1280,1264,0.7247706422018348,0.9875,0.7181818181818181,480,0.987500011920929,0.987500011920929,0,160176,0,0,0,0,0,0,0,0,1744,0,0,0,0
55,0.2,0.014203363098204136,0.0016916767926886678,0.005868019536137581,0.01065037865191698,0.8839896137571761,0.7894426674225976,0.0945469463345785,1461.780517578125,0.0016447178786620498,0,160336,1584,1584,0,2,2.2708916664123535,1584,1280,1264,0.797979797979798,0.9875,0.79,320,0.987500011920929,0.987500011920929,0,160336,0,0,0,0,0,0,0,0,1584,0,0,0,0
60,0.2,0.010772014036774635,0.0013207076117396355,0.005104751326143742,0.008959795348346233,0.8990793794443805,0.8228653956216254,0.07621398382275513,1444.62548828125,0.0016009554965421557,0,160400,1520,1520,0,2,2.315804958343506,1520,1280,1264,0.8315789473684211,0.9875,0.8229166666666666,256,0.987500011920929,0.987500011920929,0,160400,0,0,0,0,0,0,0,0,1520,0,0,0,0
65,0.2,0.00822670292109251,0.0010099363280460238,0.004476508591324091,0.005918798968195915,0.9114996997708271,0.8829857075005592,0.028513992270267963,1421.4014892578125,0.001563676749356091,0,160496,1424,1424,0,2,2.3575692176818848,1424,1280,1264,0.8876404494382022,0.9875,0.8777777777777778,160,0.987500011920929,0.987500011920929,0,160496,0,0,0,0,0,0,0,0,1424,0,0,0,0
70,0.2,0.006562766619026661,0.0008308454998768866,0.004016635473817587,0.0012882105074822903,0.9205913630919988,0.9745321572951933,-0.05394079420319442,1403.29541015625,0.001530107925646007,0,160640,1280,1280,0,2,2.3891384601593018,1280,1280,1264,0.9875,0.9875,0.9753086419753086,16,0.987500011920929,0.987500011920929,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
75,0.2,0.005429273471236229,0.0007329853251576424,0.0036606639623641968,0.0006401594146154821,0.927628898035574,0.9873440876450448,-0.059715189609470753,1394.31103515625,0.0014996365644037724,0,160656,1264,1264,0,2,2.4087393283843994,1264,1280,1264,1.0,0.9875,0.9875,0,0.987500011920929,0.987500011920929,0,160656,0,0,0,0,0,0,0,0,1264,0,0,0,0
80,0.2,0.00454661576077342,0.0006371532799676061,0.003351725870743394,0.0006401594146154821,0.9337365851544278,0.9873440876450448,-0.053607502490616965,1393.213623046875,0.0014719587052240968,0,160656,1264,1264,0,2,2.41800594329834,1264,1280,1264,1.0,0.9875,0.9875,0,0.987500011920929,0.987500011920929,0,160656,0,0,0,0,0,0,0,0,1264,0,0,0,0
85,0.2,0.0038332678377628326,0.0005350876017473638,0.003080998547375202,0.0,0.9390888477290515,1.0,-0.060911152270948454,1396.506103515625,0.0014466170687228441,0,160640,1280,1280,0,2,2.420576572418213,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
90,0.2,0.003279097843915224,0.0004489100247155875,0.002854789374396205,0.0,0.9435609892015451,1.0,-0.056439010798454925,1400.759765625,0.0014232234098017216,0,160640,1280,1280,0,2,2.421125888824463,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
95,0.2,0.0028565176762640476,0.00038757961010560393,0.002668929286301136,0.0,0.9472354317411871,1.0,-0.05276456825881293,1403.81591796875,0.0014015366323292255,0,160640,1280,1280,0,2,2.4162778854370117,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
100,0.2,0.0025246660225093365,0.00034355506068095565,0.0025119492784142494,0.0,0.9503389168668256,1.0,-0.04966108313317441,1404.960693359375,0.0013813910773023963,0,160640,1280,1280,0,2,2.407122850418091,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
105,0.1,0.000371902366168797,0.00031508406391367316,0.0009220234351232648,0.0,0.9817716532511767,1.0,-0.018228346748823343,1304.8646240234375,0.00022853924019727856,0,160640,1280,1280,0,2,2.390493392944336,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
110,0.1,0.0002034813805948943,0.00018435207311995327,0.0006780701223760843,0.0,0.9865945952783338,1.0,-0.013405404721666181,1296.195068359375,0.00021161050244700164,0,160640,1280,1280,0,2,2.3698174953460693,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
115,0.1,0.00011394986358936876,9.786207374418154e-05,0.0005144822644069791,0.0,0.9898287171947246,1.0,-0.01017128280527535,1289.1748046875,0.0001991020399145782,0,160640,1280,1280,0,2,2.3503458499908447,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
120,0.1,7.703989103902131e-05,5.153581514605321e-05,0.0004327452334109694,0.0,0.9914446532831771,1.0,-0.008555346716822898,1284.3194580078125,0.00019045043154619634,0,160640,1280,1280,0,2,2.334207773208618,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
125,0.1,6.380446575349197e-05,3.6852419725619256e-05,0.00039951468352228403,0.0,0.9921016192158749,1.0,-0.00789838078412508,1281.3739013671875,0.00018446649482939392,0,160640,1280,1280,0,2,2.321704387664795,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
130,0.1,5.82427965127863e-05,3.655083855846897e-05,0.0003831871727015823,0.0,0.992424413103153,1.0,-0.007575586896847009,1279.89208984375,0.0001801389444153756,0,160640,1280,1280,0,2,2.3123419284820557,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
135,0.1,5.410974699771032e-05,3.612624641391449e-05,0.00036924821324646473,0.0,0.9926999854764644,1.0,-0.0073000145235355696,1279.4127197265625,0.00017681696044746786,0,160640,1280,1280,0,2,2.305391788482666,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
