step,temperature,objective,gradient_norm_before_clip,soft_rmse,hard_rmse,soft_attainment,hard_attainment,soft_hard_attainment_gap,soft_target_mass_in_search,categorical_entropy,hard_air_voxels_in_search,hard_background_voxels_in_search,hard_target_voxels_in_search,hard_changed_voxels_in_search,hard_non_target_changed_voxels_in_search,hard_distinct_categories_in_search,max_state_voxel_norm,predicted_hidden_voxels,truth_hidden_voxels,hidden_true_positive_voxels,hidden_precision,hidden_recall,hidden_iou,hidden_false_positive_voxels,hidden_body_0_recall,hidden_body_1_recall,hard_category_0_voxels_in_search,hard_category_1_voxels_in_search,hard_category_2_voxels_in_search,hard_category_3_voxels_in_search,hard_category_4_voxels_in_search,hard_category_5_voxels_in_search,hard_category_6_voxels_in_search,hard_category_7_voxels_in_search,hard_category_8_voxels_in_search,hard_category_9_voxels_in_search,hard_category_10_voxels_in_search,hard_category_11_voxels_in_search,hard_category_12_voxels_in_search,hard_category_13_voxels_in_search,hard_category_14_voxels_in_search
0,0.5,,,0.09010765701532364,0.05058184638619423,-0.7814228513397556,0.0,-0.7814228513397556,17001.6875,0.04480397328734398,0,161920,0,0,0,1,1.000000238418579,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.5,1.0,0.012313074432313442,0.09033825248479843,0.05058184638619423,-0.785981709624884,0.0,-0.785981709624884,17145.29296875,0.045053232461214066,0,161920,0,0,0,1,1.0191714763641357,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.5,1.0,0.018005695194005966,0.09225181490182877,0.05058184638619423,-0.8238127212178619,0.0,-0.8238127212178619,17972.29296875,0.046338412910699844,0,161920,0,0,0,1,1.0878089666366577,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.5,1.0,0.025375060737133026,0.09909241646528244,0.05058184638619423,-0.9590509944755328,0.0,-0.9590509944755328,19546.71875,0.0482143834233284,0,161920,0,0,0,1,1.275342345237732,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.5,1.0,0.027819203212857246,0.11138349026441574,0.05058184638619423,-1.202044769461335,0.0,-1.202044769461335,21375.4921875,0.04970954358577728,0,161920,0,0,0,1,1.5407373905181885,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0.5,1.0,0.026235442608594894,0.1254945993423462,0.05058184638619423,-1.4810205302548742,0.0,-1.4810205302548742,23077.869140625,0.05061408504843712,0,161920,0,0,0,1,1.8227295875549316,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0.5,1.0,0.023745693266391754,0.13882172107696533,0.05058184638619423,-1.7444969093665832,0.0,-1.7444969093665832,24550.33203125,0.051092956215143204,0,161920,0,0,0,1,2.0640246868133545,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0.5,0.8615229725837708,0.020364336669445038,0.13537253439426422,0.040021758526563644,-1.6763067002475558,0.2087722891529884,-1.8850789894005442,24071.7421875,0.050485238432884216,0,159152,2768,2768,0,2,2.239703893661499,2768,1280,1280,0.4624277456647399,1.0,0.4624277456647399,1488,1.0,1.0,0,159152,0,0,0,0,0,0,0,0,2768,0,0,0,0
35,0.5,0.14470495283603668,0.007729445118457079,0.12945686280727386,0.01594569720327854,-1.5593542358826924,0.684754544515189,-2.244108780397881,23370.16015625,0.04997368901968002,0,160128,1792,1792,0,2,2.3629534244537354,1792,1280,1264,0.7053571428571429,0.9875,0.6991150442477876,528,0.987500011920929,0.987500011920929,0,160128,0,0,0,0,0,0,0,0,1792,0,0,0,0
40,0.5,0.028108498081564903,0.002800585702061653,0.12540698051452637,0.008480344898998737,-1.4792883114040465,0.8323441015922788,-2.3116324129963255,22901.9921875,0.04966633394360542,0,160448,1472,1472,0,2,2.447913408279419,1472,1280,1216,0.8260869565217391,0.95,0.7916666666666666,256,0.949999988079071,0.949999988079071,0,160448,0,0,0,0,0,0,0,0,1472,0,0,0,0
45,0.2,0.013042260892689228,0.004913489334285259,0.06863229721784592,0.005776583217084408,-0.3568563055969891,0.8857973041754944,-1.2426536097724834,6539.74560546875,0.012583926320075989,0,160816,1104,1104,0,2,2.5046145915985107,1104,1280,1104,1.0,0.8625,0.8625,0,0.862500011920929,0.862500011920929,0,160816,0,0,0,0,0,0,0,0,1104,0,0,0,0
50,0.2,0.013042259030044079,0.0048194569535553455,0.06640471518039703,0.004948764108121395,-0.31281714537256367,0.9021632371753019,-1.2149803825478656,6350.92626953125,0.012389404699206352,0,160788,1132,1132,0,2,2.5406973361968994,1132,1280,1132,1.0,0.884375,0.884375,0,0.8812500238418579,0.887499988079071,0,160788,0,0,0,0,0,0,0,0,1132,0,0,0,0
55,0.2,0.0005376015906222165,0.0008852866012603045,0.06636231392621994,0.0011728020617738366,-0.31197887517868117,0.9768137751868635,-1.2887926503655447,6339.82958984375,0.012317716144025326,0,160672,1248,1248,0,2,2.5931525230407715,1248,1280,1248,1.0,0.975,0.975,0,0.9750000238418579,0.9750000238418579,0,160672,0,0,0,0,0,0,0,0,1248,0,0,0,0
60,0.2,0.0001601722469786182,0.00042689856491051614,0.0667557343840599,0.0006401594146154821,-0.3197567734949305,0.9873440876450448,-1.3071008611399753,6365.03125,0.012288248166441917,0,160656,1264,1264,0,2,2.678679943084717,1264,1280,1264,1.0,0.9875,0.9875,0,0.987500011920929,0.987500011920929,0,160656,0,0,0,0,0,0,0,0,1264,0,0,0,0
65,0.2,1.2041537903988565e-15,6.577577371658094e-10,0.06710883975028992,0.0,-0.3267376449232695,1.0,-1.3267376449232695,6388.4482421875,0.012273414060473442,0,160640,1280,1280,0,2,2.739084005355835,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
70,0.2,0.000396073010051623,0.0007436525193043053,0.06730754673480988,0.0010984938126057386,-0.3306660698171102,0.9782828447143131,-1.3089489145314235,6401.26416015625,0.01226318720728159,0,160608,1312,1312,0,2,2.775909900665283,1312,1280,1280,0.975609756097561,1.0,0.975609756097561,32,1.0,1.0,0,160608,0,0,0,0,0,0,0,0,1312,0,0,0,0
75,0.2,0.000583613000344485,0.0009229158749803901,0.06712257862091064,0.0010984938126057386,-0.3270092615525999,0.9782828447143131,-1.3052921062669132,6385.490234375,0.012244547717273235,0,160608,1312,1312,0,2,2.788891315460205,1312,1280,1280,0.975609756097561,1.0,0.975609756097561,32,1.0,1.0,0,160608,0,0,0,0,0,0,0,0,1312,0,0,0,0
80,0.2,1.0945183985083514e-15,5.954766679749923e-10,0.06670735776424408,0.0,-0.3188003706889422,1.0,-1.3188003706889422,6352.6337890625,0.012220828793942928,0,160640,1280,1280,0,2,2.78658127784729,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
85,0.2,1.2728863847829251e-15,6.275036046332616e-10,0.06644073128700256,0.0,-0.31352918159066734,1.0,-1.3135291815906673,6331.5390625,0.012205630540847778,0,160640,1280,1280,0,2,2.7853875160217285,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
90,0.2,1.4808655841023251e-15,7.111652378100075e-10,0.06627833843231201,0.0,-0.3103186848157835,1.0,-1.3103186848157835,6318.68115234375,0.01219630241394043,0,160640,1280,1280,0,2,2.7846615314483643,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
95,0.2,1.1418130125138873e-15,6.123800355695153e-10,0.06617962568998337,0.0,-0.3083671399556973,1.0,-1.3083671399556973,6310.861328125,0.012190605513751507,0,160640,1280,1280,0,2,2.7842206954956055,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
100,0.2,1.1716251841254496e-15,6.226611448667541e-10,0.0661197230219841,0.0,-0.30718286788421323,1.0,-1.3071828678842132,6306.115234375,0.012187139131128788,0,160640,1280,1280,0,2,2.7839531898498535,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
105,0.1,1.1883398970318555e-15,1.1203695748918108e-09,0.03968982771039009,0.0,0.2153345410257107,1.0,-0.7846654589742893,3710.31298828125,0.006330389995127916,0,160640,1280,1280,0,2,2.7837915420532227,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
110,0.1,1.1002909280438894e-15,1.0174907583149206e-09,0.039661068469285965,0.0,0.21590310945804014,1.0,-0.7840968905419599,3708.136962890625,0.0063279857859015465,0,160640,1280,1280,0,2,2.783693313598633,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
115,0.1,1.1421742720658912e-15,1.0547105411262692e-09,0.03964368999004364,0.0,0.21624668092653976,1.0,-0.7837533190734602,3706.82177734375,0.006326532457023859,0,160640,1280,1280,0,2,2.7836339473724365,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
120,0.1,9.722718507035322e-16,9.642899811979078e-10,0.03963319584727287,0.0,0.21645414948533137,1.0,-0.7835458505146686,3706.02783203125,0.006325654685497284,0,160640,1280,1280,0,2,2.783597946166992,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
125,0.1,1.2746699185324875e-15,1.1464932336835432e-09,0.039626866579055786,0.0,0.2165792787297003,1.0,-0.7834207212702997,3705.548828125,0.006325125228613615,0,160640,1280,1280,0,2,2.783576250076294,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
130,0.1,9.875980648511515e-16,9.755823926482776e-10,0.03962305188179016,0.0,0.21665469506062063,1.0,-0.7833453049393794,3705.260009765625,0.006324805784970522,0,160640,1280,1280,0,2,2.7835631370544434,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
