step,temperature,objective,gradient_norm_before_clip,soft_rmse,hard_rmse,soft_attainment,hard_attainment,soft_hard_attainment_gap,soft_target_mass_in_search,categorical_entropy,hard_air_voxels_in_search,hard_background_voxels_in_search,hard_target_voxels_in_search,hard_changed_voxels_in_search,hard_non_target_changed_voxels_in_search,hard_distinct_categories_in_search,max_state_voxel_norm,predicted_hidden_voxels,truth_hidden_voxels,hidden_true_positive_voxels,hidden_precision,hidden_recall,hidden_iou,hidden_false_positive_voxels,hidden_body_0_recall,hidden_body_1_recall,hard_category_0_voxels_in_search,hard_category_1_voxels_in_search,hard_category_2_voxels_in_search,hard_category_3_voxels_in_search,hard_category_4_voxels_in_search,hard_category_5_voxels_in_search,hard_category_6_voxels_in_search,hard_category_7_voxels_in_search,hard_category_8_voxels_in_search,hard_category_9_voxels_in_search,hard_category_10_voxels_in_search,hard_category_11_voxels_in_search,hard_category_12_voxels_in_search,hard_category_13_voxels_in_search,hard_category_14_voxels_in_search
0,0.5,,,3.7770910263061523,0.4061219096183777,-8.300387240509599,0.0,-8.300387240509599,17001.6875,0.04480397328734398,0,161920,0,0,0,1,1.000000238418579,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.5,86.49720001220703,0.9086536169052124,3.5172483921051025,0.4061219096183777,-7.660572869388334,0.0,-7.660572869388334,15935.8671875,0.0428919643163681,0,161920,0,0,0,1,0.9878124594688416,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.5,54.43517303466797,0.552735447883606,2.890288829803467,0.4061219096183777,-6.116801042621407,0.0,-6.116801042621407,13363.4951171875,0.03800071030855179,0,161920,0,0,0,1,0.9170581698417664,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.5,38.0390739440918,0.36299678683280945,2.399170398712158,0.4061219096183777,-4.907512847476259,0.0,-4.907512847476259,11347.142578125,0.033858511596918106,0,161920,0,0,0,1,0.8488306999206543,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.5,25.053300857543945,0.19539932906627655,1.9680447578430176,0.4061219096183777,-3.845945789263964,0.0,-3.845945789263964,9575.970703125,0.029958853498101234,0,161920,0,0,0,1,0.7770564556121826,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0.5,19.63882827758789,0.1112246960401535,1.7698904275894165,0.4061219096183777,-3.358027443662267,0.0,-3.358027443662267,8761.208984375,0.028071321547031403,0,161920,0,0,0,1,0.7267418503761292,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0.5,16.961444854736328,0.04803147912025452,1.6568690538406372,0.4061219096183777,-3.0797332392077896,0.0,-3.0797332392077896,8296.1416015625,0.026964684948325157,0,161920,0,0,0,1,0.6852157115936279,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0.5,16.368412017822266,0.015546519309282303,1.6485201120376587,0.4061219096183777,-3.0591755160088026,0.0,-3.0591755160088026,8262.4033203125,0.02688353694975376,0,161920,0,0,0,1,0.6622389554977417,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0.5,16.866174697875977,0.04658316448330879,1.6690850257873535,0.4061219096183777,-3.1098128080697487,0.0,-3.1098128080697487,8346.8701171875,0.027086475864052773,0,161920,0,0,0,1,0.6569703817367554,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0.5,16.847715377807617,0.04538064822554588,1.665987253189087,0.4061219096183777,-3.102185116667486,0.0,-3.102185116667486,8334.1044921875,0.027055850252509117,0,161920,0,0,0,1,0.66704261302948,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0.2,0.8810717463493347,0.0003425712347961962,0.3811744451522827,0.4061219096183777,0.061428511674086916,0.0,0.061428511674086916,111.32014465332031,0.0007720349240116775,0,161920,0,0,0,1,0.6795307397842407,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0.2,0.88016676902771,0.00037673788028769195,0.38096925616264343,0.4061219096183777,0.061933751565803385,0.0,0.061933751565803385,112.22985076904297,0.000777499342802912,0,161920,0,0,0,1,0.6877544522285461,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0.2,0.8792048692703247,0.0004112801980227232,0.38076522946357727,0.4061219096183777,0.06243612953220734,0.0,0.06243612953220734,113.13278198242188,0.0007829078822396696,0,161920,0,0,0,1,0.6930214762687683,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0.2,0.8783533573150635,0.00044039482600055635,0.3805863559246063,0.4061219096183777,0.06287657249953948,0.0,0.06287657249953948,113.91851806640625,0.0007876099552959204,0,161920,0,0,0,1,0.6963448524475098,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0.2,0.8776127099990845,0.0004651838098652661,0.3804287016391754,0.4061219096183777,0.06326476698424255,0.0,0.06326476698424255,114.6048812866211,0.0007917130133137107,0,161920,0,0,0,1,0.6984274387359619,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0.2,0.8769358992576599,0.0004875413724221289,0.3802834153175354,0.4061219096183777,0.0636225076483119,0.0,0.0636225076483119,115.23445129394531,0.0007954607135616243,0,161920,0,0,0,1,0.6997321844100952,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0.2,0.87628173828125,0.0005090247141197324,0.38014161586761475,0.4061219096183777,0.06397166253644371,0.0,0.06397166253644371,115.84634399414062,0.000799099332652986,0,161920,0,0,0,1,0.7005558609962463,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0.2,0.8756112456321716,0.0005307499086484313,0.37999477982521057,0.4061219096183777,0.06433321910092982,0.0,0.06433321910092982,116.47119140625,0.0008028256124816835,0,161920,0,0,0,1,0.7010855674743652,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
85,0.2,0.8748980760574341,0.0005535085801966488,0.3798380196094513,0.4061219096183777,0.06471921210462317,0.0,0.06471921210462317,117.13249969482422,0.0008067669696174562,0,161920,0,0,0,1,0.7014381885528564,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0.2,0.8741294145584106,0.0005779092898592353,0.37966737151145935,0.4061219096183777,0.06513940144666652,0.0,0.06513940144666652,117.84913635253906,0.000811034522484988,0,161920,0,0,0,1,0.7016866207122803,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
95,0.2,0.8732775449752808,0.0006044572801329195,0.37947848439216614,0.4061219096183777,0.06560450100130699,0.0,0.06560450100130699,118.63753509521484,0.0008157248958013952,0,161920,0,0,0,1,0.7018757462501526,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0.2,0.8723275661468506,0.0006336364313028753,0.3792673349380493,0.4061219096183777,0.06612441743308783,0.0,0.06612441743308783,119.513427734375,0.0008209297666326165,0,161920,0,0,0,1,0.7020335793495178,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
105,0.1,0.9998905658721924,1.086229985958198e-06,0.4060996472835541,0.4061219096183777,5.4816877140484443e-05,0.0,5.4816877140484443e-05,0.08939293026924133,1.4840126823401079e-05,0,161920,0,0,0,1,0.7021483778953552,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
110,0.1,0.9998902082443237,1.1162418331878143e-06,0.4060996472835541,0.4061219096183777,5.4816877140484443e-05,0.0,5.4816877140484443e-05,0.0900457352399826,1.4840126823401079e-05,0,161920,0,0,0,1,0.7022197246551514,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
115,0.1,0.9998894929885864,1.1350076647431706e-06,0.40609946846961975,0.4061219096183777,5.5257173342426746e-05,0.0,5.5257173342426746e-05,0.09044966101646423,1.4840126823401079e-05,0,161920,0,0,0,1,0.702263593673706,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0.1,0.9998894929885864,1.146572458310402e-06,0.40609946846961975,0.4061219096183777,5.5257173342426746e-05,0.0,5.5257173342426746e-05,0.09069791436195374,1.4840126823401079e-05,0,161920,0,0,0,1,0.7022903561592102,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
125,0.1,0.9998893141746521,1.153675839304924e-06,0.40609943866729736,0.4061219096183777,5.533055604278747e-05,0.0,5.533055604278747e-05,0.09085015207529068,1.4840126823401079e-05,0,161920,0,0,0,1,0.7023067474365234,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
130,0.1,0.9998891949653625,1.1580470982153201e-06,0.406099408864975,0.4061219096183777,5.540393874303717e-05,0.0,5.540393874303717e-05,0.09094370901584625,1.4840126823401079e-05,0,161920,0,0,0,1,0.7023168206214905,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
135,0.1,0.9998891949653625,1.1607854730755207e-06,0.406099408864975,0.4061219096183777,5.540393874303717e-05,0.0,5.540393874303717e-05,0.09100161492824554,1.4840126823401079e-05,0,161920,0,0,0,1,0.7023230195045471,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
140,0.1,0.9998891353607178,1.1625063507381128e-06,0.406099408864975,0.4061219096183777,5.540393874303717e-05,0.0,5.540393874303717e-05,0.09103795886039734,1.4840126823401079e-05,0,161920,0,0,0,1,0.7023268342018127,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
145,0.1,0.9998891353607178,1.1635851251412532e-06,0.406099408864975,0.4061219096183777,5.540393874303717e-05,0.0,5.540393874303717e-05,0.0910612940788269,1.4840126823401079e-05,0,161920,0,0,0,1,0.7023293375968933,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
150,0.1,0.9998893141746521,1.1643243169601192e-06,0.406099408864975,0.4061219096183777,5.540393874303717e-05,0.0,5.540393874303717e-05,0.0910767912864685,1.4840126823401079e-05,0,161920,0,0,0,1,0.7023309469223022,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
155,0.1,0.9998891353607178,1.164834429800976e-06,0.406099408864975,0.4061219096183777,5.540393874303717e-05,0.0,5.540393874303717e-05,0.09108760207891464,1.4840126823401079e-05,0,161920,0,0,0,1,0.7023320198059082,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
160,0.1,0.9998891353607178,1.1651957265712554e-06,0.406099408864975,0.4061219096183777,5.540393874303717e-05,0.0,5.540393874303717e-05,0.09109561145305634,1.4840126823401079e-05,0,161920,0,0,0,1,0.7023329138755798,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
165,0.05,0.9999999403953552,3.2755621132141144e-12,0.4061219096183777,0.4061219096183777,0.0,0.0,0.0,5.129432167905179e-08,1.4840126823401079e-05,0,161920,0,0,0,1,0.7023333311080933,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
170,0.05,0.9999999403953552,3.275930525112325e-12,0.4061219096183777,0.4061219096183777,0.0,0.0,0.0,5.12979738687136e-08,1.4840126823401079e-05,0,161920,0,0,0,1,0.7023335695266724,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
175,0.05,0.9999999403953552,3.276151702355512e-12,0.4061219096183777,0.4061219096183777,0.0,0.0,0.0,5.130016234033974e-08,1.4840126823401079e-05,0,161920,0,0,0,1,0.7023338079452515,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
180,0.05,0.9999999403953552,3.2762846255418587e-12,0.4061219096183777,0.4061219096183777,0.0,0.0,0.0,5.1301473291687216e-08,1.4840126823401079e-05,0,161920,0,0,0,1,0.7023338675498962,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
185,0.05,0.9999999403953552,3.276364205981319e-12,0.4061219096183777,0.4061219096183777,0.0,0.0,0.0,5.130226199412391e-08,1.4840126823401079e-05,0,161920,0,0,0,1,0.702333927154541,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
190,0.05,0.9999999403953552,3.2764119108769085e-12,0.4061219096183777,0.4061219096183777,0.0,0.0,0.0,5.130273450504319e-08,1.4840126823401079e-05,0,161920,0,0,0,1,0.7023339867591858,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
