step,temperature,objective,gradient_norm_before_clip,soft_rmse,hard_rmse,soft_attainment,hard_attainment,soft_hard_attainment_gap,soft_target_mass_in_search,categorical_entropy,hard_air_voxels_in_search,hard_background_voxels_in_search,hard_target_voxels_in_search,hard_changed_voxels_in_search,hard_non_target_changed_voxels_in_search,hard_distinct_categories_in_search,max_state_voxel_norm,predicted_hidden_voxels,truth_hidden_voxels,hidden_true_positive_voxels,hidden_precision,hidden_recall,hidden_iou,hidden_false_positive_voxels,hidden_body_0_recall,hidden_body_1_recall,hard_category_0_voxels_in_search,hard_category_1_voxels_in_search,hard_category_2_voxels_in_search,hard_category_3_voxels_in_search,hard_category_4_voxels_in_search,hard_category_5_voxels_in_search,hard_category_6_voxels_in_search,hard_category_7_voxels_in_search,hard_category_8_voxels_in_search,hard_category_9_voxels_in_search,hard_category_10_voxels_in_search,hard_category_11_voxels_in_search,hard_category_12_voxels_in_search,hard_category_13_voxels_in_search,hard_category_14_voxels_in_search
0,0.5,,,3.7770910263061523,0.4061219096183777,-8.300387240509599,0.0,-8.300387240509599,17001.6875,0.04480397328734398,0,161920,0,0,0,1,1.000000238418579,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.5,0.9999999403953552,0.09331931173801422,4.087067604064941,0.4061219096183777,-9.06364716423562,0.0,-9.06364716423562,18272.814453125,0.047004129737615585,0,161920,0,0,0,1,1.0192826986312866,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.5,0.9999995231628418,0.13646681606769562,5.972875118255615,0.4061219096183777,-13.707098969046443,0.0,-13.707098969046443,26003.650390625,0.05876702815294266,0,161920,0,0,0,1,1.0879137516021729,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.5,0.9999997019767761,0.19231760501861572,9.55651569366455,0.4061219096183777,-22.531150295842355,0.0,-22.531150295842355,40691.05078125,0.07518119364976883,0,161920,0,0,0,1,1.2754396200180054,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.5,0.9999997019767761,0.21083568036556244,13.416577339172363,0.4061219096183777,-32.03583732229462,0.0,-32.03583732229462,56510.30078125,0.08625635504722595,0,161920,0,0,0,1,1.5408329963684082,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0.5,0.9999995231628418,0.19882909953594208,16.61433982849121,0.4061219096183777,-39.90973531593821,0.0,-39.90973531593821,69615.2890625,0.09111911058425903,0,161920,0,0,0,1,1.8228386640548706,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0.5,0.9999995827674866,0.17995904386043549,19.056995391845703,0.4061219096183777,-45.9243223291082,0.0,-45.9243223291082,79625.7109375,0.09241437166929245,0,161920,0,0,0,1,2.0641629695892334,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0.5,236.42501831054688,2.3413095474243164,19.097454071044922,0.2584337890148163,-46.02394433481884,0.36365464927105295,-46.3875989840899,79757.03125,0.09241707623004913,0,161665,255,255,0,2,2.2430708408355713,255,1280,0,0.0,0.0,0.0,255,0.0,0.0,0,161665,0,0,0,0,0,0,0,0,255,0,0,0,0
35,0.5,0.9999997019767761,0.15529069304466248,18.50518798828125,0.4061219096183777,-44.56559877715068,0.0,-44.56559877715068,77313.6953125,0.09229545295238495,0,161920,0,0,0,1,2.3684704303741455,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0.5,0.9999997615814209,0.14900805056095123,18.465923309326172,0.4061219096183777,-44.468916775945736,0.0,-44.468916775945736,77137.2421875,0.09228020161390305,0,161920,0,0,0,1,2.458974838256836,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
