step,temperature,objective,gradient_norm_before_clip,soft_rmse,hard_rmse,soft_attainment,hard_attainment,soft_hard_attainment_gap,soft_target_mass_in_search,categorical_entropy,hard_air_voxels_in_search,hard_background_voxels_in_search,hard_target_voxels_in_search,hard_changed_voxels_in_search,hard_non_target_changed_voxels_in_search,hard_distinct_categories_in_search,max_state_voxel_norm,predicted_hidden_voxels,truth_hidden_voxels,hidden_true_positive_voxels,hidden_precision,hidden_recall,hidden_iou,hidden_false_positive_voxels,hidden_body_0_recall,hidden_body_1_recall,hard_category_0_voxels_in_search,hard_category_1_voxels_in_search,hard_category_2_voxels_in_search,hard_category_3_voxels_in_search,hard_category_4_voxels_in_search,hard_category_5_voxels_in_search,hard_category_6_voxels_in_search,hard_category_7_voxels_in_search,hard_category_8_voxels_in_search,hard_category_9_voxels_in_search,hard_category_10_voxels_in_search,hard_category_11_voxels_in_search,hard_category_12_voxels_in_search,hard_category_13_voxels_in_search,hard_category_14_voxels_in_search
0,0.5,,,0.10328292846679688,0.06987712532281876,-0.47806493168758424,0.0,-0.47806493168758424,17001.6875,0.04480397328734398,0,161920,0,0,0,1,1.000000238418579,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.5,2.184675931930542,0.015490026213228703,0.09889242053031921,0.06987712532281876,-0.41523309771910943,0.0,-0.41523309771910943,15955.923828125,0.04292735829949379,0,161920,0,0,0,1,1.0191662311553955,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.5,1.6403019428253174,0.01517153438180685,0.08724836260080338,0.06987712532281876,-0.24859690775390186,0.0,-0.24859690775390186,13460.537109375,0.03815913572907448,0,161920,0,0,0,1,1.0878127813339233,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.5,1.2535063028335571,0.017378101125359535,0.07575673609972,0.06987712532281876,-0.08414213878631371,0.0,-0.08414213878631371,11565.427734375,0.03415602073073387,0,161920,0,0,0,1,1.2747195959091187,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.5,0.9117382168769836,0.01615132763981819,0.06491419672966003,0.06987712532281876,0.07102365144861,0.0,0.07102365144861,9934.5986328125,0.030377855524420738,0,161920,0,0,0,1,1.5337868928909302,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0.5,0.7214533090591431,0.013329355046153069,0.058232784271240234,0.06987712532281876,0.16664024167828784,0.0,0.16664024167828784,9222.5244140625,0.028531331568956375,0,161920,0,0,0,1,1.798593282699585,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0.5,0.6078231930732727,0.010829126462340355,0.053765635937452316,0.06987712532281876,0.2305688637151927,0.0,0.2305688637151927,8836.900390625,0.027442969381809235,0,161920,0,0,0,1,2.0176093578338623,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0.5,0.552290141582489,0.00905839167535305,0.051646169275045395,0.0,0.2609002010822552,1.0,-0.7390997989177448,8890.3583984375,0.027427570894360542,0,160640,1280,1280,0,2,2.169991970062256,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
35,0.5,0.5236507058143616,0.007830287329852581,0.050271693617105484,0.0,0.280570095222721,1.0,-0.719429904777279,9012.453125,0.02759397216141224,0,160640,1280,1280,0,2,2.255363702774048,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
40,0.5,0.49398335814476013,0.006886315997689962,0.04882939159870148,0.0,0.30121064120598595,1.0,-0.698789358794014,9045.6455078125,0.027554774656891823,0,160640,1280,1280,0,2,2.2817764282226562,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
45,0.2,0.04179714247584343,0.0058990344405174255,0.013479241169989109,0.0,0.8071008057684452,1.0,-0.19289919423155477,1143.5518798828125,0.0012816545786336064,0,160640,1280,1280,0,2,2.2545642852783203,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
50,0.2,0.023275012150406837,0.0035434826277196407,0.010059919208288193,0.0,0.8560341576472512,1.0,-0.14396584235274879,1206.782958984375,0.0012021518778055906,0,160640,1280,1280,0,2,2.1958017349243164,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
55,0.2,0.013253982178866863,0.002142846118658781,0.007628878112882376,0.0,0.8908243852671609,1.0,-0.1091756147328391,1251.896728515625,0.0011339012999087572,0,160640,1280,1280,0,2,2.1276779174804688,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
60,0.2,0.008019253611564636,0.0013554968172684312,0.005977652035653591,0.0,0.914454808951599,1.0,-0.08554519104840097,1282.60546875,0.001080270274542272,0,160640,1280,1280,0,2,2.062340497970581,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
65,0.2,0.0052358172833919525,0.0009134922293014824,0.004867672920227051,0.0,0.9303395367548486,1.0,-0.0696604632451514,1303.2818603515625,0.0010399374878033996,0,160640,1280,1280,0,2,2.0047783851623535,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
70,0.2,0.0036856327205896378,0.0006573810242116451,0.004112822934985161,0.0,0.9411420702270633,1.0,-0.05885792977293669,1317.359375,0.0010099358623847365,0,160640,1280,1280,0,2,1.955995798110962,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
75,0.2,0.002770758233964443,0.0005017819930799305,0.0035869251005351543,0.0,0.9486681072816854,1.0,-0.05133189271831462,1327.1749267578125,0.000987599021755159,0,160640,1280,1280,0,2,1.915220856666565,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
80,0.2,0.0021973741240799427,0.0004021338536404073,0.0032090682070702314,0.0,0.9540755548794407,1.0,-0.045924445120559265,1334.2298583984375,0.0009705779957585037,0,160640,1280,1280,0,2,1.8811099529266357,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
85,0.2,0.0018166828667744994,0.00033487382461316884,0.002928166650235653,0.0,0.9580954906672521,1.0,-0.04190450933274792,1339.4749755859375,0.0009573428542353213,0,160640,1280,1280,0,2,1.852299690246582,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
90,0.2,0.0015500994632020593,0.00028715524240396917,0.0027119810692965984,0.0,0.9611892868121324,1.0,-0.03881071318786755,1343.5103759765625,0.000946739106439054,0,160640,1280,1280,0,2,1.827614665031433,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
95,0.2,0.0013542902888730168,0.0002517253451514989,0.002539925742894411,0.0,0.9636515421726288,1.0,-0.03634845782737117,1346.7208251953125,0.0009379818802699447,0,160640,1280,1280,0,2,1.8061145544052124,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
100,0.2,0.001204310916364193,0.00022433492995332927,0.0023987237364053726,0.0,0.9656722607674009,1.0,-0.03432773923259913,1349.3544921875,0.0009305904968641698,0,160640,1280,1280,0,2,1.7870783805847168,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
105,0.1,1.2284658623684663e-06,5.006947390029381e-07,7.632876076968387e-05,0.0,0.9989076717106341,1.0,-0.0010923282893658959,1278.68017578125,2.382662205491215e-05,0,160640,1280,1280,0,2,1.7735265493392944,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
110,0.1,1.0890432804444572e-06,4.4504824359137274e-07,7.22721015335992e-05,0.0,0.9989657258909878,1.0,-0.0010342741090122454,1278.75439453125,2.3407610569847748e-05,0,160640,1280,1280,0,2,1.765356183052063,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
115,0.1,1.011720428323315e-06,4.141304827953718e-07,6.990224937908351e-05,0.0,0.9989996404537801,1.0,-0.0010003595462199089,1278.7978515625,2.3161481294664554e-05,0,160640,1280,1280,0,2,1.7604206800460815,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
120,0.1,9.67490677794558e-07,3.96402555224995e-07,6.850700447103009e-05,0.0,0.9990196075732288,1.0,-0.0009803924267711706,1278.823486328125,2.3015565602690913e-05,0,160640,1280,1280,0,2,1.7574337720870972,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
125,0.1,9.414038686372805e-07,3.859542516693182e-07,6.766568549210206e-05,0.0,0.999031647550189,1.0,-0.0009683524498109719,1278.8389892578125,2.2927717509446666e-05,0,160640,1280,1280,0,2,1.7556215524673462,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
130,0.1,9.259690045837488e-07,3.7975451050442643e-07,6.715756171615794e-05,0.0,0.9990389192256278,1.0,-0.0009610807743721805,1278.84814453125,2.287458482896909e-05,0,160640,1280,1280,0,2,1.7545181512832642,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
135,0.1,9.167007988253317e-07,3.760243600936519e-07,6.685352127533406e-05,0.0,0.9990432702981629,1.0,-0.0009567297018371335,1278.853759765625,2.2842485122964717e-05,0,160640,1280,1280,0,2,1.7538418769836426,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
140,0.1,9.110030418923998e-07,3.7373413874774997e-07,6.666193075943738e-05,0.0,0.999046012118394,1.0,-0.0009539878816060554,1278.8572998046875,2.2822503524366766e-05,0,160640,1280,1280,0,2,1.7534230947494507,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
145,0.1,9.073657452063344e-07,3.722836368069693e-07,6.654531171079725e-05,0.0,0.9990476810343389,1.0,-0.0009523189656610587,1278.859375,2.2810136215412058e-05,0,160640,1280,1280,0,2,1.7531592845916748,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
150,0.1,9.050960443346412e-07,3.713729768151097e-07,6.646201654803008e-05,0.0,0.9990488730576568,1.0,-0.0009511269423432278,1278.86083984375,2.2801761588198133e-05,0,160640,1280,1280,0,2,1.7529886960983276,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
155,0.1,9.03509146610304e-07,3.7074761394251254e-07,6.641203799517825e-05,0.0,0.9990495882924725,1.0,-0.0009504117075275209,1278.86181640625,2.2796442863182165e-05,0,160640,1280,1280,0,2,1.7528740167617798,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
160,0.1,9.02602948826825e-07,3.7036764410913747e-07,6.637871410930529e-05,0.0,0.9990500651850995,1.0,-0.000949934814900466,1278.8623046875,2.2792841264163144e-05,0,160640,1280,1280,0,2,1.7527928352355957,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
165,0.05,9.094947017729282e-13,7.212093335734471e-13,6.664001972467304e-08,0.0,0.9999990463256836,1.0,-9.5367431640625e-07,1279.998779296875,1.4840126823401079e-05,0,160640,1280,1280,0,2,1.7527395486831665,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
170,0.05,9.094947017729282e-13,7.209991609823108e-13,6.664001972467304e-08,0.0,0.9999990463256836,1.0,-9.5367431640625e-07,1279.998779296875,1.4840126823401079e-05,0,160640,1280,1280,0,2,1.752707600593567,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
175,0.05,9.094947017729282e-13,7.208730140595421e-13,6.664001972467304e-08,0.0,0.9999990463256836,1.0,-9.5367431640625e-07,1279.998779296875,1.4840126823401079e-05,0,160640,1280,1280,0,2,1.7526882886886597,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
180,0.05,9.094947017729282e-13,7.207977704287716e-13,6.664001972467304e-08,0.0,0.9999990463256836,1.0,-9.5367431640625e-07,1279.998779296875,1.4840126823401079e-05,0,160640,1280,1280,0,2,1.7526768445968628,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
185,0.05,9.094947017729282e-13,7.207524507779617e-13,6.664001972467304e-08,0.0,0.9999990463256836,1.0,-9.5367431640625e-07,1279.998779296875,1.4840126823401079e-05,0,160640,1280,1280,0,2,1.7526699304580688,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
190,0.05,9.094947017729282e-13,7.207254541438668e-13,6.664001972467304e-08,0.0,0.9999990463256836,1.0,-9.5367431640625e-07,1279.998779296875,1.4840126823401079e-05,0,160640,1280,1280,0,2,1.7526658773422241,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
195,0.05,9.094947017729282e-13,7.207102211033434e-13,6.664001972467304e-08,0.0,0.9999990463256836,1.0,-9.5367431640625e-07,1279.998779296875,1.4840126823401079e-05,0,160640,1280,1280,0,2,1.752663254737854,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
200,0.05,9.094947017729282e-13,7.207003548635738e-13,6.664001972467304e-08,0.0,0.9999990463256836,1.0,-9.5367431640625e-07,1279.998779296875,1.4840126823401079e-05,0,160640,1280,1280,0,2,1.7526618242263794,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
