step,temperature,objective,gradient_norm_before_clip,soft_rmse,hard_rmse,soft_attainment,hard_attainment,soft_hard_attainment_gap,soft_target_mass_in_search,categorical_entropy,hard_air_voxels_in_search,hard_background_voxels_in_search,hard_target_voxels_in_search,hard_changed_voxels_in_search,hard_non_target_changed_voxels_in_search,hard_distinct_categories_in_search,max_state_voxel_norm,predicted_hidden_voxels,truth_hidden_voxels,hidden_true_positive_voxels,hidden_precision,hidden_recall,hidden_iou,hidden_false_positive_voxels,hidden_body_0_recall,hidden_body_1_recall,hard_category_0_voxels_in_search,hard_category_1_voxels_in_search,hard_category_2_voxels_in_search,hard_category_3_voxels_in_search,hard_category_4_voxels_in_search,hard_category_5_voxels_in_search,hard_category_6_voxels_in_search,hard_category_7_voxels_in_search,hard_category_8_voxels_in_search,hard_category_9_voxels_in_search,hard_category_10_voxels_in_search,hard_category_11_voxels_in_search,hard_category_12_voxels_in_search,hard_category_13_voxels_in_search,hard_category_14_voxels_in_search
0,0.5,,,0.10328292846679688,0.06987712532281876,-0.47806493168758424,0.0,-0.47806493168758424,17001.6875,0.04480397328734398,0,161920,0,0,0,1,1.000000238418579,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.5,1.0,0.010479932650923729,0.10295157879590988,0.06987712532281876,-0.47332304127128255,0.0,-0.47332304127128255,17011.740234375,0.044821370393037796,0,161920,0,0,0,1,1.0190577507019043,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.5,1.0,0.01532717514783144,0.1009771004319191,0.06987712532281876,-0.4450666074974392,0.0,-0.4450666074974392,17072.876953125,0.04491438716650009,0,161920,0,0,0,1,1.0876915454864502,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.5,1.0,0.02159978076815605,0.09743121266365051,0.06987712532281876,-0.3943219932637072,0.0,-0.3943219932637072,17189.01171875,0.04504415765404701,0,161920,0,0,0,1,1.2752097845077515,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.5,1.0,0.02367854118347168,0.09394219517707825,0.06987712532281876,-0.34439124023896994,0.0,-0.34439124023896994,17314.072265625,0.04513169452548027,0,161920,0,0,0,1,1.540584683418274,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0.5,1.0,0.022329362109303474,0.09133820235729218,0.06987712532281876,-0.3071259290551438,0.0,-0.3071259290551438,17417.658203125,0.04517011344432831,0,161920,0,0,0,1,1.8225477933883667,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0.5,1.0,0.020209917798638344,0.08953898400068283,0.06987712532281876,-0.2813776123020244,0.0,-0.2813776123020244,17496.779296875,0.045180343091487885,0,161920,0,0,0,1,2.0638043880462646,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0.5,0.0,0.0,0.08841976523399353,0.0,-0.26536065737551984,1.0,-1.2653606573755198,17550.35546875,0.04517809674143791,0,160640,1280,1280,0,2,2.234402656555176,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
35,0.5,3.552713678800501e-15,1.0335009514861326e-09,0.08784282207489014,0.0,-0.25710411911012865,1.0,-1.2571041191101286,17579.65625,0.045173730701208115,0,160640,1280,1280,0,2,2.3455936908721924,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
40,0.5,0.0,0.0,0.08752357959747314,0.0,-0.2525354927400232,1.0,-1.2525354927400232,17596.451171875,0.045170221477746964,0,160640,1280,1280,0,2,2.4166131019592285,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
45,0.2,0.0,0.0,0.022263797000050545,0.0,0.6813864780899883,1.0,-0.3186135219100117,1631.5233154296875,0.00461618835106492,0,160640,1280,1280,0,2,2.4614357948303223,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
50,0.2,0.0,0.0,0.021561259403824806,0.0,0.6914403776025992,1.0,-0.30855962239740076,1644.5770263671875,0.004607544746249914,0,160640,1280,1280,0,2,2.489492416381836,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
55,0.2,0.0,0.0,0.02114076167345047,0.0,0.6974580511750554,1.0,-0.30254194882494456,1652.396240234375,0.004602119326591492,0,160640,1280,1280,0,2,2.506946086883545,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
60,0.2,0.0,0.0,0.0208866186439991,0.0,0.7010950500967666,1.0,-0.29890494990323335,1657.12451171875,0.004598747938871384,0,160640,1280,1280,0,2,2.5177507400512695,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
65,0.2,0.0,0.0,0.020732231438159943,0.0,0.7033044599018483,1.0,-0.2966955400981517,1659.9976806640625,0.0045966655015945435,0,160640,1280,1280,0,2,2.5244123935699463,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
70,0.2,3.552713678800501e-15,1.97511229593772e-09,0.02063821256160736,0.0,0.7046499485165878,1.0,-0.2953500514834122,1661.7476806640625,0.00459538446739316,0,160640,1280,1280,0,2,2.528505802154541,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
75,0.2,0.0,0.0,0.020580923184752464,0.0,0.7054698073271819,1.0,-0.2945301926728181,1662.814208984375,0.004594598431140184,0,160640,1280,1280,0,2,2.5310142040252686,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
80,0.2,0.0,0.0,0.020546024665236473,0.0,0.7059692342763411,1.0,-0.29403076572365894,1663.4638671875,0.00459411833435297,0,160640,1280,1280,0,2,2.53254771232605,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
85,0.2,0.0,0.0,0.020524775609374046,0.0,0.7062733260054193,1.0,-0.29372667399458074,1663.859375,0.004593825899064541,0,160640,1280,1280,0,2,2.5334830284118652,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
90,0.2,0.0,0.0,0.020511865615844727,0.0,0.7064580787906788,1.0,-0.2935419212093212,1664.0997314453125,0.004593647550791502,0,160640,1280,1280,0,2,2.5340521335601807,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
95,0.2,0.0,0.0,0.02050400897860527,0.0,0.7065705138286567,1.0,-0.29342948617134335,1664.2462158203125,0.004593538586050272,0,160640,1280,1280,0,2,2.5343985557556152,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
100,0.2,0.0,0.0,0.020499248057603836,0.0,0.7066386465828225,1.0,-0.2933613534171775,1664.334716796875,0.004593472927808762,0,160640,1280,1280,0,2,2.5346086025238037,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
105,0.1,0.0,0.0,0.009872558526694775,0.0,0.8587154454181469,1.0,-0.14128455458185307,1102.7261962890625,0.00047654309310019016,0,160640,1280,1280,0,2,2.534735918045044,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
110,0.1,0.0,0.0,0.009870455600321293,0.0,0.8587455400501709,1.0,-0.1412544599498291,1102.7646484375,0.00047648584586568177,0,160640,1280,1280,0,2,2.5348129272460938,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
115,0.1,0.0,0.0,0.00986918993294239,0.0,0.8587636528070002,1.0,-0.14123634719299982,1102.7879638671875,0.00047645141603425145,0,160640,1280,1280,0,2,2.5348596572875977,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
120,0.1,0.0,0.0,0.00986842717975378,0.0,0.8587745684419106,1.0,-0.14122543155808942,1102.802001953125,0.0004764306067954749,0,160640,1280,1280,0,2,2.5348877906799316,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
125,0.1,0.0,0.0,0.009867960587143898,0.0,0.8587812457716909,1.0,-0.1412187542283091,1102.810546875,0.0004764179466292262,0,160640,1280,1280,0,2,2.534904956817627,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
130,0.1,0.0,0.0,0.009867685846984386,0.0,0.8587851775327392,1.0,-0.1412148224672608,1102.8155517578125,0.0004764104087371379,0,160640,1280,1280,0,2,2.53491473197937,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
135,0.1,3.552713678800501e-15,2.3156283557312918e-09,0.00986751914024353,0.0,0.8587875632453752,1.0,-0.1412124367546248,1102.8184814453125,0.00047640586853958666,0,160640,1280,1280,0,2,2.5349209308624268,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
140,0.1,3.552713678800501e-15,2.315601488334096e-09,0.009867414832115173,0.0,0.8587890559817732,1.0,-0.14121094401822676,1102.820556640625,0.0004764030163642019,0,160640,1280,1280,0,2,2.5349247455596924,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
145,0.1,0.0,0.0,0.009867360815405846,0.0,0.8587898290059793,1.0,-0.14121017099402067,1102.8214111328125,0.00047640150296501815,0,160640,1280,1280,0,2,2.5349268913269043,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
150,0.1,0.0,0.0,0.00986731518059969,0.0,0.8587904820781536,1.0,-0.14120951792184644,1102.822265625,0.0004764003970194608,0,160640,1280,1280,0,2,2.5349280834198,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
155,0.1,3.552713678800501e-15,2.315571068223221e-09,0.009867298416793346,0.0,0.8587907219822175,1.0,-0.1412092780177825,1102.8226318359375,0.00047639990225434303,0,160640,1280,1280,0,2,2.534929037094116,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
160,0.1,3.552713678800501e-15,2.3155668493757275e-09,0.009867281652987003,0.0,0.8587909618862815,1.0,-0.14120903811371854,1102.8228759765625,0.00047639934928156435,0,160640,1280,1280,0,2,2.5349295139312744,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
165,0.05,0.0,0.0,0.001839485252276063,0.0,0.9736754303532379,1.0,-0.026324569646762108,1246.3045654296875,0.00014312387793324888,0,160640,1280,1280,0,2,2.5349295139312744,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
170,0.05,0.0,0.0,0.001839485252276063,0.0,0.9736754303532379,1.0,-0.026324569646762108,1246.3045654296875,0.00014312386338133365,0,160640,1280,1280,0,2,2.5349295139312744,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
175,0.05,0.0,0.0,0.001839485252276063,0.0,0.9736754303532379,1.0,-0.026324569646762108,1246.3045654296875,0.0001431238342775032,0,160640,1280,1280,0,2,2.5349295139312744,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
180,0.05,0.0,0.0,0.001839485252276063,0.0,0.9736754303532379,1.0,-0.026324569646762108,1246.3045654296875,0.0001431238342775032,0,160640,1280,1280,0,2,2.5349295139312744,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
185,0.05,0.0,0.0,0.001839485252276063,0.0,0.9736754303532379,1.0,-0.026324569646762108,1246.3045654296875,0.0001431238342775032,0,160640,1280,1280,0,2,2.5349295139312744,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0,0,160640,0,0,0,0,0,0,0,0,1280,0,0,0,0
