step,temperature,objective,gradient_norm_before_clip,soft_rmse,hard_rmse,soft_attainment,hard_attainment,soft_hard_attainment_gap,soft_target_mass_in_search,categorical_entropy,hard_air_voxels_in_search,hard_background_voxels_in_search,hard_target_voxels_in_search,hard_changed_voxels_in_search,hard_non_target_changed_voxels_in_search,hard_distinct_categories_in_search,max_state_voxel_norm,predicted_hidden_voxels,truth_hidden_voxels,hidden_true_positive_voxels,hidden_precision,hidden_recall,hidden_iou,hidden_false_positive_voxels,hidden_body_0_recall,hidden_body_1_recall,hard_category_0_voxels_in_search,hard_category_1_voxels_in_search,hard_category_2_voxels_in_search,hard_category_3_voxels_in_search,hard_category_4_voxels_in_search,hard_category_5_voxels_in_search,hard_category_6_voxels_in_search,hard_category_7_voxels_in_search,hard_category_8_voxels_in_search,hard_category_9_voxels_in_search,hard_category_10_voxels_in_search,hard_category_11_voxels_in_search,hard_category_12_voxels_in_search,hard_category_13_voxels_in_search,hard_category_14_voxels_in_search
0,0.5,,,0.00903272069990635,0.007097688969224691,-0.27262842019027334,0.0,-0.27262842019027334,17001.6875,0.04480397328734398,0,161920,0,0,0,1,1.000000238418579,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.5,1.619583249092102,0.05535908415913582,0.008766571059823036,0.007097688969224691,-0.23513034986945103,0.0,-0.23513034986945103,16982.548828125,0.044769540429115295,0,161920,0,0,0,1,1.0189579725265503,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.5,1.308627963066101,0.04678215831518173,0.00796695239841938,0.007097688969224691,-0.12247133298793189,0.0,-0.12247133298793189,16845.70703125,0.04451170563697815,0,161920,0,0,0,1,1.0844202041625977,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.5,1.1437618732452393,0.10757661610841751,0.0073850881308317184,0.007097688969224691,-0.04049193517117744,0.0,-0.04049193517117744,16608.203125,0.04405207186937332,0,161920,0,0,0,1,1.2483474016189575,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.5,1.0038093328475952,0.037618931382894516,0.007034216076135635,0.007097688969224691,0.008942754939568642,0.0,0.008942754939568642,16315.58203125,0.04348176345229149,0,161920,0,0,0,1,1.3662264347076416,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0.5,0.9296261668205261,0.1017877608537674,0.006828324869275093,0.007097688969224691,0.03795095856095565,0.0,0.03795095856095565,16034.5263671875,0.0429295152425766,0,161920,0,0,0,1,1.4163897037506104,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0.5,0.9243069887161255,0.05863869935274124,0.006760878954082727,0.007097688969224691,0.04745347627972418,0.0,0.04745347627972418,15739.3076171875,0.04235439747571945,0,161920,0,0,0,1,1.4223501682281494,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0.5,0.8932791352272034,0.07899197190999985,0.006664424203336239,0.007097688969224691,0.06104307581905488,0.0,0.06104307581905488,15465.966796875,0.0418214313685894,0,161920,0,0,0,1,1.4347985982894897,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0.5,0.8847910761833191,0.02262261137366295,0.0066744196228682995,0.007097688969224691,0.05963481186505515,0.0,0.05963481186505515,15219.837890625,0.04134288802742958,0,161920,0,0,0,1,1.4563406705856323,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0.5,0.8757979273796082,0.014880906790494919,0.00663693156093359,0.007097688969224691,0.06491653977638745,0.0,0.06491653977638745,14968.408203125,0.040860190987586975,0,161920,0,0,0,1,1.4904929399490356,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0.2,1.0232648849487305,0.015173393301665783,0.007154392544180155,0.007097688969224691,-0.007989019411998477,0.0,-0.007989019411998477,550.9166870117188,0.002991083776578307,0,161920,0,0,0,1,1.4961508512496948,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0.2,0.9749875664710999,0.021392827853560448,0.006953549571335316,0.007097688969224691,0.020307933823862756,0.0,0.020307933823862756,525.4985961914062,0.0028720987029373646,0,161920,0,0,0,1,1.5379972457885742,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0.2,0.9091541171073914,0.008797294460237026,0.006778964772820473,0.007097688969224691,0.04490534845725058,0.0,0.04490534845725058,513.3432006835938,0.0027902040164917707,0,161920,0,0,0,1,1.9980462789535522,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
