step,temperature,objective,gradient_norm_before_clip,soft_rmse,hard_rmse,soft_attainment,hard_attainment,soft_hard_attainment_gap,soft_target_mass_in_search,categorical_entropy,hard_air_voxels_in_search,hard_background_voxels_in_search,hard_target_voxels_in_search,hard_changed_voxels_in_search,hard_non_target_changed_voxels_in_search,hard_distinct_categories_in_search,max_state_voxel_norm,predicted_hidden_voxels,truth_hidden_voxels,hidden_true_positive_voxels,hidden_precision,hidden_recall,hidden_iou,hidden_false_positive_voxels,hidden_body_0_recall,hidden_body_1_recall,hard_category_0_voxels_in_search,hard_category_1_voxels_in_search,hard_category_2_voxels_in_search,hard_category_3_voxels_in_search,hard_category_4_voxels_in_search,hard_category_5_voxels_in_search,hard_category_6_voxels_in_search,hard_category_7_voxels_in_search,hard_category_8_voxels_in_search,hard_category_9_voxels_in_search,hard_category_10_voxels_in_search,hard_category_11_voxels_in_search,hard_category_12_voxels_in_search,hard_category_13_voxels_in_search,hard_category_14_voxels_in_search
0,0.5,,,0.00903272069990635,0.007097688969224691,-0.27262842019027334,0.0,-0.27262842019027334,17001.6875,0.04480397328734398,0,161920,0,0,0,1,1.000000238418579,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.5,1.0,0.06645531952381134,0.00904143787920475,0.007097688969224691,-0.27385659168893994,0.0,-0.27385659168893994,17002.015625,0.04480443522334099,0,161920,0,0,0,1,1.0190649032592773,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.5,1.0,0.07764586806297302,0.009129656478762627,0.007097688969224691,-0.28628579222736716,0.0,-0.28628579222736716,17010.169921875,0.04481528326869011,0,161920,0,0,0,1,1.0877273082733154,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.5,1.0,0.10080323368310928,0.009483939968049526,0.007097688969224691,-0.3362011225303796,0.0,-0.3362011225303796,17029.96875,0.04483414813876152,0,161920,0,0,0,1,1.2753095626831055,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.5,1.0,0.1077202633023262,0.010085726156830788,0.007097688969224691,-0.42098733835225977,0.0,-0.42098733835225977,17052.296875,0.044845692813396454,0,161920,0,0,0,1,1.5407452583312988,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0.5,1.0,0.10067683458328247,0.010426291264593601,0.007097688969224691,-0.4689698731237171,0.0,-0.4689698731237171,17071.572265625,0.04485001042485237,0,161920,0,0,0,1,1.8227521181106567,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0.5,1.0,0.0906677320599556,0.010987769812345505,0.007097688969224691,-0.5480771079133018,0.0,-0.5480771079133018,17086.90234375,0.044850874692201614,0,161920,0,0,0,1,2.0640344619750977,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0.5,1.8849003314971924,0.840495765209198,0.010179925709962845,0.009744536131620407,-0.4342592010022719,-0.37291675838041716,-0.06134244262185473,17182.92578125,0.04498601332306862,0,161664,256,256,0,2,2.223222017288208,256,1280,256,1.0,0.2,0.2,0,0.20000000298023224,0.20000000298023224,0,161664,0,0,0,0,0,0,0,0,256,0,0,0,0
35,0.5,1.8849003314971924,1.2956774234771729,0.010201411321759224,0.009744536131620407,-0.43728632883071583,-0.37291675838041716,-0.06436957045029867,17467.66796875,0.045326635241508484,0,161664,256,256,0,2,2.2398629188537598,256,1280,256,1.0,0.2,0.2,0,0.20000000298023224,0.20000000298023224,0,161664,0,0,0,0,0,0,0,0,256,0,0,0,0
40,0.5,1.8849003314971924,1.5250462293624878,0.010080105625092983,0.009744536131620407,-0.42019545640840805,-0.37291675838041716,-0.047278698027990895,17847.357421875,0.04560023173689842,0,161664,256,256,0,2,2.1198182106018066,256,1280,256,1.0,0.2,0.2,0,0.20000000298023224,0.20000000298023224,0,161664,0,0,0,0,0,0,0,0,256,0,0,0,0
45,0.2,1.8849003314971924,3.1631181240081787,0.009938422590494156,0.009744536131620407,-0.4002336018930637,-0.37291675838041716,-0.027316843512646516,2079.802734375,0.005560581106692553,0,161664,256,256,0,2,1.915623664855957,256,1280,256,1.0,0.2,0.2,0,0.20000000298023224,0.20000000298023224,0,161664,0,0,0,0,0,0,0,0,256,0,0,0,0
50,0.2,2.8633065223693848,1.6091997623443604,0.009420963935554028,0.012010217644274235,-0.327328370741937,-0.6921307338698668,0.3648023631279298,2626.262451171875,0.005604106467217207,0,158976,2944,2944,0,2,2.1917169094085693,2944,1280,512,0.17391304347826086,0.4,0.13793103448275862,2432,0.4000000059604645,0.4000000059604645,0,158976,0,0,0,0,0,0,0,0,2944,0,0,0,0
55,0.2,1.9640281200408936,0.39944344758987427,0.009416874498128891,0.009946970269083977,-0.32675220609977407,-0.4014378922792561,0.07468568617948201,2976.75390625,0.0054603214375674725,0,158720,3200,3200,0,2,2.388003349304199,3200,1280,640,0.2,0.5,0.16666666666666666,2560,0.5,0.5,0,158720,0,0,0,0,0,0,0,0,3200,0,0,0,0
60,0.2,1.9640281200408936,0.32975244522094727,0.009515018202364445,0.009946970269083977,-0.3405797638669714,-0.4014378922792561,0.06085812841228466,3147.047119140625,0.005355366505682468,0,158720,3200,3200,0,2,2.5324103832244873,3200,1280,640,0.2,0.5,0.16666666666666666,2560,0.5,0.5,0,158720,0,0,0,0,0,0,0,0,3200,0,0,0,0
65,0.2,1.9568339586257935,0.22684727609157562,0.0097530297935009,0.00992873590439558,-0.3741134383021947,-0.3988688356796417,0.02475539737744703,3248.545654296875,0.005307771731168032,0,158784,3136,3136,0,2,2.6496527194976807,3136,1280,576,0.1836734693877551,0.45,0.15,2560,0.4000000059604645,0.5,0,158784,0,0,0,0,0,0,0,0,3136,0,0,0,0
70,0.2,1.9568339586257935,0.18453587591648102,0.010373775847256184,0.00992873590439558,-0.4615709271336741,-0.3988688356796417,-0.06270209145403238,3327.70947265625,0.0052676331251859665,0,158784,3136,3136,0,2,2.7496936321258545,3136,1280,576,0.1836734693877551,0.45,0.15,2560,0.4000000059604645,0.5,0,158784,0,0,0,0,0,0,0,0,3136,0,0,0,0
75,0.2,2.194242000579834,0.5772097110748291,0.01133456826210022,0.01051378808915615,-0.5969378640352481,-0.48129738211177386,-0.1156404819234742,3404.4384765625,0.005216927267611027,0,158656,3264,3264,0,2,2.832085609436035,3264,1280,640,0.19607843137254902,0.5,0.16393442622950818,2624,0.5,0.5,0,158656,0,0,0,0,0,0,0,0,3264,0,0,0,0
