step,temperature,objective,gradient_norm_before_clip,soft_rmse,hard_rmse,soft_attainment,hard_attainment,soft_hard_attainment_gap,soft_target_mass_in_search,categorical_entropy,hard_air_voxels_in_search,hard_background_voxels_in_search,hard_target_voxels_in_search,hard_changed_voxels_in_search,hard_non_target_changed_voxels_in_search,hard_distinct_categories_in_search,max_state_voxel_norm,predicted_hidden_voxels,truth_hidden_voxels,hidden_true_positive_voxels,hidden_precision,hidden_recall,hidden_iou,hidden_false_positive_voxels,hidden_body_0_recall,hidden_body_1_recall,hard_category_0_voxels_in_search,hard_category_1_voxels_in_search,hard_category_2_voxels_in_search,hard_category_3_voxels_in_search,hard_category_4_voxels_in_search,hard_category_5_voxels_in_search,hard_category_6_voxels_in_search,hard_category_7_voxels_in_search,hard_category_8_voxels_in_search,hard_category_9_voxels_in_search,hard_category_10_voxels_in_search,hard_category_11_voxels_in_search,hard_category_12_voxels_in_search,hard_category_13_voxels_in_search,hard_category_14_voxels_in_search
0,0.5,,,0.011212510988116264,0.008885824121534824,-0.261842552222332,0.0,-0.261842552222332,17001.6875,0.04480397328734398,0,161920,0,0,0,1,1.000000238418579,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.5,1.5922467708587646,0.05039519444108009,0.010872170329093933,0.008885824121534824,-0.2235410222384655,0.0,-0.2235410222384655,16956.455078125,0.04472268000245094,0,161920,0,0,0,1,1.01917564868927,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.5,1.2913193702697754,0.05625665932893753,0.009917456656694412,0.008885824121534824,-0.11609868944619595,0.0,-0.11609868944619595,16733.154296875,0.044302985072135925,0,161920,0,0,0,1,1.0863670110702515,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.5,1.1397221088409424,0.026824379339814186,0.009368532337248325,0.008885824121534824,-0.054323404234803085,0.0,-0.054323404234803085,16460.2421875,0.04378211870789528,0,161920,0,0,0,1,1.2268316745758057,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.5,0.9974146485328674,0.03238726034760475,0.00890147965401411,0.008885824121534824,-0.001761854867388779,0.0,-0.001761854867388779,16199.33984375,0.04326670989394188,0,161920,0,0,0,1,1.376981496810913,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0.5,0.926301896572113,0.03725237026810646,0.008494789712131023,0.008885824121534824,0.04400654391258185,0.0,0.04400654391258185,15969.8291015625,0.04280843213200569,0,161920,0,0,0,1,1.4875084161758423,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0.5,0.8670796155929565,0.09612125158309937,0.008133228868246078,0.008885824121534824,0.0846961680757139,0.0,0.0846961680757139,15765.892578125,0.042401012033224106,0,161920,0,0,0,1,1.703304409980774,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0.5,0.7998672127723694,0.036023348569869995,0.00791406724601984,0.008885824121534824,0.10936035445040238,0.0,0.10936035445040238,15578.3916015625,0.04201967641711235,0,161920,0,0,0,1,1.9710204601287842,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0.5,0.7352210879325867,0.042805902659893036,0.007543368265032768,0.01194985955953598,0.15107837361405907,-0.3448228769884669,0.495901250602526,15451.29296875,0.04174300283193588,0,161856,64,64,0,2,2.1848201751708984,64,1280,64,1.0,0.05,0.05,0,0.0,0.10000000149011612,0,161856,0,0,0,0,0,0,0,0,64,0,0,0,0
40,0.5,0.6561556458473206,0.07638043165206909,0.0071217152290046215,0.01194985955953598,0.19853070108093618,-0.3448228769884669,0.5433535780694031,15335.0126953125,0.041477274149656296,0,161856,64,64,0,2,2.3188891410827637,64,1280,64,1.0,0.05,0.05,0,0.0,0.10000000149011612,0,161856,0,0,0,0,0,0,0,0,64,0,0,0,0
