step,temperature,objective,gradient_norm_before_clip,soft_rmse,hard_rmse,soft_attainment,hard_attainment,soft_hard_attainment_gap,soft_target_mass_in_search,categorical_entropy,hard_air_voxels_in_search,hard_background_voxels_in_search,hard_target_voxels_in_search,hard_changed_voxels_in_search,hard_non_target_changed_voxels_in_search,hard_distinct_categories_in_search,max_state_voxel_norm,predicted_hidden_voxels,truth_hidden_voxels,hidden_true_positive_voxels,hidden_precision,hidden_recall,hidden_iou,hidden_false_positive_voxels,hidden_body_0_recall,hidden_body_1_recall,hard_category_0_voxels_in_search,hard_category_1_voxels_in_search,hard_category_2_voxels_in_search,hard_category_3_voxels_in_search,hard_category_4_voxels_in_search,hard_category_5_voxels_in_search,hard_category_6_voxels_in_search,hard_category_7_voxels_in_search,hard_category_8_voxels_in_search,hard_category_9_voxels_in_search,hard_category_10_voxels_in_search,hard_category_11_voxels_in_search,hard_category_12_voxels_in_search,hard_category_13_voxels_in_search,hard_category_14_voxels_in_search
0,0.5,,,0.011212510988116264,0.008885824121534824,-0.261842552222332,0.0,-0.261842552222332,17001.6875,0.04480397328734398,0,161920,0,0,0,1,1.000000238418579,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.5,1.0,0.059925030916929245,0.011233302764594555,0.008885824121534824,-0.26418243383532736,0.0,-0.26418243383532736,17002.134765625,0.04480452463030815,0,161920,0,0,0,1,1.019175410270691,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.5,1.0,0.06981814652681351,0.011318954639136791,0.008885824121534824,-0.2738215931716752,0.0,-0.2738215931716752,17017.64453125,0.04482480511069298,0,161920,0,0,0,1,1.087828278541565,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.5,1.0,0.09052328765392303,0.011514957062900066,0.008885824121534824,-0.2958794710997632,0.0,-0.2958794710997632,17056.326171875,0.04486089572310448,0,161920,0,0,0,1,1.275396466255188,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.5,1.0,0.09670968353748322,0.01187207642942667,0.008885824121534824,-0.33606925672258736,0.0,-0.33606925672258736,17100.173828125,0.044882506132125854,0,161920,0,0,0,1,1.5408244132995605,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0.5,1.0,0.09038550406694412,0.012314182706177235,0.008885824121534824,-0.38582336739411405,0.0,-0.38582336739411405,17138.009765625,0.044889796525239944,0,161920,0,0,0,1,1.8228403329849243,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0.5,1.0,0.08139799535274506,0.012832182459533215,0.008885824121534824,-0.4441184389902988,0.0,-0.4441184389902988,17168.0234375,0.04489028826355934,0,161920,0,0,0,1,2.0641491413116455,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0.5,0.8053807616233826,0.1083538755774498,0.012048440054059029,0.007974405772984028,-0.35591700772690227,0.10256992892105199,-0.45848693664795426,17269.1953125,0.04501521214842796,0,161408,512,512,0,2,2.232548952102661,512,1280,512,1.0,0.4,0.4,0,0.4000000059604645,0.4000000059604645,0,161408,0,0,0,0,0,0,0,0,512,0,0,0,0
35,0.5,0.8053807616233826,0.15437200665473938,0.012790650129318237,0.007974405772984028,-0.4394444403102751,0.10256992892105199,-0.5420143692313271,17543.380859375,0.045331548899412155,0,161408,512,512,0,2,2.330838918685913,512,1280,512,1.0,0.4,0.4,0,0.4000000059604645,0.4000000059604645,0,161408,0,0,0,0,0,0,0,0,512,0,0,0,0
40,0.5,0.8053807616233826,0.18190711736679077,0.01256314106285572,0.007974405772984028,-0.4138408425628082,0.10256992892105199,-0.5164107714838602,17923.66796875,0.04560491815209389,0,161408,512,512,0,2,2.371438503265381,512,1280,512,1.0,0.4,0.4,0,0.4000000059604645,0.4000000059604645,0,161408,0,0,0,0,0,0,0,0,512,0,0,0,0
45,0.2,0.8053807616233826,0.3539982736110687,0.011491328477859497,0.007974405772984028,-0.2932203384501191,0.10256992892105199,-0.39579026737117107,2236.43408203125,0.005550571717321873,0,161408,512,512,0,2,2.343317747116089,512,1280,512,1.0,0.4,0.4,0,0.4000000059604645,0.4000000059604645,0,161408,0,0,0,0,0,0,0,0,512,0,0,0,0
50,0.2,5.299157619476318,1.2416090965270996,0.013883356936275959,0.020455077290534973,-0.5624163551278938,-1.3019898898248532,0.7395735346969594,2748.355224609375,0.005607753060758114,0,159104,2816,2816,0,2,2.4542174339294434,2816,1280,640,0.22727272727272727,0.5,0.18518518518518517,2176,0.5,0.5,0,159104,0,0,0,0,0,0,0,0,2816,0,0,0,0
55,0.2,3.999263048171997,0.9401785135269165,0.013081521727144718,0.014646129682660103,-0.4721787814190028,-0.6482578860823003,0.17607910466329746,3055.76220703125,0.0054844520054757595,0,159360,2560,2560,0,2,2.8888468742370605,2560,1280,768,0.3,0.6,0.25,1792,0.6000000238418579,0.6000000238418579,0,159360,0,0,0,0,0,0,0,0,2560,0,0,0,0
60,0.2,3.42627215385437,0.433393269777298,0.01307198777794838,0.016407543793320656,-0.4711058421996417,-0.8464853196404056,0.37537947744076394,3336.556884765625,0.005263255909085274,0,159104,2816,2816,0,2,3.209894895553589,2816,1280,896,0.3181818181818182,0.7,0.28,1920,0.699999988079071,0.699999988079071,0,159104,0,0,0,0,0,0,0,0,2816,0,0,0,0
65,0.2,2.794484853744507,0.6146021485328674,0.012676800601184368,0.015242301858961582,-0.42663195082402083,-0.7153503884937147,0.28871843766969385,3498.54296875,0.0051100230775773525,0,159168,2752,2752,0,2,3.6000096797943115,2752,1280,640,0.23255813953488372,0.5,0.18867924528301888,2112,0.5,0.5,0,159168,0,0,0,0,0,0,0,0,2752,0,0,0,0
70,0.2,3.3295605182647705,0.6168643236160278,0.01271525677293539,0.01522829383611679,-0.43095976231624067,-0.7137739423866121,0.2828141800703714,3552.03173828125,0.005064093507826328,0,159232,2688,2688,0,2,3.858400821685791,2688,1280,576,0.21428571428571427,0.45,0.16981132075471697,2112,0.4000000059604645,0.5,0,159232,0,0,0,0,0,0,0,0,2688,0,0,0,0
75,0.2,2.4954257011413574,0.17862747609615326,0.012870044447481632,0.014036862179636955,-0.4483793817493007,-0.5796916512919239,0.1313122695426232,3565.07861328125,0.0050602504052221775,0,159360,2560,2560,0,2,3.994450330734253,2560,1280,512,0.2,0.4,0.15384615384615385,2048,0.4000000059604645,0.4000000059604645,0,159360,0,0,0,0,0,0,0,0,2560,0,0,0,0
