step,temperature,objective,gradient_norm_before_clip,soft_rmse,hard_rmse,soft_attainment,hard_attainment,soft_hard_attainment_gap,soft_target_mass_in_search,categorical_entropy,hard_air_voxels_in_search,hard_background_voxels_in_search,hard_target_voxels_in_search,hard_changed_voxels_in_search,hard_non_target_changed_voxels_in_search,hard_distinct_categories_in_search,max_state_voxel_norm,predicted_hidden_voxels,truth_hidden_voxels,hidden_true_positive_voxels,hidden_precision,hidden_recall,hidden_iou,hidden_false_positive_voxels,hidden_body_0_recall,hidden_body_1_recall,hard_category_0_voxels_in_search,hard_category_1_voxels_in_search,hard_category_2_voxels_in_search,hard_category_3_voxels_in_search,hard_category_4_voxels_in_search,hard_category_5_voxels_in_search,hard_category_6_voxels_in_search,hard_category_7_voxels_in_search,hard_category_8_voxels_in_search,hard_category_9_voxels_in_search,hard_category_10_voxels_in_search,hard_category_11_voxels_in_search,hard_category_12_voxels_in_search,hard_category_13_voxels_in_search,hard_category_14_voxels_in_search
0,0.5,,,0.01891189068555832,0.017632273957133293,-0.07257241644134882,0.0,-0.07257241644134882,17001.6875,0.04480397328734398,0,161920,0,0,0,1,1.000000238418579,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.5,1.150411605834961,0.014239193871617317,0.01867412030696869,0.017632273957133293,-0.05908746383865626,0.0,-0.05908746383865626,16959.87109375,0.04472857713699341,0,161920,0,0,0,1,1.019173502922058,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.5,1.0543487071990967,0.015181087888777256,0.017960838973522186,0.017632273957133293,-0.01863429624492463,0.0,-0.01863429624492463,16795.63671875,0.04441043362021446,0,161920,0,0,0,1,1.0881797075271606,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.5,0.9895763993263245,0.010755928233265877,0.01745736598968506,0.017632273957133293,0.009919762355863004,0.0,0.009919762355863004,16569.326171875,0.04396353289484978,0,161920,0,0,0,1,1.2691174745559692,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.5,0.9456479549407959,0.018903976306319237,0.0170386154204607,0.017632273957133293,0.03366885848733214,0.0,0.03366885848733214,16320.134765625,0.04345519095659256,0,161920,0,0,0,1,1.4943153858184814,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0.5,0.9103254675865173,0.01227391418069601,0.016805997118353844,0.017632273957133293,0.046861615285030855,0.0,0.046861615285030855,16099.486328125,0.042989201843738556,0,161920,0,0,0,1,1.6908233165740967,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0.5,0.886987030506134,0.03240358829498291,0.01652921736240387,0.017632273957133293,0.06255895282770219,0.0,0.06255895282770219,15926.853515625,0.04261313006281853,0,161920,0,0,0,1,1.8529224395751953,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0.5,0.8583584427833557,0.012706647627055645,0.016288306564092636,0.018729599192738533,0.076222011767061,-0.06223390348136615,0.13845591524842715,15739.0751953125,0.04220705106854439,0,161880,40,40,0,2,2.0533299446105957,40,1280,0,0.0,0.0,0.0,40,0.0,0.0,0,161880,0,0,0,0,0,0,0,0,40,0,0,0,0
35,0.5,0.8354209065437317,0.014750386588275433,0.01608305424451828,0.021193627268075943,0.08786272924192307,-0.20197924099868425,0.2898419702406073,15597.5654296875,0.0418727807700634,0,161784,136,136,0,2,2.1895651817321777,136,1280,2,0.014705882352941176,0.0015625,0.0014144271570014145,134,0.0,0.0031250000465661287,0,161784,0,0,0,0,0,0,0,0,136,0,0,0,0
40,0.5,0.8182500600814819,0.020630022510886192,0.01589689590036869,0.021193627268075943,0.09842054751324569,-0.20197924099868425,0.30039978851192994,15488.232421875,0.04159205034375191,0,161784,136,136,0,2,2.31977915763855,136,1280,2,0.014705882352941176,0.0015625,0.0014144271570014145,134,0.0,0.0031250000465661287,0,161784,0,0,0,0,0,0,0,0,136,0,0,0,0
45,0.2,1.1176763772964478,0.030266448855400085,0.01844845712184906,0.021193627268075943,-0.046289160813859365,-0.20197924099868425,0.15569008018482489,886.84423828125,0.0036844804417341948,0,161784,136,136,0,2,2.5702335834503174,136,1280,2,0.014705882352941176,0.0015625,0.0014144271570014145,134,0.0,0.0031250000465661287,0,161784,0,0,0,0,0,0,0,0,136,0,0,0,0
50,0.2,1.0168895721435547,0.025150451809167862,0.01764804869890213,0.017632273957133293,-0.0008946515807992661,0.0,-0.0008946515807992661,942.5648193359375,0.0037847324274480343,0,161920,0,0,0,1,2.8360512256622314,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0.2,0.9640215039253235,0.01577683724462986,0.01726566068828106,0.017632273957133293,0.02079217177225845,0.0,0.02079217177225845,951.1593017578125,0.0037975541781634092,0,161920,0,0,0,1,2.9905457496643066,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0.2,0.9456939697265625,0.010162651538848877,0.017123764380812645,0.017586825415492058,0.02883970482519227,0.002577576877022647,0.026262127948169622,952.7732543945312,0.003788188798353076,0,161880,40,40,0,2,3.082420825958252,40,1280,0,0.0,0.0,0.0,40,0.0,0.0,0,161880,0,0,0,0,0,0,0,0,40,0,0,0,0
65,0.2,0.937554657459259,0.01007335726171732,0.017055217176675797,0.017586825415492058,0.03272730345844266,0.002577576877022647,0.03014972658142001,957.2625122070312,0.0037866162601858377,0,161880,40,40,0,2,3.1532700061798096,40,1280,0,0.0,0.0,0.0,40,0.0,0.0,0,161880,0,0,0,0,0,0,0,0,40,0,0,0,0
