step,temperature,objective,gradient_norm_before_clip,soft_rmse,hard_rmse,soft_attainment,hard_attainment,soft_hard_attainment_gap,soft_target_mass_in_search,categorical_entropy,hard_air_voxels_in_search,hard_background_voxels_in_search,hard_target_voxels_in_search,hard_changed_voxels_in_search,hard_non_target_changed_voxels_in_search,hard_distinct_categories_in_search,max_state_voxel_norm,predicted_hidden_voxels,truth_hidden_voxels,hidden_true_positive_voxels,hidden_precision,hidden_recall,hidden_iou,hidden_false_positive_voxels,hidden_body_0_recall,hidden_body_1_recall,hard_category_0_voxels_in_search,hard_category_1_voxels_in_search,hard_category_2_voxels_in_search,hard_category_3_voxels_in_search,hard_category_4_voxels_in_search,hard_category_5_voxels_in_search,hard_category_6_voxels_in_search,hard_category_7_voxels_in_search,hard_category_8_voxels_in_search,hard_category_9_voxels_in_search,hard_category_10_voxels_in_search,hard_category_11_voxels_in_search,hard_category_12_voxels_in_search,hard_category_13_voxels_in_search,hard_category_14_voxels_in_search
0,0.5,,,0.01891189068555832,0.017632273957133293,-0.07257241644134882,0.0,-0.07257241644134882,17001.6875,0.04480397328734398,0,161920,0,0,0,1,1.000000238418579,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.5,1.0,0.020489240065217018,0.018922720104455948,0.017632273957133293,-0.07318659807917705,0.0,-0.07318659807917705,17002.75,0.04480541869997978,0,161920,0,0,0,1,1.0191744565963745,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.5,1.0,0.0238623209297657,0.018990077078342438,0.017632273957133293,-0.07700669377700042,0.0,-0.07700669377700042,17031.77734375,0.04484383761882782,0,161920,0,0,0,1,1.087823510169983,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.5,1.0,0.030936051160097122,0.019217276945710182,0.017632273957133293,-0.08989214847899185,0.0,-0.08989214847899185,17102.91796875,0.044911209493875504,0,161920,0,0,0,1,1.2753829956054688,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.5,1.0,0.03305565565824509,0.019555356353521347,0.017632273957133293,-0.10906604565374578,0.0,-0.10906604565374578,17183.298828125,0.0449521467089653,0,161920,0,0,0,1,1.5408028364181519,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0.5,1.0,0.03089858964085579,0.019961290061473846,0.017632273957133293,-0.13208824397821517,0.0,-0.13208824397821517,17252.69140625,0.04496695101261139,0,161920,0,0,0,1,1.8228126764297485,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0.5,1.0,0.02782796509563923,0.020323004573583603,0.017632273957133293,-0.15260258676741745,0.0,-0.15260258676741745,17307.79296875,0.044969215989112854,0,161920,0,0,0,1,2.0641181468963623,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0.5,0.9104132652282715,0.03856467455625534,0.02037195675075054,0.016823936253786087,-0.15537886946844348,0.04584421188738308,-0.20122308135582656,17506.82421875,0.045220501720905304,0,160992,928,928,0,2,2.232938051223755,928,1280,8,0.008620689655172414,0.00625,0.0036363636363636364,920,0.0,0.012500000186264515,0,160992,0,0,0,0,0,0,0,0,928,0,0,0,0
35,0.5,0.9104132652282715,0.05542977154254913,0.020637813955545425,0.016823936253786087,-0.17045674345345652,0.04584421188738308,-0.2163009553408396,18051.634765625,0.045849498361349106,0,160992,928,928,0,2,2.331341028213501,928,1280,8,0.008620689655172414,0.00625,0.0036363636363636364,920,0.0,0.012500000186264515,0,160992,0,0,0,0,0,0,0,0,928,0,0,0,0
40,0.5,0.9104132652282715,0.06515113264322281,0.020860275253653526,0.016823936253786087,-0.18307345407449938,0.04584421188738308,-0.22891766596188245,18801.02734375,0.046383168548345566,0,160992,928,928,0,2,2.37204647064209,928,1280,8,0.008620689655172414,0.00625,0.0036363636363636364,920,0.0,0.012500000186264515,0,160992,0,0,0,0,0,0,0,0,928,0,0,0,0
45,0.2,0.9104132652282715,0.12789511680603027,0.02081643044948578,0.016823936253786087,-0.1805868318569488,0.04584421188738308,-0.22643104374433187,3644.213134765625,0.007075281348079443,0,160992,928,928,0,2,2.344027280807495,928,1280,8,0.008620689655172414,0.00625,0.0036363636363636364,920,0.0,0.012500000186264515,0,160992,0,0,0,0,0,0,0,0,928,0,0,0,0
50,0.2,2.2926599979400635,0.3997776210308075,0.022261912003159523,0.02658890187740326,-0.26256613623867087,-0.5079678288826996,0.24540169264402878,4536.5576171875,0.0071733975782990456,0,156128,5792,5792,0,2,2.4464476108551025,5792,1280,12,0.0020718232044198894,0.009375,0.0016997167138810198,5780,0.0,0.01875000074505806,0,156128,0,0,0,0,0,0,0,0,5792,0,0,0,0
55,0.2,1.807355284690857,0.31479471921920776,0.021598830819129944,0.025312798097729683,-0.22496002907168666,-0.43559464645733703,0.21063461738565037,4865.5361328125,0.007063561584800482,0,157336,4584,4584,0,2,2.867960214614868,4584,1280,12,0.002617801047120419,0.009375,0.002050580997949419,4572,0.0,0.01875000074505806,0,157336,0,0,0,0,0,0,0,0,4584,0,0,0,0
60,0.2,2.0672049522399902,0.2698940336704254,0.021136224269866943,0.025337865576148033,-0.19872367689228732,-0.43701632799877044,0.23829265110648312,5272.09619140625,0.006859188433736563,0,155912,6008,6008,0,2,3.25295090675354,6008,1280,14,0.002330226364846871,0.0109375,0.00192466318394281,5994,0.0,0.02187499962747097,0,155912,0,0,0,0,0,0,0,0,6008,0,0,0,0
65,0.2,1.8598052263259888,0.11641193181276321,0.02130892127752304,0.02420608140528202,-0.20851804647138694,-0.37282811418031736,0.16431006770893042,5645.2783203125,0.006658855360001326,0,155704,6216,6216,0,2,3.7117066383361816,6216,1280,14,0.0022522522522522522,0.0109375,0.0018711574445335472,6202,0.0,0.02187499962747097,0,155704,0,0,0,0,0,0,0,0,6216,0,0,0,0
70,0.2,1.9493509531021118,0.12176474183797836,0.021820660680532455,0.024028318002820015,-0.23754092827628237,-0.3627464081624676,0.12520547988618524,5945.349609375,0.006523019168525934,0,155608,6312,6312,0,2,4.000000476837158,6312,1280,14,0.002217997465145754,0.0109375,0.0018474531538664556,6298,0.0,0.02187499962747097,0,155608,0,0,0,0,0,0,0,0,6312,0,0,0,0
75,0.2,1.8027576208114624,0.21650607883930206,0.02272910065948963,0.023674290627241135,-0.28906235887370446,-0.3426680350360307,0.053605676162326255,6188.02294921875,0.0064026531763374805,0,155368,6552,6552,0,2,4.000000953674316,6552,1280,16,0.002442002442002442,0.0125,0.0020470829068577278,6536,0.0,0.02500000037252903,0,155368,0,0,0,0,0,0,0,0,6552,0,0,0,0
