step,temperature,objective,gradient_norm_before_clip,soft_rmse,hard_rmse,soft_attainment,hard_attainment,soft_hard_attainment_gap,soft_target_mass_in_search,categorical_entropy,hard_air_voxels_in_search,hard_background_voxels_in_search,hard_target_voxels_in_search,hard_changed_voxels_in_search,hard_non_target_changed_voxels_in_search,hard_distinct_categories_in_search,max_state_voxel_norm,predicted_hidden_voxels,truth_hidden_voxels,hidden_true_positive_voxels,hidden_precision,hidden_recall,hidden_iou,hidden_false_positive_voxels,hidden_body_0_recall,hidden_body_1_recall,hard_category_0_voxels_in_search,hard_category_1_voxels_in_search,hard_category_2_voxels_in_search,hard_category_3_voxels_in_search,hard_category_4_voxels_in_search,hard_category_5_voxels_in_search,hard_category_6_voxels_in_search,hard_category_7_voxels_in_search,hard_category_8_voxels_in_search,hard_category_9_voxels_in_search,hard_category_10_voxels_in_search,hard_category_11_voxels_in_search,hard_category_12_voxels_in_search,hard_category_13_voxels_in_search,hard_category_14_voxels_in_search
0,0.5,,,0.01285299751907587,0.010882876813411713,-0.1810294042138052,0.0,-0.1810294042138052,17001.6875,0.04480397328734398,0,161920,0,0,0,1,1.000000238418579,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.5,1.3948304653167725,0.020942091941833496,0.0126569215208292,0.010882876813411713,-0.16301247710818623,0.0,-0.16301247710818623,16957.4453125,0.0447247177362442,0,161920,0,0,0,1,1.000000238418579,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.5,1.2752783298492432,0.013941541314125061,0.012218440882861614,0.010882876813411713,-0.12272160131446075,0.0,-0.12272160131446075,16711.2578125,0.04427175223827362,0,161920,0,0,0,1,1.0135176181793213,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.5,1.2097852230072021,0.0095898462459445,0.011903452686965466,0.010882876813411713,-0.09377813339723073,0.0,-0.09377813339723073,16470.7890625,0.043817296624183655,0,161920,0,0,0,1,1.0595266819000244,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.5,1.155371904373169,0.005691593512892723,0.011664128862321377,0.010882876813411713,-0.07178727300734256,0.0,-0.07178727300734256,16244.21875,0.04336901009082794,0,161920,0,0,0,1,1.0666483640670776,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0.5,1.130650520324707,0.004028753377497196,0.011554481461644173,0.010882876813411713,-0.061712050935355256,0.0,-0.061712050935355256,16029.005859375,0.04294094070792198,0,161920,0,0,0,1,1.101385474205017,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0.5,1.1164932250976562,0.002552610356360674,0.011488745920360088,0.010882876813411713,-0.055671778458589394,0.0,-0.055671778458589394,15775.279296875,0.04244866967201233,0,161920,0,0,0,1,1.121159553527832,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0.5,1.1131303310394287,0.0019418800948187709,0.011481416411697865,0.010882876813411713,-0.05499828846252597,0.0,-0.05499828846252597,15534.69140625,0.041985224932432175,0,161920,0,0,0,1,1.1549636125564575,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0.5,1.1129409074783325,0.0018005667952820659,0.011479366570711136,0.010882876813411713,-0.05480993376349974,0.0,-0.05480993376349974,15325.2333984375,0.041580282151699066,0,161920,0,0,0,1,1.1951475143432617,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0.5,1.1120829582214355,0.001584618934430182,0.011475411243736744,0.010882876813411713,-0.05444648878087177,0.0,-0.05444648878087177,15146.5400390625,0.0412343367934227,0,161920,0,0,0,1,1.2401515245437622,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0.2,1.000105619430542,4.067644113092683e-05,0.010883520357310772,0.010882876813411713,-5.913361973064468e-05,0.0,-5.913361973064468e-05,574.5396118164062,0.003117599058896303,0,161920,0,0,0,1,1.277202844619751,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0.2,1.0001499652862549,5.566949403146282e-05,0.010883702896535397,0.010882876813411713,-7.590668697687875e-05,0.0,-7.590668697687875e-05,568.1944580078125,0.0030868137255311012,0,161920,0,0,0,1,1.298509955406189,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0.2,1.0001394748687744,5.136895924806595e-05,0.010883600451052189,0.010882876813411713,-6.649323086937997e-05,0.0,-6.649323086937997e-05,564.3551025390625,0.0030682783108204603,0,161920,0,0,0,1,1.3095864057540894,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0.2,1.00010347366333,3.741597538464703e-05,0.01088340301066637,0.010882876813411713,-4.8350933643748206e-05,0.0,-4.8350933643748206e-05,562.0338134765625,0.0030571487732231617,0,161920,0,0,0,1,1.3143285512924194,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0.2,1.000075101852417,2.2763431843486615e-05,0.010883265174925327,0.010882876813411713,-3.568555633526316e-05,0.0,-3.568555633526316e-05,560.7113037109375,0.0030507969204336405,0,161920,0,0,0,1,1.315466046333313,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0.2,1.0000622272491455,1.3426456462184433e-05,0.010883208364248276,0.010882876813411713,-3.0465367039100855e-05,0.0,-3.0465367039100855e-05,559.9927368164062,0.003047309583052993,0,161920,0,0,0,1,1.3148702383041382,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0.2,1.0000581741333008,1.070116377377417e-05,0.010883191600441933,0.010882876813411713,-2.892498331252824e-05,0.0,-2.892498331252824e-05,559.5687255859375,0.0030452460050582886,0,161920,0,0,0,1,1.3137397766113281,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0.2,1.0000566244125366,1.003665693133371e-05,0.010883183218538761,0.010882876813411713,-2.815479144913091e-05,0.0,-2.815479144913091e-05,559.2408447265625,0.0030436792876571417,0,161920,0,0,0,1,1.3127281665802002,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
85,0.2,1.0000550746917725,8.821565643302165e-06,0.010883175767958164,0.010882876813411713,-2.7470176459543083e-05,0.0,-2.7470176459543083e-05,558.9124145507812,0.0030421619303524494,0,161920,0,0,0,1,1.3120719194412231,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0.2,1.0000535249710083,7.229802577057853e-06,0.010883167386054993,0.010882876813411713,-2.6699984596145754e-05,0.0,-2.6699984596145754e-05,558.554931640625,0.0030405374709516764,0,161920,0,0,0,1,1.3117386102676392,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
95,0.2,1.0000523328781128,5.6206090448540635e-06,0.01088316086679697,0.010882876813411713,-2.610094648014538e-05,0.0,-2.610094648014538e-05,558.17724609375,0.003038843860849738,0,161920,0,0,0,1,1.3115750551223755,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0.2,1.0000513792037964,4.208253358228831e-06,0.010883156210184097,0.010882876813411713,-2.567306211176401e-05,0.0,-2.567306211176401e-05,557.8027954101562,0.003037163522094488,0,161920,0,0,0,1,1.3114246129989624,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
105,0.1,1.0,3.5665134734408355e-10,0.010882876813411713,0.010882876813411713,0.0,0.0,0.0,2.199300527572632,3.4668075386434793e-05,0,161920,0,0,0,1,1.3112953901290894,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
110,0.1,1.0,3.836786721667096e-10,0.010882876813411713,0.010882876813411713,0.0,0.0,0.0,2.197906732559204,3.466285124886781e-05,0,161920,0,0,0,1,1.3112174272537231,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
115,0.1,1.0,4.2671643996072817e-10,0.010882876813411713,0.010882876813411713,0.0,0.0,0.0,2.1970701217651367,3.464651672402397e-05,0,161920,0,0,0,1,1.3111704587936401,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0.1,1.0,4.527176133972688e-10,0.010882876813411713,0.010882876813411713,0.0,0.0,0.0,2.196566581726074,3.4639579098438844e-05,0,161920,0,0,0,1,1.3111422061920166,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
125,0.1,1.0,4.823294541544954e-10,0.010882876813411713,0.010882876813411713,0.0,0.0,0.0,2.196263313293457,3.4635024348972365e-05,0,161920,0,0,0,1,1.3111251592636108,0,1280,0,0.0,0.0,0.0,0,0.0,0.0,0,161920,0,0,0,0,0,0,0,0,0,0,0,0,0
