cardinality,candidate_ids,hard_rmse,delta_rmse_vs_empty,loss_rank,source_trace_multiplicity,retrospective_truth_overlap_count,retrospective_is_exact_truth_state
0,,0.008885824121534824,0.0,9,1,0,False
1,candidate_00,0.010882876813411713,0.0019970526918768883,33,1,0,False
1,candidate_01,0.01088287029415369,0.001997046172618866,30,1,0,False
1,candidate_02,0.010882864706218243,0.0019970405846834183,27,1,0,False
1,candidate_03,0.01088287029415369,0.001997046172618866,31,1,0,False
1,candidate_04,0.006283232476562262,-0.002602591644972563,3,1,1,False
1,candidate_05,0.010882864706218243,0.0019970405846834183,28,1,0,False
1,candidate_06,0.006283220369368792,-0.002602603752166033,2,1,1,False
1,candidate_07,0.010882876813411713,0.0019970526918768883,34,1,0,False
1,candidate_08,0.01088287029415369,0.001997046172618866,32,1,0,False
1,candidate_09,0.010882864706218243,0.0019970405846834183,29,1,0,False
1,candidate_10,0.010882863774895668,0.0019970396533608437,25,1,0,False
1,candidate_11,0.010882863774895668,0.0019970396533608437,26,1,0,False
2,candidate_00+candidate_01,0.012566464953124523,0.003680640831589699,73,2,0,False
2,candidate_00+candidate_02,0.0125664584338665,0.0036806343123316765,60,2,0,False
2,candidate_00+candidate_03,0.012566464953124523,0.003680640831589699,74,2,0,False
2,candidate_00+candidate_04,0.008885840885341167,1.6763806343078613e-08,23,2,1,False
2,candidate_00+candidate_05,0.0125664584338665,0.0036806343123316765,61,2,0,False
2,candidate_00+candidate_06,0.008885831572115421,7.450580596923828e-09,18,2,1,False
2,candidate_00+candidate_07,0.012566469609737396,0.003680645488202572,79,2,0,False
2,candidate_00+candidate_08,0.012566464953124523,0.003680640831589699,75,2,0,False
2,candidate_00+candidate_09,0.0125664584338665,0.0036806343123316765,62,2,0,False
2,candidate_00+candidate_10,0.0125664584338665,0.0036806343123316765,63,2,0,False
2,candidate_00+candidate_11,0.0125664584338665,0.0036806343123316765,64,2,0,False
2,candidate_01+candidate_02,0.012566452845931053,0.003680628724396229,45,2,0,False
2,candidate_01+candidate_03,0.0125664584338665,0.0036806343123316765,65,2,0,False
2,candidate_01+candidate_04,0.008885832503437996,8.381903171539307e-09,21,2,1,False
2,candidate_01+candidate_05,0.012566452845931053,0.003680628724396229,46,2,0,False
2,candidate_01+candidate_06,0.008885824121534824,0.0,10,2,1,False
2,candidate_01+candidate_07,0.012566464953124523,0.003680640831589699,76,2,0,False
2,candidate_01+candidate_08,0.0125664584338665,0.0036806343123316765,66,2,0,False
2,candidate_01+candidate_09,0.012566452845931053,0.003680628724396229,47,2,0,False
2,candidate_01+candidate_10,0.012566452845931053,0.003680628724396229,48,2,0,False
2,candidate_01+candidate_11,0.012566452845931053,0.003680628724396229,49,2,0,False
2,candidate_02+candidate_03,0.012566452845931053,0.003680628724396229,50,2,0,False
2,candidate_02+candidate_04,0.008885824121534824,0.0,11,2,1,False
2,candidate_02+candidate_05,0.012566447257995605,0.003680623136460781,41,2,0,False
2,candidate_02+candidate_06,0.008885815739631653,-8.381903171539307e-09,4,2,1,False
2,candidate_02+candidate_07,0.0125664584338665,0.0036806343123316765,67,2,0,False
2,candidate_02+candidate_08,0.012566452845931053,0.003680628724396229,51,2,0,False
2,candidate_02+candidate_09,0.012566447257995605,0.003680623136460781,42,2,0,False
2,candidate_02+candidate_10,0.012566447257995605,0.003680623136460781,43,2,0,False
2,candidate_02+candidate_11,0.012566447257995605,0.003680623136460781,44,2,0,False
2,candidate_03+candidate_04,0.008885831572115421,7.450580596923828e-09,19,2,1,False
2,candidate_03+candidate_05,0.012566452845931053,0.003680628724396229,52,2,0,False
2,candidate_03+candidate_06,0.008885824121534824,0.0,12,2,1,False
2,candidate_03+candidate_07,0.012566464953124523,0.003680640831589699,77,2,0,False
2,candidate_03+candidate_08,0.0125664584338665,0.0036806343123316765,68,2,0,False
2,candidate_03+candidate_09,0.012566452845931053,0.003680628724396229,53,2,0,False
2,candidate_03+candidate_10,0.012566452845931053,0.003680628724396229,54,2,0,False
2,candidate_03+candidate_11,0.012566452845931053,0.003680628724396229,55,2,0,False
2,candidate_04+candidate_05,0.008885824121534824,0.0,13,2,1,False
2,candidate_04+candidate_06,0.0,-0.008885824121534824,1,2,2,True
2,candidate_04+candidate_07,0.008885840885341167,1.6763806343078613e-08,24,2,1,False
2,candidate_04+candidate_08,0.008885831572115421,7.450580596923828e-09,20,2,1,False
2,candidate_04+candidate_09,0.008885824121534824,0.0,14,2,1,False
2,candidate_04+candidate_10,0.008885824121534824,0.0,15,2,1,False
2,candidate_04+candidate_11,0.008885824121534824,0.0,16,2,1,False
2,candidate_05+candidate_06,0.008885815739631653,-8.381903171539307e-09,5,2,1,False
2,candidate_05+candidate_07,0.0125664584338665,0.0036806343123316765,69,2,0,False
2,candidate_05+candidate_08,0.012566452845931053,0.003680628724396229,56,2,0,False
2,candidate_05+candidate_09,0.01256644632667303,0.0036806222051382065,35,2,0,False
2,candidate_05+candidate_10,0.01256644632667303,0.0036806222051382065,36,2,0,False
2,candidate_05+candidate_11,0.01256644632667303,0.0036806222051382065,37,2,0,False
2,candidate_06+candidate_07,0.008885832503437996,8.381903171539307e-09,22,2,1,False
2,candidate_06+candidate_08,0.008885824121534824,0.0,17,2,1,False
2,candidate_06+candidate_09,0.008885815739631653,-8.381903171539307e-09,6,2,1,False
2,candidate_06+candidate_10,0.008885815739631653,-8.381903171539307e-09,7,2,1,False
2,candidate_06+candidate_11,0.008885815739631653,-8.381903171539307e-09,8,2,1,False
2,candidate_07+candidate_08,0.012566464953124523,0.003680640831589699,78,2,0,False
2,candidate_07+candidate_09,0.0125664584338665,0.0036806343123316765,70,2,0,False
2,candidate_07+candidate_10,0.0125664584338665,0.0036806343123316765,71,2,0,False
2,candidate_07+candidate_11,0.0125664584338665,0.0036806343123316765,72,2,0,False
2,candidate_08+candidate_09,0.012566452845931053,0.003680628724396229,57,2,0,False
2,candidate_08+candidate_10,0.012566452845931053,0.003680628724396229,58,2,0,False
2,candidate_08+candidate_11,0.012566452845931053,0.003680628724396229,59,2,0,False
2,candidate_09+candidate_10,0.01256644632667303,0.0036806222051382065,38,2,0,False
2,candidate_09+candidate_11,0.01256644632667303,0.0036806222051382065,39,2,0,False
2,candidate_10+candidate_11,0.01256644632667303,0.0036806222051382065,40,2,0,False
