scope,count,spearman_rho,spearman_pvalue,kendall_tau,kendall_pvalue,higher_score_associated_with_lower_hard_rmse,top10_k,top10_intersection,top10pct_k,top10pct_intersection
all_correct,2240,0.019588877662278497,0.3540894222707076,0.014219258952654924,0.31416619865310047,False,10,0,224,35
all_controls,6530,-0.6347990321504967,0.0,-0.4555652765366428,0.0,True,10,0,653,111
control_zero,2050,-0.7872436852721088,0.0,-0.6296944059146199,1.4805737758477987e-304,True,10,2,205,108
control_shuffled_xy,2240,-0.5464609912651526,1.2913518813613894e-174,-0.3757442908062989,9.397720616609928e-156,True,10,2,224,81
control_wrong_case_observation,2240,0.022787573870885418,0.2810146481955871,0.015865711621217027,0.26147978900530144,False,10,1,224,46
arm:analytic_five_body/correct,560,-0.19738381815353614,2.5151047470863705e-06,-0.13450316377346824,2.9494123154099e-06,True,10,1,56,13
arm:analytic_five_body/shuffled_xy,560,-0.16956638993228945,5.5081475320254656e-05,-0.11800828976894392,4.940626498033564e-05,True,10,2,56,15
arm:analytic_five_body/wrong_case_observation,560,-0.18198862453243358,1.4692315190335756e-05,-0.1241848273042134,1.5908038700588054e-05,True,10,2,56,11
arm:analytic_five_body/zero,370,-0.20450327783526376,7.421774843114265e-05,-0.14914851694797862,9.317943413134083e-05,True,10,2,37,9
arm:native_seed20260807/correct,560,-0.2214329401528238,1.195310590031628e-07,-0.14918559142458945,1.5029199797858634e-07,True,10,1,56,15
arm:native_seed20260807/shuffled_xy,560,-0.20380446357311016,1.154731809143057e-06,-0.13383212968100383,2.342275798763931e-06,True,10,1,56,28
arm:native_seed20260807/wrong_case_observation,560,-0.077436870505866,0.06707867088052982,-0.05276704057185095,0.06361185774565338,True,10,4,56,13
arm:native_seed20260807/zero,560,-0.5908396749033391,5.340532663344649e-54,-0.47329245477650644,1.615659507159522e-45,True,10,4,56,44
arm:native_seed20260808/correct,560,-0.1618185201239631,0.00011999048169790531,-0.10805619994031013,0.0001402772776265976,True,10,1,56,16
arm:native_seed20260808/shuffled_xy,560,-0.18888088449027923,6.785111084209515e-06,-0.1278473511591464,6.495741088630493e-06,True,10,3,56,24
arm:native_seed20260808/wrong_case_observation,560,-0.061666901581818694,0.1449972132099563,-0.04087854968454494,0.15052858981173223,True,10,1,56,11
arm:native_seed20260808/zero,560,-0.5898845455719975,8.670232864678642e-54,-0.46674808304093485,2.1458962826481224e-44,True,10,1,56,40
arm:native_seed20260809/correct,560,-0.17671127108671886,2.604495473947348e-05,-0.12058113836217711,2.224823595065745e-05,True,10,2,56,16
arm:native_seed20260809/shuffled_xy,560,-0.22671415027774028,5.833582873819772e-08,-0.1551927085752268,4.376318768695992e-08,True,10,3,56,24
arm:native_seed20260809/wrong_case_observation,560,-0.07996094789769805,0.05862139059045932,-0.05418661970807651,0.05637810698615935,True,10,2,56,17
arm:native_seed20260809/zero,560,-0.5998534953212652,5.087480098122431e-56,-0.47817261541884687,1.3594126457951457e-46,True,10,1,56,39
