scope,hard_loss_rank_quintile,interpretation,count,hard_delta_min,hard_delta_median,hard_delta_max,score_min,score_p05,score_median,score_p95,score_max
all_correct,1,"1=lowest/best hard delta, 5=highest/worst hard delta",448,0.0001472383737564087,0.0007569771260023117,0.000997515395283699,2.4635164663777687e-05,2.6469098884263076e-05,3.793169162236154e-05,7.275344978552312e-05,9.778767707757652e-05
all_correct,2,"1=lowest/best hard delta, 5=highest/worst hard delta",448,0.0009981393814086914,0.0011726482771337032,0.0013432204723358154,2.4635164663777687e-05,2.5463123802182962e-05,3.47972490999382e-05,6.173095607664436e-05,8.871073077898473e-05
all_correct,3,"1=lowest/best hard delta, 5=highest/worst hard delta",448,0.0013438500463962555,0.0015427330508828163,0.0017509087920188904,2.463516648276709e-05,2.6352579152444377e-05,3.5539384043659084e-05,6.173095607664436e-05,7.808303780620918e-05
all_correct,4,"1=lowest/best hard delta, 5=highest/worst hard delta",448,0.0017522620037198067,0.002011194359511137,0.0023107985034585,2.4635164663777687e-05,2.630657490954036e-05,3.565613405953627e-05,6.173095607664436e-05,7.275344978552312e-05
all_correct,5,"1=lowest/best hard delta, 5=highest/worst hard delta",448,0.0023116180673241615,0.0028089662082493305,0.005020248703658581,2.463516648276709e-05,2.643947664182633e-05,3.735419340955559e-05,6.173095607664436e-05,7.275344978552312e-05
all_controls,1,"1=lowest/best hard delta, 5=highest/worst hard delta",1306,-0.0005492791533470154,0.0006616823375225067,0.0009437417611479759,5.547361979552079e-06,6.6340626290184446e-06,4.677219476434402e-05,6.481471973529551e-05,8.661019091960043e-05
all_controls,2,"1=lowest/best hard delta, 5=highest/worst hard delta",1306,0.000943806953728199,0.0011930456385016441,0.001430543139576912,5.568147116719047e-06,6.0306035720714135e-06,3.578132964321412e-05,6.250109800021164e-05,8.151991642080247e-05
all_controls,3,"1=lowest/best hard delta, 5=highest/worst hard delta",1306,0.001430923119187355,0.0017195274122059345,0.0020793164148926735,5.547361979552079e-06,5.921641331951832e-06,3.4262830013176426e-05,6.215989560587332e-05,9.151024278253317e-05
all_controls,4,"1=lowest/best hard delta, 5=highest/worst hard delta",1306,0.0020798053592443466,0.0026363064534962177,0.004508754354901612,0.0,0.0,3.297580042271875e-05,6.169795051391702e-05,8.122159488266334e-05
all_controls,5,"1=lowest/best hard delta, 5=highest/worst hard delta",1306,0.004518216126598418,0.006057507183868438,0.008258187212049961,0.0,0.0,0.0,0.0,5.566444087889977e-05
control_zero,1,"1=lowest/best hard delta, 5=highest/worst hard delta",410,-0.0005492791533470154,0.0009823138825595379,0.001852856483310461,1.579690615471918e-05,3.0696434441779276e-05,4.8929432523436844e-05,5.091475541121319e-05,6.285327253863215e-05
control_zero,2,"1=lowest/best hard delta, 5=highest/worst hard delta",410,0.0018552159890532494,0.0036824248963966966,0.004776193876750767,0.0,0.0,0.0,4.999789234716445e-05,6.351447518682107e-05
control_zero,3,"1=lowest/best hard delta, 5=highest/worst hard delta",410,0.004776940797455609,0.005269707937259227,0.005718736094422638,0.0,0.0,0.0,0.0,2.1934030883130617e-05
control_zero,4,"1=lowest/best hard delta, 5=highest/worst hard delta",410,0.00571998069062829,0.006132801121566445,0.006601212662644684,0.0,0.0,0.0,0.0,0.0
control_zero,5,"1=lowest/best hard delta, 5=highest/worst hard delta",410,0.006602238863706589,0.007152970938477665,0.008258187212049961,0.0,0.0,0.0,0.0,0.0
control_shuffled_xy,1,"1=lowest/best hard delta, 5=highest/worst hard delta",448,4.6547502279281616e-05,0.0004799310117959976,0.0007551545277237892,5.568593678617617e-06,7.021188844191784e-06,4.6772227506153286e-05,5.870299592061201e-05,6.856937397969887e-05
control_shuffled_xy,2,"1=lowest/best hard delta, 5=highest/worst hard delta",448,0.0007574073970317841,0.0009805075824260712,0.001185176894068718,5.547361979552079e-06,5.85370730732393e-06,7.474152425857028e-06,4.919147613691166e-05,6.869485514471307e-05
control_shuffled_xy,3,"1=lowest/best hard delta, 5=highest/worst hard delta",448,0.0011856313794851303,0.0013772263191640377,0.0015647001564502716,5.568147116719047e-06,5.741677659898414e-06,7.0210207923082635e-06,4.821177753910888e-05,6.845522875664756e-05
control_shuffled_xy,4,"1=lowest/best hard delta, 5=highest/worst hard delta",448,0.0015673153102397919,0.0017867675051093102,0.0020601311698555946,5.547361979552079e-06,5.8317168850408055e-06,6.723008027620381e-06,4.6772227506153286e-05,6.430850044125691e-05
control_shuffled_xy,5,"1=lowest/best hard delta, 5=highest/worst hard delta",448,0.0020614340901374817,0.002466458361595869,0.0035156188532710075,5.547361979552079e-06,5.7028513538170955e-06,6.641058917011833e-06,2.5815904973569497e-05,5.044728095526807e-05
control_wrong_case_observation,1,"1=lowest/best hard delta, 5=highest/worst hard delta",448,-0.00012703239917755127,0.0007111020386219025,0.0009158570319414139,2.9982373234815896e-05,3.136912710033357e-05,4.1237428376916796e-05,7.10140448063612e-05,8.661019091960043e-05
control_wrong_case_observation,2,"1=lowest/best hard delta, 5=highest/worst hard delta",448,0.0009160945191979408,0.0011010738089680672,0.001277318224310875,2.9640843422384933e-05,3.072424078709446e-05,3.970230318373069e-05,6.900660810060799e-05,8.151991642080247e-05
control_wrong_case_observation,3,"1=lowest/best hard delta, 5=highest/worst hard delta",448,0.0012773610651493073,0.0014532050117850304,0.0016811136156320572,2.9640843422384933e-05,3.124785143882036e-05,3.938852023566142e-05,6.900660810060799e-05,8.122159488266334e-05
control_wrong_case_observation,4,"1=lowest/best hard delta, 5=highest/worst hard delta",448,0.001681285910308361,0.0019404240883886814,0.0022734105587005615,2.9640843422384933e-05,3.138351330562727e-05,4.16112470702501e-05,6.556713924510404e-05,9.151024278253317e-05
control_wrong_case_observation,5,"1=lowest/best hard delta, 5=highest/worst hard delta",448,0.0022734729573130608,0.0027468036860227585,0.0050202468410134315,2.9982373234815896e-05,3.3305737451883034e-05,4.163743869867176e-05,6.173095607664436e-05,8.122159488266334e-05
arm:analytic_five_body/correct,1,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.00045064836740493774,0.0013314508832991123,0.0016625020653009415,3.506026405375451e-05,3.5385452792979774e-05,5.274311115499586e-05,6.173095607664436e-05,7.437914609909058e-05
arm:analytic_five_body/correct,2,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.0016703102737665176,0.0018731462769210339,0.0020853960886597633,3.506026405375451e-05,3.5385452429181895e-05,4.7225028538377956e-05,6.173095607664436e-05,6.173095607664436e-05
arm:analytic_five_body/correct,3,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.002087843604385853,0.002304560039192438,0.002552955411374569,3.506026405375451e-05,3.508279241941637e-05,4.719778553408105e-05,6.173095607664436e-05,6.820862472523004e-05
arm:analytic_five_body/correct,4,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.0025536958128213882,0.002825988456606865,0.003235088661313057,3.506026405375451e-05,3.508279041852802e-05,4.719778735307045e-05,6.173095607664436e-05,6.962606130400673e-05
arm:analytic_five_body/correct,5,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.0032354919239878654,0.0036924565210938454,0.005020248703658581,3.506026405375451e-05,3.5060267691733316e-05,4.719778189610224e-05,6.169795233290642e-05,6.173095607664436e-05
arm:analytic_five_body/shuffled_xy,1,"1=lowest/best hard delta, 5=highest/worst hard delta",112,4.6547502279281616e-05,0.00023421365767717361,0.00035411305725574493,4.62380085082259e-05,4.6238019422162324e-05,4.838505992665887e-05,6.032390829204814e-05,6.856937397969887e-05
arm:analytic_five_body/shuffled_xy,2,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.0003547854721546173,0.00044562947005033493,0.0005591288208961487,4.62380085082259e-05,4.6238019422162324e-05,4.838498898607213e-05,5.710315817850642e-05,6.561888585565612e-05
arm:analytic_five_body/shuffled_xy,3,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.0005597099661827087,0.0006690695881843567,0.0008057523518800735,4.62380085082259e-05,4.62380085082259e-05,4.812303632206749e-05,5.790580617031082e-05,6.192651926539838e-05
arm:analytic_five_body/shuffled_xy,4,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.0008114408701658249,0.001011141575872898,0.0011984165757894516,4.62380085082259e-05,4.6238019422162324e-05,4.731661465484649e-05,5.077019031887174e-05,6.869485514471307e-05
arm:analytic_five_body/shuffled_xy,5,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.0012002289295196533,0.0015022950246930122,0.002218257635831833,4.62380085082259e-05,4.623801251000259e-05,4.6772227506153286e-05,5.124988128955008e-05,6.845522875664756e-05
arm:analytic_five_body/wrong_case_observation,1,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.0005589714273810387,0.0013360506854951382,0.001681285910308361,3.506026405375451e-05,3.508279041852802e-05,4.9821785069070756e-05,6.262604510993696e-05,6.96259448886849e-05
arm:analytic_five_body/wrong_case_observation,2,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.001683620736002922,0.0018731458112597466,0.002085392363369465,3.506026405375451e-05,3.563308564480394e-05,4.979140248906333e-05,6.173095607664436e-05,7.437892782036215e-05
arm:analytic_five_body/wrong_case_observation,3,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.002087770961225033,0.0023049507290124893,0.0025717271491885185,3.506026405375451e-05,3.508279241941637e-05,4.719778553408105e-05,6.173095607664436e-05,6.277723878156394e-05
arm:analytic_five_body/wrong_case_observation,4,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.002576504833996296,0.0028486009687185287,0.0032737571746110916,3.506026405375451e-05,3.508279041852802e-05,4.7197783715091646e-05,6.173095607664436e-05,6.173095607664436e-05
arm:analytic_five_body/wrong_case_observation,5,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.003276268020272255,0.0037550367414951324,0.0050202468410134315,3.506026405375451e-05,3.5060267691733316e-05,4.7197783715091646e-05,6.173095207486767e-05,6.173095607664436e-05
arm:analytic_five_body/zero,1,"1=lowest/best hard delta, 5=highest/worst hard delta",74,-0.0003807181492447853,0.0003459528088569641,0.0005152067169547081,4.7578607336618006e-05,4.757864371640608e-05,4.999789234716445e-05,5.792440042569068e-05,6.279855006141588e-05
