case_id,terminal_branch_id,terminal_child_state_id,lineage_step,generation,state_id,parent_state_id,proposal_move,hard_rmse,delta_hard_rmse_vs_own_parent,changed_from_base_voxels,body_count,beam_rank_one_based,beam_cutoff_hard_rmse,entered_generation_beam
analytic_five_body,branch_b85b315a942ff4dbef00,g009_p000018_g008_p000026_g007_p000045_g006_p000087_g005_p000023_g004_p000008_g003_p000069_g002_p000031_g001_p000058_empty,0,0,empty,,initial,0.008885824121534824,,0,0,,,True
analytic_five_body,branch_b85b315a942ff4dbef00,g009_p000018_g008_p000026_g007_p000045_g006_p000087_g005_p000023_g004_p000008_g003_p000069_g002_p000031_g001_p000058_empty,1,1,g001_p000058_empty,empty,birth_trust_region_new_center,0.008930737152695656,4.491303116083145e-05,3,1,3,0.009027141146361828,True
analytic_five_body,branch_b85b315a942ff4dbef00,g009_p000018_g008_p000026_g007_p000045_g006_p000087_g005_p000023_g004_p000008_g003_p000069_g002_p000031_g001_p000058_empty,2,2,g002_p000031_g001_p000058_empty,g001_p000058_empty,death,0.008885824121534824,-4.491303116083145e-05,0,0,6,0.008885824121534824,True
analytic_five_body,branch_b85b315a942ff4dbef00,g009_p000018_g008_p000026_g007_p000045_g006_p000087_g005_p000023_g004_p000008_g003_p000069_g002_p000031_g001_p000058_empty,3,3,g003_p000069_g002_p000031_g001_p000058_empty,g002_p000031_g001_p000058_empty,birth_trust_region_new_center,0.008924954570829868,3.9130449295043945e-05,3,1,1,0.008969038724899292,True
analytic_five_body,branch_b85b315a942ff4dbef00,g009_p000018_g008_p000026_g007_p000045_g006_p000087_g005_p000023_g004_p000008_g003_p000069_g002_p000031_g001_p000058_empty,4,4,g004_p000008_g003_p000069_g002_p000031_g001_p000058_empty,g003_p000069_g002_p000031_g001_p000058_empty,translate,0.00888169463723898,-4.325993359088898e-05,2,1,2,0.008885824121534824,True
analytic_five_body,branch_b85b315a942ff4dbef00,g009_p000018_g008_p000026_g007_p000045_g006_p000087_g005_p000023_g004_p000008_g003_p000069_g002_p000031_g001_p000058_empty,5,5,g005_p000023_g004_p000008_g003_p000069_g002_p000031_g001_p000058_empty,g004_p000008_g003_p000069_g002_p000031_g001_p000058_empty,change_shape,0.00888169463723898,0.0,2,1,8,0.00888169463723898,True
analytic_five_body,branch_b85b315a942ff4dbef00,g009_p000018_g008_p000026_g007_p000045_g006_p000087_g005_p000023_g004_p000008_g003_p000069_g002_p000031_g001_p000058_empty,6,6,g006_p000087_g005_p000023_g004_p000008_g003_p000069_g002_p000031_g001_p000058_empty,g005_p000023_g004_p000008_g003_p000069_g002_p000031_g001_p000058_empty,resize,0.008863654918968678,-1.803971827030182e-05,10,1,4,0.0088801933452487,True
analytic_five_body,branch_b85b315a942ff4dbef00,g009_p000018_g008_p000026_g007_p000045_g006_p000087_g005_p000023_g004_p000008_g003_p000069_g002_p000031_g001_p000058_empty,7,7,g007_p000045_g006_p000087_g005_p000023_g004_p000008_g003_p000069_g002_p000031_g001_p000058_empty,g006_p000087_g005_p000023_g004_p000008_g003_p000069_g002_p000031_g001_p000058_empty,resize,0.00882746372371912,-3.6191195249557495e-05,26,1,3,0.008863654918968678,True
analytic_five_body,branch_b85b315a942ff4dbef00,g009_p000018_g008_p000026_g007_p000045_g006_p000087_g005_p000023_g004_p000008_g003_p000069_g002_p000031_g001_p000058_empty,8,8,g008_p000026_g007_p000045_g006_p000087_g005_p000023_g004_p000008_g003_p000069_g002_p000031_g001_p000058_empty,g007_p000045_g006_p000087_g005_p000023_g004_p000008_g003_p000069_g002_p000031_g001_p000058_empty,translate,0.008823307231068611,-4.156492650508881e-06,28,1,2,0.00882746372371912,True
analytic_five_body,branch_b85b315a942ff4dbef00,g009_p000018_g008_p000026_g007_p000045_g006_p000087_g005_p000023_g004_p000008_g003_p000069_g002_p000031_g001_p000058_empty,9,9,g009_p000018_g008_p000026_g007_p000045_g006_p000087_g005_p000023_g004_p000008_g003_p000069_g002_p000031_g001_p000058_empty,g008_p000026_g007_p000045_g006_p000087_g005_p000023_g004_p000008_g003_p000069_g002_p000031_g001_p000058_empty,birth_trust_region_new_center,0.008819904178380966,-3.4030526876449585e-06,31,2,10,0.008810069411993027,False
