generation,state_id,parent_id,ranking_id,rank_index,center_x,center_y,center_z,predicted_first_order_mse_decrease,hard_rmse,delta_rmse_vs_parent,delta_rmse_vs_empty,condition_violations,truth_used
1,g001_p000000_empty,empty,g001_b7e43f1d75130653_0000,0,41.0,41.0,39.0,6.173095607664436e-05,0.01064186543226242,0.0017560413107275963,0.0017560413107275963,0,False
1,g001_p000001_empty,empty,g001_b7e43f1d75130653_0000,1,41.0,42.0,39.0,6.173095607664436e-05,0.010239830240607262,0.0013540061190724373,0.0013540061190724373,0,False
1,g001_p000002_empty,empty,g001_b7e43f1d75130653_0000,2,42.0,41.0,39.0,6.173095607664436e-05,0.010207399725914001,0.001321575604379177,0.001321575604379177,0,False
1,g001_p000003_empty,empty,g001_b7e43f1d75130653_0000,3,42.0,42.0,39.0,6.173094880068675e-05,0.011033470742404461,0.0021476466208696365,0.0021476466208696365,0,False
1,g001_p000004_empty,empty,g001_b7e43f1d75130653_0000,4,9.0,41.0,21.0,6.169795233290642e-05,0.01189323328435421,0.0030074091628193855,0.0030074091628193855,0,False
1,g001_p000005_empty,empty,g001_b7e43f1d75130653_0000,5,9.0,42.0,21.0,6.169795233290642e-05,0.01081767026335001,0.0019318461418151855,0.0019318461418151855,0,False
1,g001_p000006_empty,empty,g001_b7e43f1d75130653_0000,6,10.0,41.0,21.0,6.169795233290642e-05,0.010613402351737022,0.001727578230202198,0.001727578230202198,0,False
1,g001_p000007_empty,empty,g001_b7e43f1d75130653_0000,7,10.0,42.0,21.0,6.169794505694881e-05,0.01089664176106453,0.002010817639529705,0.002010817639529705,0,False
1,g001_p000008_empty,empty,g001_b7e43f1d75130653_0000,8,40.0,41.0,39.0,5.569587301579304e-05,0.010384234599769115,0.001498410478234291,0.001498410478234291,0,False
1,g001_p000009_empty,empty,g001_b7e43f1d75130653_0000,9,40.0,42.0,39.0,5.569587301579304e-05,0.010406355373561382,0.001520531252026558,0.001520531252026558,0,False
1,g001_p000010_empty,empty,g001_b7e43f1d75130653_0000,10,41.0,40.0,39.0,5.569587301579304e-05,0.010794493369758129,0.0019086692482233047,0.0019086692482233047,0,False
1,g001_p000011_empty,empty,g001_b7e43f1d75130653_0000,11,41.0,43.0,39.0,5.569587301579304e-05,0.010967187583446503,0.0020813634619116783,0.0020813634619116783,0,False
1,g001_p000012_empty,empty,g001_b7e43f1d75130653_0000,12,42.0,40.0,39.0,5.569586937781423e-05,0.012852519750595093,0.003966695629060268,0.003966695629060268,0,False
1,g001_p000013_empty,empty,g001_b7e43f1d75130653_0000,13,42.0,43.0,39.0,5.569586937781423e-05,0.01023027952760458,0.0013444554060697556,0.0013444554060697556,0,False
1,g001_p000014_empty,empty,g001_b7e43f1d75130653_0000,14,43.0,41.0,39.0,5.569586937781423e-05,0.011066999286413193,0.0021811751648783684,0.0021811751648783684,0,False
1,g001_p000015_empty,empty,g001_b7e43f1d75130653_0000,15,43.0,42.0,39.0,5.5695865739835426e-05,0.010439394973218441,0.0015535708516836166,0.0015535708516836166,0,False
1,g001_p000016_empty,empty,g001_b7e43f1d75130653_0000,16,8.0,41.0,21.0,5.566444087889977e-05,0.010058017447590828,0.0011721933260560036,0.0011721933260560036,0,False
1,g001_p000017_empty,empty,g001_b7e43f1d75130653_0000,17,8.0,42.0,21.0,5.566444087889977e-05,0.011109227314591408,0.0022234031930565834,0.0022234031930565834,0,False
1,g001_p000018_empty,empty,g001_b7e43f1d75130653_0000,18,9.0,40.0,21.0,5.566444087889977e-05,0.010888425633311272,0.0020026015117764473,0.0020026015117764473,0,False
1,g001_p000019_empty,empty,g001_b7e43f1d75130653_0000,19,9.0,43.0,21.0,5.566444087889977e-05,0.010437632910907269,0.0015518087893724442,0.0015518087893724442,0,False
1,g001_p000020_empty,empty,g001_b7e43f1d75130653_0000,20,10.0,40.0,21.0,5.566443724092096e-05,0.010873675346374512,0.0019878512248396873,0.0019878512248396873,0,False
1,g001_p000021_empty,empty,g001_b7e43f1d75130653_0000,21,10.0,43.0,21.0,5.566443724092096e-05,0.011273432523012161,0.002387608401477337,0.002387608401477337,0,False
1,g001_p000022_empty,empty,g001_b7e43f1d75130653_0000,22,11.0,41.0,21.0,5.566443724092096e-05,0.012923450209200382,0.004037626087665558,0.004037626087665558,0,False
1,g001_p000023_empty,empty,g001_b7e43f1d75130653_0000,23,11.0,42.0,21.0,5.5664433602942154e-05,0.012333454564213753,0.0034476304426789284,0.0034476304426789284,0,False
1,g001_p000024_empty,empty,g001_b7e43f1d75130653_0000,24,40.0,40.0,39.0,4.9821788707049564e-05,0.012150071561336517,0.003264247439801693,0.003264247439801693,0,False
1,g001_p000025_empty,empty,g001_b7e43f1d75130653_0000,25,40.0,43.0,39.0,4.9821788707049564e-05,0.011141175404191017,0.0022553512826561928,0.0022553512826561928,0,False
1,g001_p000026_empty,empty,g001_b7e43f1d75130653_0000,26,43.0,40.0,39.0,4.9821785069070756e-05,0.010387456975877285,0.0015016328543424606,0.0015016328543424606,0,False
1,g001_p000027_empty,empty,g001_b7e43f1d75130653_0000,27,43.0,43.0,39.0,4.9821785069070756e-05,0.012671391479671001,0.003785567358136177,0.003785567358136177,0,False
1,g001_p000028_empty,empty,g001_b7e43f1d75130653_0000,28,8.0,40.0,21.0,4.9791404308052734e-05,0.012118189595639706,0.0032323654741048813,0.0032323654741048813,0,False
1,g001_p000029_empty,empty,g001_b7e43f1d75130653_0000,29,8.0,43.0,21.0,4.9791404308052734e-05,0.011150380596518517,0.002264556474983692,0.002264556474983692,0,False
1,g001_p000030_empty,empty,g001_b7e43f1d75130653_0000,30,11.0,40.0,21.0,4.9791400670073926e-05,0.011883020401000977,0.002997196279466152,0.002997196279466152,0,False
1,g001_p000031_empty,empty,g001_b7e43f1d75130653_0000,31,11.0,43.0,21.0,4.9791400670073926e-05,0.01006285846233368,0.0011770343407988548,0.0011770343407988548,0,False
1,g001_p000032_empty,empty,g001_b7e43f1d75130653_0000,32,39.0,41.0,39.0,4.7225028538377956e-05,0.012688230723142624,0.0038024066016077995,0.0038024066016077995,0,False
1,g001_p000033_empty,empty,g001_b7e43f1d75130653_0000,33,39.0,42.0,39.0,4.7225028538377956e-05,0.010640165768563747,0.001754341647028923,0.001754341647028923,0,False
1,g001_p000034_empty,empty,g001_b7e43f1d75130653_0000,34,41.0,39.0,39.0,4.7225028538377956e-05,0.010876876302063465,0.0019910521805286407,0.0019910521805286407,0,False
1,g001_p000035_empty,empty,g001_b7e43f1d75130653_0000,35,41.0,44.0,39.0,4.7225028538377956e-05,0.01260268036276102,0.0037168562412261963,0.0037168562412261963,0,False
1,g001_p000036_empty,empty,g001_b7e43f1d75130653_0000,36,42.0,39.0,39.0,4.722502490039915e-05,0.010971220210194588,0.0020853960886597633,0.0020853960886597633,0,False
1,g001_p000037_empty,empty,g001_b7e43f1d75130653_0000,37,42.0,44.0,39.0,4.722502490039915e-05,0.010420776903629303,0.0015349527820944786,0.0015349527820944786,0,False
1,g001_p000038_empty,empty,g001_b7e43f1d75130653_0000,38,44.0,41.0,39.0,4.722502490039915e-05,0.011177114211022854,0.0022912900894880295,0.0022912900894880295,0,False
1,g001_p000039_empty,empty,g001_b7e43f1d75130653_0000,39,44.0,42.0,39.0,4.722502126242034e-05,0.013103118166327477,0.004217294044792652,0.004217294044792652,0,False
1,g001_p000040_empty,empty,g001_b7e43f1d75130653_0000,40,7.0,41.0,21.0,4.719778735307045e-05,0.012451423332095146,0.003565599210560322,0.003565599210560322,0,False
1,g001_p000041_empty,empty,g001_b7e43f1d75130653_0000,41,7.0,42.0,21.0,4.719778735307045e-05,0.01078247744590044,0.0018966533243656158,0.0018966533243656158,0,False
1,g001_p000042_empty,empty,g001_b7e43f1d75130653_0000,42,9.0,39.0,21.0,4.719778735307045e-05,0.010100663639605045,0.001214839518070221,0.001214839518070221,0,False
1,g001_p000043_empty,empty,g001_b7e43f1d75130653_0000,43,9.0,44.0,21.0,4.719778735307045e-05,0.012383156456053257,0.0034973323345184326,0.0034973323345184326,0,False
1,g001_p000044_empty,empty,g001_b7e43f1d75130653_0000,44,10.0,39.0,21.0,4.7197783715091646e-05,0.012458181008696556,0.0035723568871617317,0.0035723568871617317,0,False
1,g001_p000045_empty,empty,g001_b7e43f1d75130653_0000,45,10.0,44.0,21.0,4.7197783715091646e-05,0.011771926656365395,0.0028861025348305702,0.0028861025348305702,0,False
1,g001_p000046_empty,empty,g001_b7e43f1d75130653_0000,46,12.0,41.0,21.0,4.7197783715091646e-05,0.010535208508372307,0.0016493843868374825,0.0016493843868374825,0,False
1,g001_p000047_empty,empty,g001_b7e43f1d75130653_0000,47,12.0,42.0,21.0,4.719778007711284e-05,0.011491083540022373,0.002605259418487549,0.002605259418487549,0,False
1,g001_p000048_empty,empty,g001_b7e43f1d75130653_0000,48,39.0,40.0,39.0,4.1637442336650565e-05,0.012831547297537327,0.0039457231760025024,0.0039457231760025024,0,False
1,g001_p000049_empty,empty,g001_b7e43f1d75130653_0000,49,39.0,43.0,39.0,4.1637442336650565e-05,0.01119187381118536,0.0023060496896505356,0.0023060496896505356,0,False
1,g001_p000050_empty,empty,g001_b7e43f1d75130653_0000,50,40.0,39.0,39.0,4.1637442336650565e-05,0.011020240373909473,0.002134416252374649,0.002134416252374649,0,False
1,g001_p000051_empty,empty,g001_b7e43f1d75130653_0000,51,40.0,44.0,39.0,4.1637442336650565e-05,0.010759224183857441,0.0018734000623226166,0.0018734000623226166,0,False
1,g001_p000052_empty,empty,g001_b7e43f1d75130653_0000,52,43.0,39.0,39.0,4.163743869867176e-05,0.010804278776049614,0.0019184546545147896,0.0019184546545147896,0,False
1,g001_p000053_empty,empty,g001_b7e43f1d75130653_0000,53,43.0,44.0,39.0,4.163743869867176e-05,0.011391970328986645,0.0025061462074518204,0.0025061462074518204,0,False
1,g001_p000054_empty,empty,g001_b7e43f1d75130653_0000,54,44.0,40.0,39.0,4.163743869867176e-05,0.011625466868281364,0.00273964274674654,0.00273964274674654,0,False
1,g001_p000055_empty,empty,g001_b7e43f1d75130653_0000,55,44.0,43.0,39.0,4.163743869867176e-05,0.00974311400204897,0.0008572898805141449,0.0008572898805141449,0,False
1,g001_p000056_empty,empty,g001_b7e43f1d75130653_0000,56,7.0,40.0,21.0,4.1611248889239505e-05,0.012304414995014668,0.003418590873479843,0.003418590873479843,0,False
1,g001_p000057_empty,empty,g001_b7e43f1d75130653_0000,57,7.0,43.0,21.0,4.1611248889239505e-05,0.0122563811019063,0.0033705569803714752,0.0033705569803714752,0,False
1,g001_p000058_empty,empty,g001_b7e43f1d75130653_0000,58,8.0,39.0,21.0,4.1611248889239505e-05,0.009596537798643112,0.0007107136771082878,0.0007107136771082878,0,False
1,g001_p000059_empty,empty,g001_b7e43f1d75130653_0000,59,8.0,44.0,21.0,4.1611248889239505e-05,0.010804416611790657,0.0019185924902558327,0.0019185924902558327,0,False
1,g001_p000060_empty,empty,g001_b7e43f1d75130653_0000,60,11.0,39.0,21.0,4.16112452512607e-05,0.010109796188771725,0.0012239720672369003,0.0012239720672369003,0,False
1,g001_p000061_empty,empty,g001_b7e43f1d75130653_0000,61,11.0,44.0,21.0,4.16112452512607e-05,0.010204523801803589,0.0013186996802687645,0.0013186996802687645,0,False
1,g001_p000062_empty,empty,g001_b7e43f1d75130653_0000,62,12.0,40.0,21.0,4.16112452512607e-05,0.010744448751211166,0.001858624629676342,0.001858624629676342,0,False
1,g001_p000063_empty,empty,g001_b7e43f1d75130653_0000,63,12.0,43.0,21.0,4.16112452512607e-05,0.01008924376219511,0.001203419640660286,0.001203419640660286,0,False
1,g001_p000064_empty,empty,g001_b7e43f1d75130653_0000,64,42.0,41.0,40.0,3.641900548245758e-05,0.010266019031405449,0.0013801949098706245,0.0013801949098706245,0,False
1,g001_p000065_empty,empty,g001_b7e43f1d75130653_0000,65,42.0,42.0,40.0,3.641900548245758e-05,0.011370915919542313,0.0024850917980074883,0.0024850917980074883,0,False
1,g001_p000066_empty,empty,g001_b7e43f1d75130653_0000,66,41.0,42.0,40.0,3.641900184447877e-05,0.011902935802936554,0.0030171116814017296,0.0030171116814017296,0,False
1,g001_p000067_empty,empty,g001_b7e43f1d75130653_0000,67,41.0,41.0,40.0,3.641899456852116e-05,0.011829987168312073,0.0029441630467772484,0.0029441630467772484,0,False
1,g001_p000068_empty,empty,g001_b7e43f1d75130653_0000,68,10.0,41.0,22.0,3.638600173871964e-05,0.010690107010304928,0.0018042828887701035,0.0018042828887701035,0,False
1,g001_p000069_empty,empty,g001_b7e43f1d75130653_0000,69,10.0,42.0,22.0,3.638600173871964e-05,0.01271437294781208,0.003828548826277256,0.003828548826277256,0,False
1,g001_p000070_empty,empty,g001_b7e43f1d75130653_0000,70,9.0,42.0,22.0,3.6385998100740835e-05,0.011591307818889618,0.0027054836973547935,0.0027054836973547935,0,False
1,g001_p000071_empty,empty,g001_b7e43f1d75130653_0000,71,9.0,41.0,22.0,3.638599082478322e-05,0.011272147297859192,0.0023863231763243675,0.0023863231763243675,0,False
1,g001_p000072_empty,empty,g001_b7e43f1d75130653_0000,72,38.0,41.0,39.0,3.565613951650448e-05,0.010785743594169617,0.0018999194726347923,0.0018999194726347923,0,False
1,g001_p000073_empty,empty,g001_b7e43f1d75130653_0000,73,38.0,42.0,39.0,3.565613951650448e-05,0.010754287242889404,0.00186846312135458,0.00186846312135458,0,False
1,g001_p000074_empty,empty,g001_b7e43f1d75130653_0000,74,41.0,38.0,39.0,3.5656135878525674e-05,0.011199906468391418,0.002314082346856594,0.002314082346856594,0,False
1,g001_p000075_empty,empty,g001_b7e43f1d75130653_0000,75,41.0,45.0,39.0,3.5656135878525674e-05,0.010626623407006264,0.0017407992854714394,0.0017407992854714394,0,False
1,g001_p000076_empty,empty,g001_b7e43f1d75130653_0000,76,42.0,38.0,39.0,3.5656135878525674e-05,0.012135403230786324,0.003249579109251499,0.003249579109251499,0,False
1,g001_p000077_empty,empty,g001_b7e43f1d75130653_0000,77,42.0,45.0,39.0,3.5656135878525674e-05,0.01197383925318718,0.003088015131652355,0.003088015131652355,0,False
1,g001_p000078_empty,empty,g001_b7e43f1d75130653_0000,78,45.0,41.0,39.0,3.5656135878525674e-05,0.01216943934559822,0.0032836152240633965,0.0032836152240633965,0,False
