generation,state_id,parent_id,ranking_id,rank_index,center_x,center_y,center_z,predicted_first_order_mse_decrease,hard_rmse,delta_rmse_vs_parent,delta_rmse_vs_empty,condition_violations,truth_used
1,g001_p000000_empty,empty,g001_b7e43f1d75130653_0000,0,41.0,9.0,20.0,5.014018097426742e-05,0.01832948811352253,0.0006972160190343857,0.0006972160190343857,0,False
1,g001_p000001_empty,empty,g001_b7e43f1d75130653_0000,1,9.0,9.0,9.0,4.919147613691166e-05,0.01802145503461361,0.0003891829401254654,0.0003891829401254654,0,False
1,g001_p000002_empty,empty,g001_b7e43f1d75130653_0000,2,9.0,9.0,10.0,4.919147613691166e-05,0.01778724603354931,0.00015497393906116486,0.00015497393906116486,0,False
1,g001_p000003_empty,empty,g001_b7e43f1d75130653_0000,3,9.0,9.0,11.0,4.919147613691166e-05,0.018154440447688103,0.0005221683531999588,0.0005221683531999588,0,False
1,g001_p000004_empty,empty,g001_b7e43f1d75130653_0000,4,9.0,10.0,9.0,4.919147613691166e-05,0.018495673313736916,0.0008634012192487717,0.0008634012192487717,0,False
1,g001_p000005_empty,empty,g001_b7e43f1d75130653_0000,5,9.0,10.0,10.0,4.919147613691166e-05,0.01780911535024643,0.00017684325575828552,0.00017684325575828552,0,False
1,g001_p000006_empty,empty,g001_b7e43f1d75130653_0000,6,9.0,10.0,11.0,4.919147613691166e-05,0.01795751228928566,0.00032524019479751587,0.00032524019479751587,0,False
1,g001_p000007_empty,empty,g001_b7e43f1d75130653_0000,7,10.0,9.0,9.0,4.919147613691166e-05,0.018116824328899384,0.0004845522344112396,0.0004845522344112396,0,False
1,g001_p000008_empty,empty,g001_b7e43f1d75130653_0000,8,10.0,9.0,10.0,4.919147613691166e-05,0.01797078177332878,0.0003385096788406372,0.0003385096788406372,0,False
1,g001_p000009_empty,empty,g001_b7e43f1d75130653_0000,9,10.0,9.0,11.0,4.919147613691166e-05,0.01793394424021244,0.00030167214572429657,0.00030167214572429657,0,False
1,g001_p000010_empty,empty,g001_b7e43f1d75130653_0000,10,25.0,9.0,29.0,4.919147613691166e-05,0.018136372789740562,0.0005041006952524185,0.0005041006952524185,0,False
1,g001_p000011_empty,empty,g001_b7e43f1d75130653_0000,11,25.0,9.0,30.0,4.919147613691166e-05,0.018403124064207077,0.0007708519697189331,0.0007708519697189331,0,False
1,g001_p000012_empty,empty,g001_b7e43f1d75130653_0000,12,25.0,9.0,31.0,4.919147613691166e-05,0.018977481871843338,0.001345209777355194,0.001345209777355194,0,False
1,g001_p000013_empty,empty,g001_b7e43f1d75130653_0000,13,25.0,10.0,30.0,4.919147613691166e-05,0.017955215647816658,0.0003229435533285141,0.0003229435533285141,0,False
1,g001_p000014_empty,empty,g001_b7e43f1d75130653_0000,14,25.0,10.0,31.0,4.919147613691166e-05,0.01807153970003128,0.0004392676055431366,0.0004392676055431366,0,False
1,g001_p000015_empty,empty,g001_b7e43f1d75130653_0000,15,26.0,9.0,30.0,4.919147613691166e-05,0.017965849488973618,0.00033357739448547363,0.00033357739448547363,0,False
1,g001_p000016_empty,empty,g001_b7e43f1d75130653_0000,16,26.0,9.0,31.0,4.919147613691166e-05,0.017896149307489395,0.0002638772130012512,0.0002638772130012512,0,False
1,g001_p000017_empty,empty,g001_b7e43f1d75130653_0000,17,9.0,9.0,12.0,4.919141065329313e-05,0.01833827793598175,0.0007060058414936066,0.0007060058414936066,0,False
1,g001_p000018_empty,empty,g001_b7e43f1d75130653_0000,18,9.0,10.0,12.0,4.919141065329313e-05,0.018125541508197784,0.0004932694137096405,0.0004932694137096405,0,False
1,g001_p000019_empty,empty,g001_b7e43f1d75130653_0000,19,25.0,9.0,32.0,4.919141065329313e-05,0.01782359555363655,0.00019132345914840698,0.00019132345914840698,0,False
1,g001_p000020_empty,empty,g001_b7e43f1d75130653_0000,20,25.0,10.0,32.0,4.919141065329313e-05,0.018038487061858177,0.00040621496737003326,0.00040621496737003326,0,False
1,g001_p000021_empty,empty,g001_b7e43f1d75130653_0000,21,10.0,9.0,12.0,4.919139973935671e-05,0.018148383125662804,0.0005161110311746597,0.0005161110311746597,0,False
1,g001_p000022_empty,empty,g001_b7e43f1d75130653_0000,22,26.0,9.0,32.0,4.919139973935671e-05,0.019199587404727936,0.0015673153102397919,0.0015673153102397919,0,False
1,g001_p000023_empty,empty,g001_b7e43f1d75130653_0000,23,41.0,9.0,19.0,4.918983540846966e-05,0.018649477511644363,0.0010172054171562195,0.0010172054171562195,0,False
1,g001_p000024_empty,empty,g001_b7e43f1d75130653_0000,24,25.0,10.0,29.0,4.9113477871287614e-05,0.018589066341519356,0.0009567942470312119,0.0009567942470312119,0,False
1,g001_p000025_empty,empty,g001_b7e43f1d75130653_0000,25,26.0,9.0,29.0,4.9113477871287614e-05,0.018163369968533516,0.000531097874045372,0.000531097874045372,0,False
1,g001_p000026_empty,empty,g001_b7e43f1d75130653_0000,26,41.0,9.0,18.0,4.8463407438248396e-05,0.018117966130375862,0.0004856940358877182,0.0004856940358877182,0,False
