generation,state_id,parent_id,ranking_id,rank_index,center_x,center_y,center_z,predicted_first_order_mse_decrease,hard_rmse,delta_rmse_vs_parent,delta_rmse_vs_empty,condition_violations,truth_used
1,g001_p000000_empty,empty,g001_b7e43f1d75130653_0000,0,44.0,23.0,39.0,1.011569838738069e-05,0.017944034188985825,0.0031495457515120506,0.0031495457515120506,0,False
1,g001_p000001_empty,empty,g001_b7e43f1d75130653_0000,1,5.0,33.0,38.0,8.325559065269772e-06,0.016501950100064278,0.0017074616625905037,0.0017074616625905037,0,False
1,g001_p000002_empty,empty,g001_b7e43f1d75130653_0000,2,56.0,7.0,37.0,7.981846465554554e-06,0.01606225222349167,0.0012677637860178947,0.0012677637860178947,0,False
1,g001_p000003_empty,empty,g001_b7e43f1d75130653_0000,3,41.0,22.0,38.0,7.68415611673845e-06,0.01735825091600418,0.002563762478530407,0.002563762478530407,0,False
1,g001_p000004_empty,empty,g001_b7e43f1d75130653_0000,4,25.0,14.0,34.0,7.6378591984394e-06,0.016600608825683594,0.0018061203882098198,0.0018061203882098198,0,False
1,g001_p000005_empty,empty,g001_b7e43f1d75130653_0000,5,5.0,38.0,36.0,7.572677532152738e-06,0.01575113646686077,0.0009566480293869972,0.0009566480293869972,0,False
1,g001_p000006_empty,empty,g001_b7e43f1d75130653_0000,6,54.0,5.0,39.0,7.48304864828242e-06,0.01675279065966606,0.0019583022221922874,0.0019583022221922874,0,False
1,g001_p000007_empty,empty,g001_b7e43f1d75130653_0000,7,29.0,9.0,36.0,7.406775239360286e-06,0.016077177599072456,0.0012826891615986824,0.0012826891615986824,0,False
1,g001_p000008_empty,empty,g001_b7e43f1d75130653_0000,8,51.0,6.0,36.0,7.340614502027165e-06,0.016331398859620094,0.0015369104221463203,0.0015369104221463203,0,False
1,g001_p000009_empty,empty,g001_b7e43f1d75130653_0000,9,21.0,9.0,39.0,7.263754469022388e-06,0.017659535631537437,0.0028650471940636635,0.0028650471940636635,0,False
1,g001_p000010_empty,empty,g001_b7e43f1d75130653_0000,10,29.0,38.0,39.0,7.1910908445715904e-06,0.018081560730934143,0.003287072293460369,0.003287072293460369,0,False
1,g001_p000011_empty,empty,g001_b7e43f1d75130653_0000,11,52.0,6.0,36.0,7.168045158323366e-06,0.017880650237202644,0.0030861617997288704,0.0030861617997288704,0,False
1,g001_p000012_empty,empty,g001_b7e43f1d75130653_0000,12,39.0,35.0,19.0,7.153301794460276e-06,0.01753510907292366,0.0027406206354498863,0.0027406206354498863,0,False
1,g001_p000013_empty,empty,g001_b7e43f1d75130653_0000,13,42.0,23.0,39.0,7.13679582986515e-06,0.016563404351472855,0.0017689159139990807,0.0017689159139990807,0,False
1,g001_p000014_empty,empty,g001_b7e43f1d75130653_0000,14,9.0,38.0,37.0,7.127845492505003e-06,0.016023386269807816,0.0012288978323340416,0.0012288978323340416,0,False
1,g001_p000015_empty,empty,g001_b7e43f1d75130653_0000,15,42.0,18.0,36.0,7.03647538102814e-06,0.017572319135069847,0.002777830697596073,0.002777830697596073,0,False
1,g001_p000016_empty,empty,g001_b7e43f1d75130653_0000,16,43.0,23.0,38.0,6.969505193410441e-06,0.015720780938863754,0.0009262925013899803,0.0009262925013899803,0,False
1,g001_p000017_empty,empty,g001_b7e43f1d75130653_0000,17,27.0,14.0,33.0,6.947854672034737e-06,0.016617318615317345,0.0018228301778435707,0.0018228301778435707,0,False
1,g001_p000018_empty,empty,g001_b7e43f1d75130653_0000,18,9.0,37.0,37.0,6.944353572180262e-06,0.01758325658738613,0.0027887681499123573,0.0027887681499123573,0,False
1,g001_p000019_empty,empty,g001_b7e43f1d75130653_0000,19,29.0,14.0,34.0,6.891539214848308e-06,0.01623811572790146,0.0014436272904276848,0.0014436272904276848,0,False
1,g001_p000020_empty,empty,g001_b7e43f1d75130653_0000,20,49.0,4.0,37.0,6.831763585068984e-06,0.016402970999479294,0.0016084825620055199,0.0016084825620055199,0,False
1,g001_p000021_empty,empty,g001_b7e43f1d75130653_0000,21,42.0,17.0,36.0,6.817114353907527e-06,0.01689457707107067,0.002100088633596897,0.002100088633596897,0,False
1,g001_p000022_empty,empty,g001_b7e43f1d75130653_0000,22,50.0,36.0,16.0,6.806866622355301e-06,0.016532229259610176,0.0017377408221364021,0.0017377408221364021,0,False
1,g001_p000023_empty,empty,g001_b7e43f1d75130653_0000,23,42.0,21.0,37.0,6.789367489545839e-06,0.015963532030582428,0.001169043593108654,0.001169043593108654,0,False
1,g001_p000024_empty,empty,g001_b7e43f1d75130653_0000,24,51.0,8.0,36.0,6.763199053239077e-06,0.016764245927333832,0.001969757489860058,0.001969757489860058,0,False
1,g001_p000025_empty,empty,g001_b7e43f1d75130653_0000,25,56.0,8.0,37.0,6.741092420270434e-06,0.018015997484326363,0.0032215090468525887,0.0032215090468525887,0,False
1,g001_p000026_empty,empty,g001_b7e43f1d75130653_0000,26,50.0,34.0,35.0,6.7291653067513835e-06,0.016395753249526024,0.00160126481205225,0.00160126481205225,0,False
1,g001_p000027_empty,empty,g001_b7e43f1d75130653_0000,27,45.0,16.0,37.0,6.680621481791604e-06,0.017080966383218765,0.0022864779457449913,0.0022864779457449913,0,False
1,g001_p000028_empty,empty,g001_b7e43f1d75130653_0000,28,7.0,39.0,37.0,6.679852958768606e-06,0.017607925459742546,0.002813437022268772,0.002813437022268772,0,False
1,g001_p000029_empty,empty,g001_b7e43f1d75130653_0000,29,50.0,7.0,36.0,6.677155397483148e-06,0.01796823740005493,0.0031737489625811577,0.0031737489625811577,0,False
1,g001_p000030_empty,empty,g001_b7e43f1d75130653_0000,30,4.0,38.0,37.0,6.6758625507645775e-06,0.017481474205851555,0.002686985768377781,0.002686985768377781,0,False
1,g001_p000031_empty,empty,g001_b7e43f1d75130653_0000,31,26.0,15.0,34.0,6.659625341853825e-06,0.016336124390363693,0.0015416359528899193,0.0015416359528899193,0,False
1,g001_p000032_empty,empty,g001_b7e43f1d75130653_0000,32,20.0,11.0,36.0,6.6561519815877546e-06,0.016553740948438644,0.0017592525109648705,0.0017592525109648705,0,False
1,g001_p000033_empty,empty,g001_b7e43f1d75130653_0000,33,40.0,13.0,37.0,6.641153504460817e-06,0.01687438040971756,0.002079891972243786,0.002079891972243786,0,False
1,g001_p000034_empty,empty,g001_b7e43f1d75130653_0000,34,38.0,31.0,20.0,6.64085246171453e-06,0.015724001452326775,0.0009295130148530006,0.0009295130148530006,0,False
