generation,state_id,parent_id,ranking_id,rank_index,center_x,center_y,center_z,predicted_first_order_mse_decrease,hard_rmse,delta_rmse_vs_parent,delta_rmse_vs_empty,condition_violations,truth_used
1,g001_p000000_empty,empty,g001_b7e43f1d75130653_0000,0,42.0,42.0,38.0,7.275344978552312e-05,0.017147483304142952,0.0009310431778430939,0.0009310431778430939,0,False
1,g001_p000001_empty,empty,g001_b7e43f1d75130653_0000,1,26.0,11.0,36.0,6.44840401946567e-05,0.01778607815504074,0.0015696380287408829,0.0015696380287408829,0,False
1,g001_p000002_empty,empty,g001_b7e43f1d75130653_0000,2,26.0,9.0,36.0,6.448401109082624e-05,0.017269708216190338,0.00105326808989048,0.00105326808989048,0,False
1,g001_p000003_empty,empty,g001_b7e43f1d75130653_0000,3,12.0,41.0,21.0,5.496812082128599e-05,0.01665838062763214,0.000441940501332283,0.000441940501332283,0,False
1,g001_p000004_empty,empty,g001_b7e43f1d75130653_0000,4,12.0,43.0,21.0,5.496812082128599e-05,0.01684090867638588,0.0006244685500860214,0.0006244685500860214,0,False
1,g001_p000005_empty,empty,g001_b7e43f1d75130653_0000,5,27.0,10.0,36.0,5.410551239037886e-05,0.017436811700463295,0.0012203715741634369,0.0012203715741634369,0,False
1,g001_p000006_empty,empty,g001_b7e43f1d75130653_0000,6,25.0,10.0,36.0,5.4105508752400056e-05,0.01778370514512062,0.0015672650188207626,0.0015672650188207626,0,False
1,g001_p000007_empty,empty,g001_b7e43f1d75130653_0000,7,42.0,42.0,36.0,5.062896161689423e-05,0.01801152154803276,0.0017950814217329025,0.0017950814217329025,0,False
1,g001_p000008_empty,empty,g001_b7e43f1d75130653_0000,8,42.0,42.0,37.0,4.993812763132155e-05,0.017539160326123238,0.0013227201998233795,0.0013227201998233795,0,False
1,g001_p000009_empty,empty,g001_b7e43f1d75130653_0000,9,41.0,42.0,38.0,4.909671770292334e-05,0.017520464956760406,0.0013040248304605484,0.0013040248304605484,0,False
1,g001_p000010_empty,empty,g001_b7e43f1d75130653_0000,10,42.0,41.0,38.0,4.909671042696573e-05,0.017346225678920746,0.0011297855526208878,0.0011297855526208878,0,False
1,g001_p000011_empty,empty,g001_b7e43f1d75130653_0000,11,42.0,43.0,38.0,4.909669951302931e-05,0.01713136024773121,0.0009149201214313507,0.0009149201214313507,0,False
1,g001_p000012_empty,empty,g001_b7e43f1d75130653_0000,12,43.0,42.0,38.0,4.909669223707169e-05,0.017991019412875175,0.0017745792865753174,0.0017745792865753174,0,False
1,g001_p000013_empty,empty,g001_b7e43f1d75130653_0000,13,27.0,11.0,36.0,4.901247666566633e-05,0.01758614368736744,0.0013697035610675812,0.0013697035610675812,0,False
1,g001_p000014_empty,empty,g001_b7e43f1d75130653_0000,14,25.0,9.0,36.0,4.90124621137511e-05,0.017736217007040977,0.0015197768807411194,0.0015197768807411194,0,False
1,g001_p000015_empty,empty,g001_b7e43f1d75130653_0000,15,25.0,10.0,37.0,4.810038080904633e-05,0.017176656052470207,0.0009602159261703491,0.0009602159261703491,0,False
