case_id,optimized_by,best_hard_rmse,baseline_hard_rmse,hard_attainment,best_state,forward_call_count,fixed_forward_call_budget,runtime_seconds,selection_used_truth,selection_criterion,proposal_seed,selected_labels_sha256,selected_response_sha256,selection_frozen_before_retrospective_evaluation,birth_center_initializer,sensitivity_rankings_sha256,birth_proposals_sha256,hard_condition_violations,hard_observed_seismic_rmse,edit_volume_from_base,truth_fields_present,global_hard_label_accuracy,concealed_target_iou,concealed_target_precision,concealed_target_recall,concealed_target_predicted_volume,concealed_target_truth_volume,retrospective_only,used_for_selection,per_label,body_match_minimum_component_voxels,truth_body_count,predicted_body_count,matched_body_count,body_recall,body_precision,matched_body_center_error_mean,matched_body_relative_size_error_mean,body_matches,wrong_lithology_substitution_volume,hard_correct_observation_rmse,hard_correct_observation_attainment
analytic_five_body,correct,0.008885824121534824,0.008885824121534824,0.0,"{'bodies': [], 'state_id': 'empty', 'parent_id': None, 'proposal_move': 'initial'}",961,961,8.893027943908237,False,minimum hard observed seismic RMSE only,8202601,cb14261739d35446bb67c2932edfa4e9ad30c691a10fc295bc123e3eb3186f13,784618e6a429178083d111110da8a32d79cf2c572bfa9dda054af93264cfef25,True,"{'mode': 'deterministic_multifield_first_order', 'score_version': 'stage8a_v2_multifield_first_order_mse_decrease_v1', 'proposal_guidance_only': True, 'hard_selection_criterion_unchanged': True, 'truth_fields_present': False, 'truth_used': False, 'canonical_shape': 'ellipsoid', 'canonical_size_xyz': [11.0, 11.0, 10.0], 'property_fields': ['impedance', 'slowness'], 'tie_breaking': 'score_descending_then_center_x_then_center_y_then_center_z_ascending', 'ranking_computation_count': 45, 'differentiable_forward_calls': 45, 'backward_calls': 45, 'sensitivity_runtime_seconds': 1.0709036869229749, 'birth_proposal_count': 560, 'loss_improving_birth_count_vs_parent': 0, 'loss_improving_birth_count_vs_empty': 0, 'condition_violation_count_across_births': 0}",4d176e69dd1cb962407cb10e946a93307f76eb9161b0d24c4dbdb73afec66dcb,dde433cc3a44ad8130eb7641e4e3065086a0629146d89d333142a6967f719b6d,0,0.008885824121534824,0,False,0.9951171875,0.0,0.0,0.0,0,1280,True,False,"{'-1': {'iou': 1.0, 'truth_volume': 32768, 'predicted_volume': 32768}, '0': {'iou': 0.9943725379853686, 'truth_volume': 226176, 'predicted_volume': 227456}, '9': {'iou': 0.6, 'truth_volume': 3200, 'predicted_volume': 1920}}",20,2,0,0,0.0,0.0,,,[],0,0.008885824121534824,0.0
analytic_five_body,zero,0.010616203770041466,0.010882876813411713,0.02450391086312831,"{'bodies': [{'body_id': 'body_03000001', 'center_x': 9.0, 'center_y': 9.0, 'center_z': 10.0, 'size_x': 7.528751671902121, 'size_y': 8.49159590581061, 'size_z': 14.0, 'orientation_deg': 71.15360230092061, 'shape': 'ellipsoid', 'material_label': 9}, {'body_id': 'body_04000090', 'center_x': 10.0, 'center_y': 9.0, 'center_z': 6.0, 'size_x': 8.293182637251059, 'size_y': 7.084749144030921, 'size_z': 13.364636689284374, 'orientation_deg': 40.90811031305494, 'shape': 'dike_hemisphere', 'material_label': 9}], 'state_id': 'g008_p000009_g007_p000003_g006_p000021_g005_p000003_g004_p000090_g003_p000001_g002_p000001_g001_p000042_empty', 'parent_id': 'g007_p000003_g006_p000021_g005_p000003_g004_p000090_g003_p000001_g002_p000001_g001_p000042_empty', 'proposal_move': 'resize'}",961,961,8.58077126101125,False,minimum hard observed seismic RMSE only,8202601,f040a6327a36db766c2b15a014b8a551f4897be15ce4ce93cebe23b08bd98a92,a7a7250096e28c63ac7156999b0c2e012287344441570eecce59ad39c772ad5b,True,"{'mode': 'deterministic_multifield_first_order', 'score_version': 'stage8a_v2_multifield_first_order_mse_decrease_v1', 'proposal_guidance_only': True, 'hard_selection_criterion_unchanged': True, 'truth_fields_present': False, 'truth_used': False, 'canonical_shape': 'ellipsoid', 'canonical_size_xyz': [11.0, 11.0, 10.0], 'property_fields': ['impedance', 'slowness'], 'tie_breaking': 'score_descending_then_center_x_then_center_y_then_center_z_ascending', 'ranking_computation_count': 50, 'differentiable_forward_calls': 50, 'backward_calls': 50, 'sensitivity_runtime_seconds': 1.1603600140661001, 'birth_proposal_count': 370, 'loss_improving_birth_count_vs_parent': 2, 'loss_improving_birth_count_vs_empty': 5, 'condition_violation_count_across_births': 0}",ba60bc3d76d092aaa178991c6024e4953605bb9b34ab43e84d624e15f501e2e9,e473cf06e04e1bf43135ce8a5b89a59da3cce1c0b39d56d10b3f2f8e62a11a36,0,0.010616203770041466,517,False,0.9931449890136719,0.0,0.0,0.0,0,1280,True,False,"{'-1': {'iou': 1.0, 'truth_volume': 32768, 'predicted_volume': 32768}, '0': {'iou': 0.9920995709060214, 'truth_volume': 226176, 'predicted_volume': 226939}, '9': {'iou': 0.516545601291364, 'truth_volume': 3200, 'predicted_volume': 2437}}",20,2,0,0,0.0,0.0,,,[],0,0.00984684843569994,-0.10815252485541205
analytic_five_body,shuffled_xy,0.017632272094488144,0.017632272094488144,0.0,"{'bodies': [], 'state_id': 'empty', 'parent_id': None, 'proposal_move': 'initial'}",961,961,8.636628323001787,False,minimum hard observed seismic RMSE only,8202601,cb14261739d35446bb67c2932edfa4e9ad30c691a10fc295bc123e3eb3186f13,784618e6a429178083d111110da8a32d79cf2c572bfa9dda054af93264cfef25,True,"{'mode': 'deterministic_multifield_first_order', 'score_version': 'stage8a_v2_multifield_first_order_mse_decrease_v1', 'proposal_guidance_only': True, 'hard_selection_criterion_unchanged': True, 'truth_fields_present': False, 'truth_used': False, 'canonical_shape': 'ellipsoid', 'canonical_size_xyz': [11.0, 11.0, 10.0], 'property_fields': ['impedance', 'slowness'], 'tie_breaking': 'score_descending_then_center_x_then_center_y_then_center_z_ascending', 'ranking_computation_count': 45, 'differentiable_forward_calls': 45, 'backward_calls': 45, 'sensitivity_runtime_seconds': 1.464166647871025, 'birth_proposal_count': 560, 'loss_improving_birth_count_vs_parent': 0, 'loss_improving_birth_count_vs_empty': 0, 'condition_violation_count_across_births': 0}",e19238ef07875b1846ff209189debff2d363da87856c6d2ab56086cf77dde50a,e655c126850d189b171eabe2ff18a511ec7ca5cefe45a1ea3b4d240cf3d9d023,0,0.017632272094488144,0,False,0.9951171875,0.0,0.0,0.0,0,1280,True,False,"{'-1': {'iou': 1.0, 'truth_volume': 32768, 'predicted_volume': 32768}, '0': {'iou': 0.9943725379853686, 'truth_volume': 226176, 'predicted_volume': 227456}, '9': {'iou': 0.6, 'truth_volume': 3200, 'predicted_volume': 1920}}",20,2,0,0,0.0,0.0,,,[],0,0.008885824121534824,0.0
analytic_five_body,wrong_case_observation,0.008885824121534824,0.008885824121534824,0.0,"{'bodies': [], 'state_id': 'empty', 'parent_id': None, 'proposal_move': 'initial'}",961,961,8.194416443933733,False,minimum hard observed seismic RMSE only,8202601,cb14261739d35446bb67c2932edfa4e9ad30c691a10fc295bc123e3eb3186f13,784618e6a429178083d111110da8a32d79cf2c572bfa9dda054af93264cfef25,True,"{'mode': 'deterministic_multifield_first_order', 'score_version': 'stage8a_v2_multifield_first_order_mse_decrease_v1', 'proposal_guidance_only': True, 'hard_selection_criterion_unchanged': True, 'truth_fields_present': False, 'truth_used': False, 'canonical_shape': 'ellipsoid', 'canonical_size_xyz': [11.0, 11.0, 10.0], 'property_fields': ['impedance', 'slowness'], 'tie_breaking': 'score_descending_then_center_x_then_center_y_then_center_z_ascending', 'ranking_computation_count': 45, 'differentiable_forward_calls': 45, 'backward_calls': 45, 'sensitivity_runtime_seconds': 1.0265622572042048, 'birth_proposal_count': 560, 'loss_improving_birth_count_vs_parent': 0, 'loss_improving_birth_count_vs_empty': 0, 'condition_violation_count_across_births': 0}",7c6c62c038e030fa9d33a07e7d74c5b6762281aff481a228d5dee4fac6c08b11,e716ca1668536496c4c7aa3d4f06197938e424b29646d20c5ae366e558550e8a,0,0.008885824121534824,0,False,0.9951171875,0.0,0.0,0.0,0,1280,True,False,"{'-1': {'iou': 1.0, 'truth_volume': 32768, 'predicted_volume': 32768}, '0': {'iou': 0.9943725379853686, 'truth_volume': 226176, 'predicted_volume': 227456}, '9': {'iou': 0.6, 'truth_volume': 3200, 'predicted_volume': 1920}}",20,2,0,0,0.0,0.0,,,[],0,0.008885824121534824,0.0
native_seed20260807,correct,0.014674325473606586,0.014674325473606586,0.0,"{'bodies': [], 'state_id': 'empty', 'parent_id': None, 'proposal_move': 'initial'}",961,961,8.889494992094114,False,minimum hard observed seismic RMSE only,8202602,9db7a70f8a196157b22e01f75787852d0fc5bc8a388006d51120b3887a44d3f6,5d1f15a243bd90ba05a673e2d9eadf899077ef12e37979a81affd49557588d23,True,"{'mode': 'deterministic_multifield_first_order', 'score_version': 'stage8a_v2_multifield_first_order_mse_decrease_v1', 'proposal_guidance_only': True, 'hard_selection_criterion_unchanged': True, 'truth_fields_present': False, 'truth_used': False, 'canonical_shape': 'ellipsoid', 'canonical_size_xyz': [11.0, 11.0, 10.0], 'property_fields': ['impedance', 'slowness'], 'tie_breaking': 'score_descending_then_center_x_then_center_y_then_center_z_ascending', 'ranking_computation_count': 45, 'differentiable_forward_calls': 45, 'backward_calls': 45, 'sensitivity_runtime_seconds': 1.162312092143111, 'birth_proposal_count': 560, 'loss_improving_birth_count_vs_parent': 0, 'loss_improving_birth_count_vs_empty': 0, 'condition_violation_count_across_births': 0}",e0b4866eee771da18973d7687f4501a987156a082a7d7ce58b8ea695571ec822,f8feb89bf4ff6f157ee608f0604e05c289c55ba54612e4d9e63f6d25d11d7715,0,0.014674325473606586,0,False,0.9920883178710938,0.0,0.0,0.0,0,942,True,False,"{'-1': {'iou': 1.0, 'truth_volume': 32768, 'predicted_volume': 32768}, '0': {'iou': 0.9909570919682059, 'truth_volume': 227277, 'predicted_volume': 229351}, '9': {'iou': 0.011910433539780848, 'truth_volume': 2099, 'predicted_volume': 25}}",20,2,0,0,0.0,0.0,,,[],0,0.014674325473606586,0.0
native_seed20260807,zero,0.0013306159526109695,0.0013306159526109695,0.0,"{'bodies': [], 'state_id': 'empty', 'parent_id': None, 'proposal_move': 'initial'}",961,961,8.796786867082119,False,minimum hard observed seismic RMSE only,8202602,9db7a70f8a196157b22e01f75787852d0fc5bc8a388006d51120b3887a44d3f6,5d1f15a243bd90ba05a673e2d9eadf899077ef12e37979a81affd49557588d23,True,"{'mode': 'deterministic_multifield_first_order', 'score_version': 'stage8a_v2_multifield_first_order_mse_decrease_v1', 'proposal_guidance_only': True, 'hard_selection_criterion_unchanged': True, 'truth_fields_present': False, 'truth_used': False, 'canonical_shape': 'ellipsoid', 'canonical_size_xyz': [11.0, 11.0, 10.0], 'property_fields': ['impedance', 'slowness'], 'tie_breaking': 'score_descending_then_center_x_then_center_y_then_center_z_ascending', 'ranking_computation_count': 45, 'differentiable_forward_calls': 45, 'backward_calls': 45, 'sensitivity_runtime_seconds': 1.0319911420810968, 'birth_proposal_count': 560, 'loss_improving_birth_count_vs_parent': 1, 'loss_improving_birth_count_vs_empty': 0, 'condition_violation_count_across_births': 0}",be66014dd73dc68899d467bbaff83860a0c5271ed1c0190debb5f2c4c2513c4f,fe3ae44d49df1a3be180b236ae53ad5aad2fbec74db92cc781df39c9b817bd30,0,0.0013306159526109695,0,False,0.9920883178710938,0.0,0.0,0.0,0,942,True,False,"{'-1': {'iou': 1.0, 'truth_volume': 32768, 'predicted_volume': 32768}, '0': {'iou': 0.9909570919682059, 'truth_volume': 227277, 'predicted_volume': 229351}, '9': {'iou': 0.011910433539780848, 'truth_volume': 2099, 'predicted_volume': 25}}",20,2,0,0,0.0,0.0,,,[],0,0.014674325473606586,0.0
native_seed20260807,shuffled_xy,0.014794488437473774,0.014794488437473774,0.0,"{'bodies': [], 'state_id': 'empty', 'parent_id': None, 'proposal_move': 'initial'}",961,961,8.155676669906825,False,minimum hard observed seismic RMSE only,8202602,9db7a70f8a196157b22e01f75787852d0fc5bc8a388006d51120b3887a44d3f6,5d1f15a243bd90ba05a673e2d9eadf899077ef12e37979a81affd49557588d23,True,"{'mode': 'deterministic_multifield_first_order', 'score_version': 'stage8a_v2_multifield_first_order_mse_decrease_v1', 'proposal_guidance_only': True, 'hard_selection_criterion_unchanged': True, 'truth_fields_present': False, 'truth_used': False, 'canonical_shape': 'ellipsoid', 'canonical_size_xyz': [11.0, 11.0, 10.0], 'property_fields': ['impedance', 'slowness'], 'tie_breaking': 'score_descending_then_center_x_then_center_y_then_center_z_ascending', 'ranking_computation_count': 45, 'differentiable_forward_calls': 45, 'backward_calls': 45, 'sensitivity_runtime_seconds': 1.494242462911643, 'birth_proposal_count': 560, 'loss_improving_birth_count_vs_parent': 0, 'loss_improving_birth_count_vs_empty': 0, 'condition_violation_count_across_births': 0}",f1ebfe15b3476e5ce19c162d8e73cb2439ef68d101be377c48fb815c9d664ee1,81d0ee5f4c43287b6ee0b5fe0abf26cc694c10b33ccd00884f864f4a9434028c,0,0.014794488437473774,0,False,0.9920883178710938,0.0,0.0,0.0,0,942,True,False,"{'-1': {'iou': 1.0, 'truth_volume': 32768, 'predicted_volume': 32768}, '0': {'iou': 0.9909570919682059, 'truth_volume': 227277, 'predicted_volume': 229351}, '9': {'iou': 0.011910433539780848, 'truth_volume': 2099, 'predicted_volume': 25}}",20,2,0,0,0.0,0.0,,,[],0,0.014674325473606586,0.0
native_seed20260807,wrong_case_observation,0.016025545075535774,0.016025545075535774,0.0,"{'bodies': [], 'state_id': 'empty', 'parent_id': None, 'proposal_move': 'initial'}",961,961,7.85484279494267,False,minimum hard observed seismic RMSE only,8202602,9db7a70f8a196157b22e01f75787852d0fc5bc8a388006d51120b3887a44d3f6,5d1f15a243bd90ba05a673e2d9eadf899077ef12e37979a81affd49557588d23,True,"{'mode': 'deterministic_multifield_first_order', 'score_version': 'stage8a_v2_multifield_first_order_mse_decrease_v1', 'proposal_guidance_only': True, 'hard_selection_criterion_unchanged': True, 'truth_fields_present': False, 'truth_used': False, 'canonical_shape': 'ellipsoid', 'canonical_size_xyz': [11.0, 11.0, 10.0], 'property_fields': ['impedance', 'slowness'], 'tie_breaking': 'score_descending_then_center_x_then_center_y_then_center_z_ascending', 'ranking_computation_count': 45, 'differentiable_forward_calls': 45, 'backward_calls': 45, 'sensitivity_runtime_seconds': 1.1417754099238664, 'birth_proposal_count': 560, 'loss_improving_birth_count_vs_parent': 0, 'loss_improving_birth_count_vs_empty': 0, 'condition_violation_count_across_births': 0}",22410f7e3e699c26e5f93da5f5f6381e127b54a8dd954bd7afd021bd975f2b9e,f2e6939d20c005df6f2306c37dcacbbb7033b971564cbba579d4d72d210c130d,0,0.016025545075535774,0,False,0.9920883178710938,0.0,0.0,0.0,0,942,True,False,"{'-1': {'iou': 1.0, 'truth_volume': 32768, 'predicted_volume': 32768}, '0': {'iou': 0.9909570919682059, 'truth_volume': 227277, 'predicted_volume': 229351}, '9': {'iou': 0.011910433539780848, 'truth_volume': 2099, 'predicted_volume': 25}}",20,2,0,0,0.0,0.0,,,[],0,0.014674325473606586,0.0
native_seed20260808,correct,0.01435015257447958,0.01435015257447958,0.0,"{'bodies': [], 'state_id': 'empty', 'parent_id': None, 'proposal_move': 'initial'}",961,961,7.802172210067511,False,minimum hard observed seismic RMSE only,8202603,07786c82394785a89b901dfd0c35936be21bdd3233f41f40d9b652701b5f5d31,d6d6fe55b6f617264c03b8818b141789397e6bb9f3c5558538e2037bae40768d,True,"{'mode': 'deterministic_multifield_first_order', 'score_version': 'stage8a_v2_multifield_first_order_mse_decrease_v1', 'proposal_guidance_only': True, 'hard_selection_criterion_unchanged': True, 'truth_fields_present': False, 'truth_used': False, 'canonical_shape': 'ellipsoid', 'canonical_size_xyz': [11.0, 11.0, 10.0], 'property_fields': ['impedance', 'slowness'], 'tie_breaking': 'score_descending_then_center_x_then_center_y_then_center_z_ascending', 'ranking_computation_count': 45, 'differentiable_forward_calls': 45, 'backward_calls': 45, 'sensitivity_runtime_seconds': 1.1249865783611313, 'birth_proposal_count': 560, 'loss_improving_birth_count_vs_parent': 0, 'loss_improving_birth_count_vs_empty': 0, 'condition_violation_count_across_births': 0}",b55b2b353c1aaa6320bd8b78bc59041be5ef47999f9f0bafaaa27ca673288f29,46fb4dd5a66b6eb44741225dd32e5b941764f21eb57df985e5bf39ade1d354fc,0,0.01435015257447958,0,False,0.9910888671875,0.0,0.0,0.0,0,1000,True,False,"{'-1': {'iou': 1.0, 'truth_volume': 32768, 'predicted_volume': 32768}, '0': {'iou': 0.9898145604695069, 'truth_volume': 227011, 'predicted_volume': 229347}, '9': {'iou': 0.01226215644820296, 'truth_volume': 2365, 'predicted_volume': 29}}",20,2,0,0,0.0,0.0,,,[],0,0.01435015257447958,0.0
native_seed20260808,zero,0.0013554467586800456,0.0013554467586800456,0.0,"{'bodies': [], 'state_id': 'empty', 'parent_id': None, 'proposal_move': 'initial'}",961,961,7.662873251945712,False,minimum hard observed seismic RMSE only,8202603,07786c82394785a89b901dfd0c35936be21bdd3233f41f40d9b652701b5f5d31,d6d6fe55b6f617264c03b8818b141789397e6bb9f3c5558538e2037bae40768d,True,"{'mode': 'deterministic_multifield_first_order', 'score_version': 'stage8a_v2_multifield_first_order_mse_decrease_v1', 'proposal_guidance_only': True, 'hard_selection_criterion_unchanged': True, 'truth_fields_present': False, 'truth_used': False, 'canonical_shape': 'ellipsoid', 'canonical_size_xyz': [11.0, 11.0, 10.0], 'property_fields': ['impedance', 'slowness'], 'tie_breaking': 'score_descending_then_center_x_then_center_y_then_center_z_ascending', 'ranking_computation_count': 45, 'differentiable_forward_calls': 45, 'backward_calls': 45, 'sensitivity_runtime_seconds': 0.9507203956600279, 'birth_proposal_count': 560, 'loss_improving_birth_count_vs_parent': 0, 'loss_improving_birth_count_vs_empty': 0, 'condition_violation_count_across_births': 0}",b9939e21cef03f1fe529d3c8717ebaa5cb7c2379f488d269f33d20f9882441d3,9201bbd64d72e3195e9b1d0e98db0f93e3b901a39c9cf049d8c9d18ffe7e04f8,0,0.0013554467586800456,0,False,0.9910888671875,0.0,0.0,0.0,0,1000,True,False,"{'-1': {'iou': 1.0, 'truth_volume': 32768, 'predicted_volume': 32768}, '0': {'iou': 0.9898145604695069, 'truth_volume': 227011, 'predicted_volume': 229347}, '9': {'iou': 0.01226215644820296, 'truth_volume': 2365, 'predicted_volume': 29}}",20,2,0,0,0.0,0.0,,,[],0,0.01435015257447958,0.0
