branch_id,ranking_id,rank_index,center_x,center_y,center_z,shape,full_size_x,full_size_y,full_size_z,v2_full_state_id,v2_full_delta_rmse_vs_parent,v2_full_delta_rmse_vs_empty,v2_full_failed_vs_parent,v3_smallest_scale,v3_smallest_delta_rmse_vs_parent,v3_smallest_improved_vs_parent,v3_best_evaluated_scale,v3_best_evaluated_delta_rmse_vs_parent,v3_full_scale_evaluated,v3_full_scale_delta_rmse_vs_parent,oracle_or_truth_used,post_selection_diagnostic_only
branch_21791cd4efa1670f8829,g001_b7e43f1d75130653_0000,0,41.0,9.0,20.0,ellipsoid,9.069960482085477,12.518838106885632,9.034864313429892,g001_p000000_empty,0.0006972160190343857,0.0006972160190343857,True,0.25,7.580965757369995e-07,False,0.25,7.580965757369995e-07,False,,False,True
branch_87cd09791648131a8fb8,g001_b7e43f1d75130653_0000,1,9.0,9.0,9.0,ellipsoid,10.216738703467461,6.449849555799257,8.001534966156104,g001_p000001_empty,0.0003891829401254654,0.0003891829401254654,True,0.25,6.218627095222473e-05,False,0.25,6.218627095222473e-05,False,,False,True
branch_1d99ae5e630980a9377d,g001_b7e43f1d75130653_0000,2,9.0,9.0,10.0,ellipsoid,7.484638497607557,9.991618598313472,11.821175332686096,g001_p000002_empty,0.00015497393906116486,0.00015497393906116486,True,0.25,4.729814827442169e-05,False,0.25,4.729814827442169e-05,False,,False,True
branch_faf80a9a89ce38f3f8cd,g001_b7e43f1d75130653_0000,3,9.0,9.0,11.0,dike_hemisphere,6.9602026354836335,13.792192464052157,7.862544991815387,g001_p000003_empty,0.0005221683531999588,0.0005221683531999588,True,0.25,2.2705644369125366e-06,False,0.25,2.2705644369125366e-06,False,,False,True
branch_6e9254c5d4d0f454da50,g001_b7e43f1d75130653_0000,4,9.0,10.0,9.0,dike_hemisphere,11.416029720230092,12.882908191169253,13.24044422109909,g001_p000004_empty,0.0008634012192487717,0.0008634012192487717,True,0.25,0.00016041845083236694,False,0.25,0.00016041845083236694,False,,False,True
branch_26742196d5e29d3ff37b,g001_b7e43f1d75130653_0000,5,9.0,10.0,10.0,ellipsoid,9.3260241652468,9.271963487293934,13.664643496505605,g001_p000005_empty,0.00017684325575828552,0.00017684325575828552,True,0.25,8.310936391353607e-05,False,0.25,8.310936391353607e-05,False,,False,True
branch_5e6e6186c5774f7b922a,g001_b7e43f1d75130653_0000,6,9.0,10.0,11.0,dike_hemisphere,7.852049182093416,11.145289176007863,9.157355840537475,g001_p000006_empty,0.00032524019479751587,0.00032524019479751587,True,0.25,1.827441155910492e-05,False,0.25,1.827441155910492e-05,False,,False,True
branch_7707b34481b99a3d7746,g001_b7e43f1d75130653_0000,7,10.0,9.0,9.0,dike_hemisphere,12.3065001525419,7.065688742619231,13.200821676546568,g001_p000007_empty,0.0004845522344112396,0.0004845522344112396,True,0.25,9.520165622234344e-05,False,0.25,9.520165622234344e-05,False,,False,True
branch_23d3e40ffa92ad465515,g001_b7e43f1d75130653_0000,8,10.0,9.0,10.0,ellipsoid,8.55601594564268,9.118549501281159,7.592165011248599,g001_p000008_empty,0.0003385096788406372,0.0003385096788406372,True,0.25,8.882582187652588e-05,False,0.25,8.882582187652588e-05,False,,False,True
branch_56287e6fef1a4a990165,g001_b7e43f1d75130653_0000,9,10.0,9.0,11.0,dike_hemisphere,7.0104090357618,9.086002987599725,9.12801987946564,g001_p000009_empty,0.00030167214572429657,0.00030167214572429657,True,0.25,4.61675226688385e-05,False,0.25,4.61675226688385e-05,False,,False,True
