branch_id,probe_kind,generation,proposal_index,child_state_id,parent_state_id,ranking_id,rank_index,canonical_center_score,center_x,center_y,center_z,shape,material_label,orientation_deg,full_size_x,full_size_y,full_size_z,scale_index,scale,probe_size_x,probe_size_y,probe_size_z,hard_rmse,delta_rmse_vs_parent,delta_rmse_vs_empty,hard_loss_improving_vs_parent,condition_violations,continuation_authorized,next_scale,termination,truth_used
branch_35f847a1618fcbe62fd8,new_center,1,0,g001_p000000_empty,empty,g001_b7e43f1d75130653_0000,0,6.173095607664436e-05,25.0,25.0,37.0,ellipsoid,9,33.94360557912685,9.069960482085477,12.518838106885632,9.034864313429892,0,0.25,2.2674901205213693,3.129709526721408,2.258716078357473,0.009460588917136192,0.000574764795601368,0.000574764795601368,False,0,False,,terminated_non_improving_hard_step,False
branch_e6e4f4c590ce68e4dabe,new_center,1,1,g001_p000001_empty,empty,g001_b7e43f1d75130653_0000,1,6.173095607664436e-05,25.0,26.0,37.0,ellipsoid,9,140.05301420081562,10.216738703467461,6.449849555799257,8.001534966156104,0,0.25,2.5541846758668654,1.6124623889498142,2.000383741539026,0.009110778570175171,0.00022495444864034653,0.00022495444864034653,False,0,False,,terminated_non_improving_hard_step,False
branch_bd6932bbc26e148bf0ee,new_center,1,2,g001_p000002_empty,empty,g001_b7e43f1d75130653_0000,2,6.173095607664436e-05,26.0,25.0,37.0,ellipsoid,9,88.66852277516863,7.484638497607557,9.991618598313472,11.821175332686096,0,0.25,1.8711596244018893,2.497904649578368,2.955293833171524,0.009110778570175171,0.00022495444864034653,0.00022495444864034653,False,0,False,,terminated_non_improving_hard_step,False
branch_6cda79c0b2d27616f96e,new_center,1,3,g001_p000003_empty,empty,g001_b7e43f1d75130653_0000,3,6.173094880068675e-05,26.0,26.0,37.0,dike_hemisphere,9,108.3784039812152,6.9602026354836335,13.792192464052157,7.862544991815387,0,0.25,1.7400506588709084,3.448048116013039,1.9656362479538467,0.009155883453786373,0.00027005933225154877,0.00027005933225154877,False,0,False,,terminated_non_improving_hard_step,False
branch_728e0545956f63ab3ad4,new_center,1,4,g001_p000004_empty,empty,g001_b7e43f1d75130653_0000,4,6.169795233290642e-05,25.0,53.0,23.0,dike_hemisphere,9,11.694771665313839,11.416029720230092,12.882908191169253,13.24044422109909,0,0.25,2.854007430057523,3.2207270477923133,3.3101110552747723,0.009359589777886868,0.00047376565635204315,0.00047376565635204315,False,0,False,,terminated_non_improving_hard_step,False
branch_bf5b6311f598ab651bd4,new_center,1,5,g001_p000005_empty,empty,g001_b7e43f1d75130653_0000,5,6.169795233290642e-05,25.0,54.0,23.0,ellipsoid,9,73.89352658062758,9.3260241652468,9.271963487293934,13.664643496505605,0,0.25,2.3315060413117,2.3179908718234836,3.416160874126401,0.009287333115935326,0.00040150899440050125,0.00040150899440050125,False,0,False,,terminated_non_improving_hard_step,False
branch_b739e63379d4029cf7f2,new_center,1,6,g001_p000006_empty,empty,g001_b7e43f1d75130653_0000,6,6.169795233290642e-05,26.0,53.0,23.0,dike_hemisphere,9,88.67712622573787,7.852049182093416,11.145289176007863,9.157355840537475,0,0.25,1.963012295523354,2.7863222940019656,2.2893389601343688,0.009027143009006977,0.0001413188874721527,0.0001413188874721527,False,0,False,,terminated_non_improving_hard_step,False
branch_3adf1363df9050850acd,new_center,1,7,g001_p000007_empty,empty,g001_b7e43f1d75130653_0000,7,6.169794505694881e-05,26.0,54.0,23.0,dike_hemisphere,9,144.50235789362677,12.3065001525419,7.065688742619231,13.200821676546568,0,0.25,3.076625038135475,1.7664221856548077,3.300205419136642,0.009147676639258862,0.00026185251772403717,0.00026185251772403717,False,0,False,,terminated_non_improving_hard_step,False
branch_72a472d30a48bd4fd754,new_center,1,8,g001_p000008_empty,empty,g001_b7e43f1d75130653_0000,8,5.569587301579304e-05,24.0,25.0,37.0,ellipsoid,9,142.09711655694812,8.55601594564268,9.118549501281159,7.592165011248599,0,0.25,2.13900398641067,2.2796373753202896,1.8980412528121497,0.00933158304542303,0.0004457589238882065,0.0004457589238882065,False,0,False,,terminated_non_improving_hard_step,False
branch_8cc0b5900fe02e3f6b13,new_center,1,9,g001_p000009_empty,empty,g001_b7e43f1d75130653_0000,9,5.569587301579304e-05,24.0,26.0,37.0,dike_hemisphere,9,107.71547182800337,7.0104090357618,9.086002987599725,9.12801987946564,0,0.25,1.75260225894045,2.2715007468999313,2.28200496986641,0.009052555076777935,0.00016673095524311066,0.00016673095524311066,False,0,False,,terminated_non_improving_hard_step,False
branch_3c32e12e726b7313fb40,new_center,1,10,g001_p000010_empty,empty,g001_b7e43f1d75130653_0000,10,5.569587301579304e-05,25.0,24.0,37.0,ellipsoid,9,110.77220670438774,13.360088129200104,7.883318812364299,11.068272044007422,0,0.25,3.340022032300026,1.9708297030910749,2.7670680110018555,0.009373094886541367,0.0004872707650065422,0.0004872707650065422,False,0,False,,terminated_non_improving_hard_step,False
branch_2a073a22074e55df73a9,new_center,1,11,g001_p000011_empty,empty,g001_b7e43f1d75130653_0000,11,5.569587301579304e-05,25.0,27.0,37.0,dike_hemisphere,9,52.21242285525821,8.697609417360173,14.354844958554544,11.199660706009823,0,0.25,2.1744023543400433,3.588711239638636,2.7999151765024557,0.009216925129294395,0.0003311010077595711,0.0003311010077595711,False,0,False,,terminated_non_improving_hard_step,False
branch_9f13cc6fb5944be53940,new_center,1,12,g001_p000012_empty,empty,g001_b7e43f1d75130653_0000,12,5.569586937781423e-05,26.0,24.0,37.0,ellipsoid,9,85.97105246644753,12.806527380318517,14.472271475228657,12.957059957475643,0,0.25,3.2016318450796293,3.6180678688071644,3.2392649893689107,0.009458080865442753,0.0005722567439079285,0.0005722567439079285,False,0,False,,terminated_non_improving_hard_step,False
branch_b806ac2f00510dd8458b,new_center,1,13,g001_p000013_empty,empty,g001_b7e43f1d75130653_0000,13,5.569586937781423e-05,26.0,27.0,37.0,dike_hemisphere,9,174.71832456044808,9.571871857949091,7.160739040984092,11.376243859799143,0,0.25,2.392967964487273,1.790184760246023,2.8440609649497857,0.009027141146361828,0.00014131702482700348,0.00014131702482700348,False,0,False,,terminated_non_improving_hard_step,False
branch_60c8351519a3000d25e1,new_center,1,14,g001_p000014_empty,empty,g001_b7e43f1d75130653_0000,14,5.569586937781423e-05,27.0,25.0,37.0,dike_hemisphere,9,159.63060883025153,11.33455489022586,8.151513453478163,13.286836865297733,0,0.25,2.833638722556465,2.0378783633695408,3.3217092163244333,0.009147675707936287,0.00026185158640146255,0.00026185158640146255,False,0,False,,terminated_non_improving_hard_step,False
branch_90121fda3da9023cae89,new_center,1,15,g001_p000015_empty,empty,g001_b7e43f1d75130653_0000,15,5.5695865739835426e-05,27.0,26.0,37.0,ellipsoid,9,87.29187828979056,12.471258676360954,6.952710364086431,10.660282162596085,0,0.25,3.1178146690902384,1.7381775910216077,2.665070540649021,0.009019892662763596,0.0001340685412287712,0.0001340685412287712,False,0,False,,terminated_non_improving_hard_step,False
branch_ca343b7648ba2c038a93,new_center,1,16,g001_p000016_empty,empty,g001_b7e43f1d75130653_0000,16,5.566444087889977e-05,24.0,53.0,23.0,ellipsoid,9,12.41297095544968,10.874120076267408,7.343850586969914,8.199546644911543,0,0.25,2.718530019066852,1.8359626467424786,2.0498866612278857,0.00911078043282032,0.00022495631128549576,0.00022495631128549576,False,0,False,,terminated_non_improving_hard_step,False
branch_66d8744c57e73bc1572a,new_center,1,17,g001_p000017_empty,empty,g001_b7e43f1d75130653_0000,17,5.566444087889977e-05,24.0,54.0,23.0,dike_hemisphere,9,39.35387470278744,15.568984308983818,8.401667265695245,10.893816953246827,0,0.25,3.8922460772459546,2.1004168164238113,2.7234542383117066,0.00921692792326212,0.0003311038017272949,0.0003311038017272949,False,0,False,,terminated_non_improving_hard_step,False
branch_1cc055530c5c2f0c8f47,new_center,1,18,g001_p000018_empty,empty,g001_b7e43f1d75130653_0000,18,5.566444087889977e-05,25.0,52.0,23.0,dike_hemisphere,9,172.45712541101338,13.221076156955991,6.423416583396705,7.317005077734772,0,0.25,3.305269039238998,1.6058541458491762,1.829251269433693,0.009155884385108948,0.0002700602635741234,0.0002700602635741234,False,0,False,,terminated_non_improving_hard_step,False
branch_0bd76e9e986e40c25b6c,new_center,1,19,g001_p000019_empty,empty,g001_b7e43f1d75130653_0000,19,5.566444087889977e-05,25.0,55.0,23.0,dike_hemisphere,9,62.23226789086255,7.847048685441748,8.150579837722574,7.872388357661165,0,0.25,1.961762171360437,2.0376449594306436,1.9680970894152912,0.008976747281849384,9.092316031455994e-05,9.092316031455994e-05,False,0,False,,terminated_non_improving_hard_step,False
branch_e70c1bf3f6ed30fba14c,new_center,1,20,g001_p000020_empty,empty,g001_b7e43f1d75130653_0000,20,5.566443724092096e-05,26.0,52.0,23.0,ellipsoid,9,120.3570059864107,6.866976562835077,13.01965842222327,12.093670773758578,0,0.25,1.7167441407087694,3.2549146055558174,3.0234176934396446,0.009287333115935326,0.00040150899440050125,0.00040150899440050125,False,0,False,,terminated_non_improving_hard_step,False
branch_11cba2bbbb8d8c2b0d38,new_center,1,21,g001_p000021_empty,empty,g001_b7e43f1d75130653_0000,21,5.566443724092096e-05,26.0,55.0,23.0,dike_hemisphere,9,74.62073140176355,8.55312931220255,12.042131805719643,7.192622343400261,0,0.25,2.1382823280506376,3.010532951429911,1.7981555858500653,0.009155884385108948,0.0002700602635741234,0.0002700602635741234,False,0,False,,terminated_non_improving_hard_step,False
branch_9e98615e59e03207dacb,new_center,1,22,g001_p000022_empty,empty,g001_b7e43f1d75130653_0000,22,5.566443724092096e-05,27.0,53.0,23.0,dike_hemisphere,9,24.046316962221205,15.727521082664902,12.70611739433694,12.543649458583864,0,0.25,3.9318802706662255,3.176529348584235,3.135912364645966,0.009328003041446209,0.0004421789199113846,0.0004421789199113846,False,0,False,,terminated_non_improving_hard_step,False
branch_53c712160dd42000bbfd,new_center,1,23,g001_p000023_empty,empty,g001_b7e43f1d75130653_0000,23,5.5664433602942154e-05,27.0,54.0,23.0,dike_hemisphere,9,29.431657523885622,15.4949785794143,8.79054516317618,6.340410897677041,0,0.25,3.873744644853575,2.197636290794045,1.5851027244192601,0.009504036046564579,0.0006182119250297546,0.0006182119250297546,False,0,False,,terminated_non_improving_hard_step,False
branch_b02d3ce3634e001b2368,new_center,1,24,g001_p000024_empty,empty,g001_b7e43f1d75130653_0000,24,4.9821788707049564e-05,24.0,24.0,37.0,dike_hemisphere,9,104.6165805034426,14.162383720643012,10.921039813943082,12.808272739595862,0,0.25,3.540595930160753,2.7302599534857706,3.2020681848989656,0.00932800117880106,0.00044217705726623535,0.00044217705726623535,False,0,False,,terminated_non_improving_hard_step,False
branch_b6a0aafa4200642e81b0,new_center,1,25,g001_p000025_empty,empty,g001_b7e43f1d75130653_0000,25,4.9821788707049564e-05,24.0,27.0,37.0,dike_hemisphere,9,97.28757733917105,10.724165173676123,9.933379992288534,12.130224306106765,0,0.25,2.681041293419031,2.4833449980721336,3.0325560765266912,0.009122527204453945,0.0002367030829191208,0.0002367030829191208,False,0,False,,terminated_non_improving_hard_step,False
branch_7d10bfa2600367c3733e,new_center,1,26,g001_p000026_empty,empty,g001_b7e43f1d75130653_0000,26,4.9821785069070756e-05,27.0,24.0,37.0,ellipsoid,9,54.01640594060518,7.0155988133818585,13.788492252932086,9.51071556944707,0,0.25,1.7538997033454646,3.4471230632330214,2.3776788923617675,0.009460588917136192,0.000574764795601368,0.000574764795601368,False,0,False,,terminated_non_improving_hard_step,False
branch_c49c3bb364b7fde09228,new_center,1,27,g001_p000027_empty,empty,g001_b7e43f1d75130653_0000,27,4.9821785069070756e-05,27.0,27.0,37.0,ellipsoid,9,76.32087457784891,13.277395392999473,15.03541459903683,11.10483900104514,0,0.25,3.3193488482498683,3.7588536497592075,2.776209750261285,0.009458081796765327,0.0005722576752305031,0.0005722576752305031,False,0,False,,terminated_non_improving_hard_step,False
branch_adb8cd4b713397a0c580,new_center,1,28,g001_p000028_empty,empty,g001_b7e43f1d75130653_0000,28,4.9791404308052734e-05,24.0,52.0,23.0,ellipsoid,9,59.23849876696286,11.966143278502052,14.013052934755072,6.5409084727214015,0,0.25,2.991535819625513,3.503263233688768,1.6352271181803504,0.009673413820564747,0.0007875896990299225,0.0007875896990299225,False,0,False,,terminated_non_improving_hard_step,False
