branch_id,ranking_id,rank_index,center_x,center_y,center_z,shape,full_size_x,full_size_y,full_size_z,v2_full_state_id,v2_full_delta_rmse_vs_parent,v2_full_delta_rmse_vs_empty,v2_full_failed_vs_parent,v3_smallest_scale,v3_smallest_delta_rmse_vs_parent,v3_smallest_improved_vs_parent,v3_best_evaluated_scale,v3_best_evaluated_delta_rmse_vs_parent,v3_full_scale_evaluated,v3_full_scale_delta_rmse_vs_parent,oracle_or_truth_used,post_selection_diagnostic_only
branch_3137062190f4321a421a,g001_b7e43f1d75130653_0000,0,9.0,9.0,9.0,ellipsoid,9.069960482085477,12.518838106885632,9.034864313429892,g001_p000000_empty,0.0009663384407758713,0.0009663384407758713,True,0.25,0.00025174580514431,False,0.25,0.00025174580514431,False,,False,True
branch_a9a602a356ecaff4a274,g001_b7e43f1d75130653_0000,1,9.0,9.0,10.0,ellipsoid,10.216738703467461,6.449849555799257,8.001534966156104,g001_p000001_empty,0.00048641394823789597,0.00048641394823789597,True,0.25,7.646623998880386e-05,False,0.25,7.646623998880386e-05,False,,False,True
branch_3cf9100d86439a50a686,g001_b7e43f1d75130653_0000,2,9.0,9.0,11.0,ellipsoid,7.484638497607557,9.991618598313472,11.821175332686096,g001_p000002_empty,0.000212755985558033,0.000212755985558033,True,0.25,5.208887159824371e-06,False,0.25,5.208887159824371e-06,False,,False,True
branch_ebeb76f44c003957a426,g001_b7e43f1d75130653_0000,3,9.0,10.0,9.0,dike_hemisphere,6.9602026354836335,13.792192464052157,7.862544991815387,g001_p000003_empty,0.0010443869978189468,0.0010443869978189468,True,0.25,7.659569382667542e-05,False,0.25,7.659569382667542e-05,False,,False,True
branch_c8977aee49ede6955e8c,g001_b7e43f1d75130653_0000,4,9.0,10.0,10.0,dike_hemisphere,11.416029720230092,12.882908191169253,13.24044422109909,g001_p000004_empty,0.001299109309911728,0.001299109309911728,True,0.25,0.00022843945771455765,False,0.25,0.00022843945771455765,False,,False,True
branch_b4ad69a99544aaa4fe39,g001_b7e43f1d75130653_0000,5,9.0,10.0,11.0,ellipsoid,9.3260241652468,9.271963487293934,13.664643496505605,g001_p000005_empty,0.0003088591620326042,0.0003088591620326042,True,0.25,6.433576345443726e-06,False,0.25,6.433576345443726e-06,False,,False,True
branch_4ccae90f76d476c57f16,g001_b7e43f1d75130653_0000,6,10.0,9.0,9.0,dike_hemisphere,7.852049182093416,11.145289176007863,9.157355840537475,g001_p000006_empty,0.0007742047309875488,0.0007742047309875488,True,0.25,7.751863449811935e-05,False,0.25,7.751863449811935e-05,False,,False,True
branch_211e1960862b8f3ec0f7,g001_b7e43f1d75130653_0000,7,10.0,9.0,10.0,dike_hemisphere,12.3065001525419,7.065688742619231,13.200821676546568,g001_p000007_empty,0.0006560515612363815,0.0006560515612363815,True,0.25,0.00012903660535812378,False,0.25,0.00012903660535812378,False,,False,True
branch_e7fea3095735552d32cc,g001_b7e43f1d75130653_0000,8,10.0,9.0,11.0,ellipsoid,8.55601594564268,9.118549501281159,7.592165011248599,g001_p000008_empty,0.00044168904423713684,0.00044168904423713684,True,0.25,4.9015507102012634e-06,False,0.25,4.9015507102012634e-06,False,,False,True
branch_7ca81e5622b897252b26,g001_b7e43f1d75130653_0000,9,25.0,9.0,29.0,dike_hemisphere,7.0104090357618,9.086002987599725,9.12801987946564,g001_p000009_empty,0.0006744088605046272,0.0006744088605046272,True,0.25,0.00010046549141407013,False,0.25,0.00010046549141407013,False,,False,True
branch_4d53811623f133d028ac,g001_b7e43f1d75130653_0000,10,25.0,9.0,30.0,ellipsoid,13.360088129200104,7.883318812364299,11.068272044007422,g001_p000010_empty,0.0007892083376646042,0.0007892083376646042,True,0.25,0.0001569325104355812,False,0.25,0.0001569325104355812,False,,False,True
branch_e63708511c2400f29f61,g001_b7e43f1d75130653_0000,11,25.0,9.0,31.0,dike_hemisphere,8.697609417360173,14.354844958554544,11.199660706009823,g001_p000011_empty,0.0011714054271578789,0.0011714054271578789,True,0.25,1.928769052028656e-05,False,0.25,1.928769052028656e-05,False,,False,True
branch_72902cbcc211b3923899,g001_b7e43f1d75130653_0000,12,25.0,10.0,29.0,ellipsoid,12.806527380318517,14.472271475228657,12.957059957475643,g001_p000012_empty,0.0019696326926350594,0.0019696326926350594,True,0.25,0.00024717673659324646,False,0.25,0.00024717673659324646,False,,False,True
branch_55ca0617b3b4c91ed990,g001_b7e43f1d75130653_0000,13,25.0,10.0,30.0,dike_hemisphere,9.571871857949091,7.160739040984092,11.376243859799143,g001_p000013_empty,0.0004931055009365082,0.0004931055009365082,True,0.25,2.872943878173828e-05,False,0.25,2.872943878173828e-05,False,,False,True
branch_dda6a6187721acf34531,g001_b7e43f1d75130653_0000,14,25.0,10.0,31.0,dike_hemisphere,11.33455489022586,8.151513453478163,13.286836865297733,g001_p000014_empty,0.0006758319213986397,0.0006758319213986397,True,0.25,7.737800478935242e-05,False,0.25,7.737800478935242e-05,False,,False,True
branch_a710222ae21b36e26548,g001_b7e43f1d75130653_0000,15,26.0,9.0,29.0,ellipsoid,12.471258676360954,6.952710364086431,10.660282162596085,g001_p000015_empty,0.0005602939054369926,0.0005602939054369926,True,0.25,4.8022717237472534e-05,False,0.25,4.8022717237472534e-05,False,,False,True
branch_932855a95af8d68e95f0,g001_b7e43f1d75130653_0000,16,26.0,9.0,30.0,ellipsoid,10.874120076267408,7.343850586969914,8.199546644911543,g001_p000016_empty,0.0003908388316631317,0.0003908388316631317,True,0.25,7.646530866622925e-05,False,0.25,7.646530866622925e-05,False,,False,True
branch_97b39b3acecadcb40e3f,g001_b7e43f1d75130653_0000,17,26.0,9.0,31.0,dike_hemisphere,15.568984308983818,8.401667265695245,10.893816953246827,g001_p000017_empty,0.001052682287991047,0.001052682287991047,True,0.25,1.653376966714859e-05,False,0.25,1.653376966714859e-05,False,,False,True
branch_74fe32e56777b02d4766,g001_b7e43f1d75130653_0000,18,41.0,9.0,17.0,dike_hemisphere,13.221076156955991,6.423416583396705,7.317005077734772,g001_p000018_empty,0.0010146945714950562,0.0010146945714950562,True,0.25,0.00011469051241874695,False,0.25,0.00011469051241874695,False,,False,True
