branch_id,probe_kind,generation,proposal_index,child_state_id,parent_state_id,ranking_id,rank_index,canonical_center_score,center_x,center_y,center_z,shape,material_label,orientation_deg,full_size_x,full_size_y,full_size_z,scale_index,scale,probe_size_x,probe_size_y,probe_size_z,hard_rmse,delta_rmse_vs_parent,delta_rmse_vs_empty,hard_loss_improving_vs_parent,condition_violations,continuation_authorized,next_scale,termination,truth_used
branch_d3305e523d17d43b9a24,new_center,1,0,g001_p000000_empty,empty,g001_b7e43f1d75130653_0000,0,7.10140448063612e-05,42.0,11.0,24.0,ellipsoid,9,47.07794206407231,14.4425596270046,14.345571233540058,7.910565364157268,0,0.25,3.61063990675115,3.5863928083850145,1.977641341039317,0.016291746869683266,0.00026620179414749146,0.00026620179414749146,False,0,False,,terminated_non_improving_hard_step,False
branch_06c5285465bc63f182d2,new_center,1,1,g001_p000001_empty,empty,g001_b7e43f1d75130653_0000,1,7.101403025444597e-05,42.0,9.0,24.0,ellipsoid,9,81.5363537528872,10.36041110779938,9.933621427014039,7.784748983917653,0,0.25,2.590102776949845,2.4834053567535097,1.9461872459794132,0.016159193590283394,0.00013364851474761963,0.00013364851474761963,False,0,False,,terminated_non_improving_hard_step,False
branch_a6d95a0ef4e3fb052509,new_center,1,2,g001_p000002_empty,empty,g001_b7e43f1d75130653_0000,2,6.556713924510404e-05,27.0,10.0,36.0,dike_hemisphere,9,162.88789201475225,11.132032681810502,6.427371643341984,7.3630002595705974,0,0.25,2.7830081704526255,1.606842910835496,1.8407500648926494,0.0160933006554842,6.775557994842529e-05,6.775557994842529e-05,False,0,False,,terminated_non_improving_hard_step,False
branch_05086cefb6726a0f8ebd,new_center,1,3,g001_p000003_empty,empty,g001_b7e43f1d75130653_0000,3,6.556713196914643e-05,25.0,10.0,36.0,dike_hemisphere,9,73.14827975367315,12.733733649368876,13.611879445783536,8.195861683841935,0,0.25,3.183433412342219,3.402969861445884,2.0489654209604837,0.01620319113135338,0.00017764605581760406,0.00017764605581760406,False,0,False,,terminated_non_improving_hard_step,False
branch_ab86cbafb260f244b131,new_center,1,4,g001_p000004_empty,empty,g001_b7e43f1d75130653_0000,4,6.420160207198933e-05,10.0,9.0,16.0,dike_hemisphere,9,160.67975847467753,7.798237526812782,14.96514496205553,13.21075767939735,0,0.25,1.9495593817031955,3.7412862405138827,3.3026894198493375,0.016124803572893143,9.925849735736847e-05,9.925849735736847e-05,False,0,False,,terminated_non_improving_hard_step,False
branch_cc3be34d194b40646e61,new_center,1,5,g001_p000005_empty,empty,g001_b7e43f1d75130653_0000,5,6.420160207198933e-05,10.0,11.0,16.0,ellipsoid,9,161.20868414978204,8.888576107776366,7.130622542854599,9.194664432290725,0,0.25,2.2221440269440915,1.7826556357136498,2.2986661080726813,0.016105452552437782,7.990747690200806e-05,7.990747690200806e-05,False,0,False,,terminated_non_improving_hard_step,False
branch_61358047968aac02e1b4,new_center,1,6,g001_p000006_empty,empty,g001_b7e43f1d75130653_0000,6,5.73338293179404e-05,9.0,11.0,16.0,ellipsoid,9,139.36014975422052,9.731235455571657,14.20861048249833,8.07666059319666,0,0.25,2.432808863892914,3.5521526206245824,2.019165148299165,0.016238443553447723,0.00021289847791194916,0.00021289847791194916,False,0,False,,terminated_non_improving_hard_step,False
branch_0f1017e3d2b2407736e5,new_center,1,7,g001_p000007_empty,empty,g001_b7e43f1d75130653_0000,7,5.733381840400398e-05,11.0,9.0,16.0,dike_hemisphere,9,136.0867742781983,11.409809591836495,7.209548638978673,6.941494099354311,0,0.25,2.852452397959124,1.8023871597446683,1.7353735248385778,0.016059061512351036,3.351643681526184e-05,3.351643681526184e-05,False,0,False,,terminated_non_improving_hard_step,False
branch_b39aca35600116cc9531,new_center,1,8,g001_p000008_empty,empty,g001_b7e43f1d75130653_0000,8,5.574035458266735e-05,41.0,10.0,24.0,dike_hemisphere,9,61.97497809785554,8.544655546425227,12.42767553800017,10.812632791044674,0,0.25,2.136163886606307,3.1069188845000424,2.7031581977611685,0.016190579161047935,0.00016503408551216125,0.00016503408551216125,False,0,False,,terminated_non_improving_hard_step,False
branch_7876e2c3b5d4c88f76e2,new_center,1,9,g001_p000009_empty,empty,g001_b7e43f1d75130653_0000,9,5.5740350944688544e-05,43.0,10.0,24.0,dike_hemisphere,9,127.41785212030616,15.157723709741802,12.684973529145836,13.345135119501782,0,0.25,3.7894309274354505,3.171243382286459,3.3362837798754454,0.01618359051644802,0.0001580454409122467,0.0001580454409122467,False,0,False,,terminated_non_improving_hard_step,False
