generation,state_id,parent_id,ranking_id,rank_index,center_x,center_y,center_z,predicted_first_order_mse_decrease,hard_rmse,delta_rmse_vs_parent,delta_rmse_vs_empty,condition_violations,truth_used
1,g001_p000000_empty,empty,g001_b7e43f1d75130653_0000,0,10.0,9.0,17.0,5.1880382670788094e-05,0.01550714299082756,0.00025286246091127396,0.00025286246091127396,0,False
1,g001_p000001_empty,empty,g001_b7e43f1d75130653_0000,1,10.0,11.0,17.0,5.188037539483048e-05,0.015421456657350063,0.00016717612743377686,0.00016717612743377686,0,False
1,g001_p000002_empty,empty,g001_b7e43f1d75130653_0000,2,25.0,11.0,36.0,5.0622627895791084e-05,0.015290687792003155,3.6407262086868286e-05,3.6407262086868286e-05,0,False
1,g001_p000003_empty,empty,g001_b7e43f1d75130653_0000,3,27.0,9.0,36.0,5.062259879196063e-05,0.015359215438365936,0.00010493490844964981,0.00010493490844964981,0,False
1,g001_p000004_empty,empty,g001_b7e43f1d75130653_0000,4,41.0,41.0,38.0,5.045986108598299e-05,0.015333833172917366,7.955264300107956e-05,7.955264300107956e-05,0,False
1,g001_p000005_empty,empty,g001_b7e43f1d75130653_0000,5,43.0,43.0,38.0,5.0459846534067765e-05,0.015333833172917366,7.955264300107956e-05,7.955264300107956e-05,0,False
1,g001_p000006_empty,empty,g001_b7e43f1d75130653_0000,6,9.0,10.0,17.0,5.0347854994470254e-05,0.015477484092116356,0.00022320356220006943,0.00022320356220006943,0,False
1,g001_p000007_empty,empty,g001_b7e43f1d75130653_0000,7,11.0,10.0,17.0,5.0347814976703376e-05,0.015543932095170021,0.0002896515652537346,0.0002896515652537346,0,False
1,g001_p000008_empty,empty,g001_b7e43f1d75130653_0000,8,42.0,42.0,37.0,5.0284455937799066e-05,0.015496211126446724,0.00024193059653043747,0.00024193059653043747,0,False
1,g001_p000009_empty,empty,g001_b7e43f1d75130653_0000,9,9.0,11.0,17.0,4.919522689306177e-05,0.015518170781433582,0.00026389025151729584,0.00026389025151729584,0,False
1,g001_p000010_empty,empty,g001_b7e43f1d75130653_0000,10,11.0,9.0,17.0,4.919520142721012e-05,0.015307423658668995,5.3143128752708435e-05,5.3143128752708435e-05,0,False
1,g001_p000011_empty,empty,g001_b7e43f1d75130653_0000,11,41.0,42.0,38.0,4.905810783384368e-05,0.015431446954607964,0.0001771664246916771,0.0001771664246916771,0,False
1,g001_p000012_empty,empty,g001_b7e43f1d75130653_0000,12,43.0,42.0,38.0,4.9058086005970836e-05,0.015574907884001732,0.0003206273540854454,0.0003206273540854454,0,False
1,g001_p000013_empty,empty,g001_b7e43f1d75130653_0000,13,42.0,41.0,38.0,4.8255769797833636e-05,0.015505791641771793,0.0002515111118555069,0.0002515111118555069,0,False
1,g001_p000014_empty,empty,g001_b7e43f1d75130653_0000,14,42.0,43.0,38.0,4.825576252187602e-05,0.015445979312062263,0.00019169878214597702,0.00019169878214597702,0,False
1,g001_p000015_empty,empty,g001_b7e43f1d75130653_0000,15,26.0,9.0,36.0,4.6636490878881887e-05,0.015325447544455528,7.116701453924179e-05,7.116701453924179e-05,0,False
1,g001_p000016_empty,empty,g001_b7e43f1d75130653_0000,16,26.0,11.0,36.0,4.6636490878881887e-05,0.015536992810666561,0.00028271228075027466,0.00028271228075027466,0,False
1,g001_p000017_empty,empty,g001_b7e43f1d75130653_0000,17,41.0,43.0,38.0,4.632365016732365e-05,0.015561530366539955,0.00030724983662366867,0.00030724983662366867,0,False
1,g001_p000018_empty,empty,g001_b7e43f1d75130653_0000,18,43.0,41.0,38.0,4.632363561540842e-05,0.015357565134763718,0.00010328460484743118,0.00010328460484743118,0,False
1,g001_p000019_empty,empty,g001_b7e43f1d75130653_0000,19,25.0,10.0,36.0,4.302810339140706e-05,0.015442783944308758,0.0001885034143924713,0.0001885034143924713,0,False
1,g001_p000020_empty,empty,g001_b7e43f1d75130653_0000,20,27.0,10.0,36.0,4.302806337364018e-05,0.01536787673830986,0.00011359620839357376,0.00011359620839357376,0,False
1,g001_p000021_empty,empty,g001_b7e43f1d75130653_0000,21,9.0,9.0,17.0,4.247064862283878e-05,0.015407297760248184,0.00015301723033189774,0.00015301723033189774,0,False
1,g001_p000022_empty,empty,g001_b7e43f1d75130653_0000,22,11.0,11.0,17.0,4.24706086050719e-05,0.015449495986104012,0.00019521545618772507,0.00019521545618772507,0,False
1,g001_p000023_empty,empty,g001_b7e43f1d75130653_0000,23,10.0,9.0,16.0,4.139896191190928e-05,0.015416907146573067,0.00016262661665678024,0.00016262661665678024,0,False
1,g001_p000024_empty,empty,g001_b7e43f1d75130653_0000,24,10.0,11.0,16.0,4.139895463595167e-05,0.01544234436005354,0.0001880638301372528,0.0001880638301372528,0,False
1,g001_p000025_empty,empty,g001_b7e43f1d75130653_0000,25,42.0,43.0,37.0,4.0461956814397126e-05,0.015496211126446724,0.00024193059653043747,0.00024193059653043747,0,False
1,g001_p000026_empty,empty,g001_b7e43f1d75130653_0000,26,42.0,41.0,37.0,4.046195317641832e-05,0.01546868309378624,0.00021440256386995316,0.00021440256386995316,0,False
1,g001_p000027_empty,empty,g001_b7e43f1d75130653_0000,27,9.0,12.0,17.0,3.886375270667486e-05,0.015528720803558826,0.00027444027364254,0.00027444027364254,0,False
1,g001_p000028_empty,empty,g001_b7e43f1d75130653_0000,28,11.0,8.0,17.0,3.8863745430717245e-05,0.015447350218892097,0.000193069688975811,0.000193069688975811,0,False
1,g001_p000029_empty,empty,g001_b7e43f1d75130653_0000,29,9.0,11.0,16.0,3.797365934588015e-05,0.015361611731350422,0.00010733120143413544,0.00010733120143413544,0,False
1,g001_p000030_empty,empty,g001_b7e43f1d75130653_0000,30,11.0,9.0,16.0,3.797364843194373e-05,0.015424848534166813,0.00017056800425052643,0.00017056800425052643,0,False
1,g001_p000031_empty,empty,g001_b7e43f1d75130653_0000,31,43.0,41.0,37.0,3.781717532547191e-05,0.015275426208972931,2.114567905664444e-05,2.114567905664444e-05,0,False
1,g001_p000032_empty,empty,g001_b7e43f1d75130653_0000,32,41.0,43.0,37.0,3.78171716874931e-05,0.015317005105316639,6.272457540035248e-05,6.272457540035248e-05,0,False
1,g001_p000033_empty,empty,g001_b7e43f1d75130653_0000,33,25.0,10.0,35.0,3.6864832509309053e-05,0.015404890291392803,0.00015060976147651672,0.00015060976147651672,0,False
1,g001_p000034_empty,empty,g001_b7e43f1d75130653_0000,34,27.0,10.0,35.0,3.6864828871330246e-05,0.015294529497623444,4.0248967707157135e-05,4.0248967707157135e-05,0,False
1,g001_p000035_empty,empty,g001_b7e43f1d75130653_0000,35,42.0,42.0,38.0,3.597717295633629e-05,0.0154477059841156,0.00019342545419931412,0.00019342545419931412,0,False
