branch_id,ranking_id,rank_index,center_x,center_y,center_z,shape,full_size_x,full_size_y,full_size_z,v2_full_state_id,v2_full_delta_rmse_vs_parent,v2_full_delta_rmse_vs_empty,v2_full_failed_vs_parent,v3_smallest_scale,v3_smallest_delta_rmse_vs_parent,v3_smallest_improved_vs_parent,v3_best_evaluated_scale,v3_best_evaluated_delta_rmse_vs_parent,v3_full_scale_evaluated,v3_full_scale_delta_rmse_vs_parent,oracle_or_truth_used,post_selection_diagnostic_only
branch_a5aed6f168b88eb3889f,g001_b7e43f1d75130653_0000,0,4.0,4.0,6.0,dike_hemisphere,11.130653605266843,13.26362719440826,10.740188329029966,g001_p000000_empty,0.006487089325673878,0.006487089325673878,True,0.25,0.0016801418969407678,False,0.25,0.0016801418969407678,False,,False,True
branch_3199f3d10f682998a65e,g001_b7e43f1d75130653_0000,1,4.0,4.0,7.0,dike_hemisphere,9.362711293297336,15.281171323391032,13.709995396428752,g001_p000001_empty,0.006368891452439129,0.006368891452439129,True,0.25,0.001141690299846232,False,0.25,0.001141690299846232,False,,False,True
branch_c5b6b0c387ae1629935c,g001_b7e43f1d75130653_0000,2,4.0,4.0,8.0,dike_hemisphere,6.2415666988930445,11.77849865016452,6.968794592868026,g001_p000002_empty,0.004768107668496668,0.004768107668496668,True,0.25,0.0003474939148873091,False,0.25,0.0003474939148873091,False,,False,True
branch_c42e968a6fc38f6b9eac,g001_b7e43f1d75130653_0000,3,4.0,4.0,9.0,ellipsoid,9.230824813544787,6.934960563263923,10.982392530275137,g001_p000003_empty,0.00421623105648905,0.00421623105648905,True,0.25,0.0007765245391055942,False,0.25,0.0007765245391055942,False,,False,True
branch_285955bc001f87376df6,g001_b7e43f1d75130653_0000,4,4.0,4.0,10.0,dike_hemisphere,7.149146866812255,10.362288145253302,12.811821660156152,g001_p000004_empty,0.004733249195851386,0.004733249195851386,True,0.25,0.0005659428425133228,False,0.25,0.0005659428425133228,False,,False,True
branch_2a158798b51038a69553,g001_b7e43f1d75130653_0000,5,4.0,4.0,11.0,dike_hemisphere,7.0358743255990435,13.01048856687095,13.748950923758187,g001_p000005_empty,0.005311228916980326,0.005311228916980326,True,0.25,0.0005659428425133228,False,0.25,0.0005659428425133228,False,,False,True
branch_1c9fabd3d8af103e4aa0,g001_b7e43f1d75130653_0000,6,4.0,4.0,12.0,dike_hemisphere,12.873879228621735,13.892721441198542,11.103416575824955,g001_p000006_empty,0.006926230271346867,0.006926230271346867,True,0.25,0.0013845661887899041,False,0.25,0.0013845661887899041,False,,False,True
branch_93847f6e997978c2d112,g001_b7e43f1d75130653_0000,7,4.0,4.0,13.0,ellipsoid,15.162418769794593,9.93638631247521,10.15382794628593,g001_p000007_empty,0.006553257000632584,0.006553257000632584,True,0.25,0.001610423089005053,False,0.25,0.001610423089005053,False,,False,True
branch_352f66057092e2b4b870,g001_b7e43f1d75130653_0000,8,4.0,4.0,14.0,ellipsoid,8.200017659354108,12.237932925006314,7.288676725363943,g001_p000008_empty,0.0053680428536608815,0.0053680428536608815,True,0.25,0.0016903093783184886,False,0.25,0.0016903093783184886,False,,False,True
branch_a5f50fe9fe82a16d9616,g001_b7e43f1d75130653_0000,9,4.0,4.0,15.0,dike_hemisphere,12.14389253980212,8.65579442964648,7.0254230294058955,g001_p000009_empty,0.005507535417564213,0.005507535417564213,True,0.25,0.0013187051517888904,False,0.25,0.0013187051517888904,False,,False,True
branch_0472c54bed9879ae0540,g001_b7e43f1d75130653_0000,10,4.0,4.0,16.0,dike_hemisphere,7.42690749400205,10.353785693722177,6.45070448275783,g001_p000010_empty,0.004973396309651434,0.004973396309651434,True,0.25,0.0003474939148873091,False,0.25,0.0003474939148873091,False,,False,True
branch_bfee3c0fc44b25e19d42,g001_b7e43f1d75130653_0000,11,4.0,4.0,17.0,ellipsoid,8.968107635794954,8.204825298086925,9.035861568674108,g001_p000011_empty,0.004916434292681515,0.004916434292681515,True,0.25,0.0012273507891222835,False,0.25,0.0012273507891222835,False,,False,True
branch_57287a81bc22587cb573,g001_b7e43f1d75130653_0000,12,4.0,4.0,18.0,ellipsoid,10.356060506329875,15.467926449083457,8.725499684395878,g001_p000012_empty,0.00666919827926904,0.00666919827926904,True,0.25,0.0019493867876008153,False,0.25,0.0019493867876008153,False,,False,True
branch_7de857d9902b37407389,g001_b7e43f1d75130653_0000,13,4.0,4.0,19.0,ellipsoid,10.884137235601543,11.961049378313037,7.76819714217686,g001_p000013_empty,0.006126775522716343,0.006126775522716343,True,0.25,0.0016903093783184886,False,0.25,0.0016903093783184886,False,,False,True
branch_cb6119e7098c9833fa39,g001_b7e43f1d75130653_0000,14,4.0,4.0,20.0,dike_hemisphere,15.811950456976675,9.720428118243081,12.041065112878798,g001_p000014_empty,0.006551378522999585,0.006551378522999585,True,0.25,0.001286962884478271,False,0.25,0.001286962884478271,False,,False,True
branch_324043ab987267d97281,g001_b7e43f1d75130653_0000,15,4.0,4.0,21.0,dike_hemisphere,6.123542426805432,14.905920461874242,7.825407850893782,g001_p000015_empty,0.0049495488638058305,0.0049495488638058305,True,0.25,0.0008863265393301845,False,0.25,0.0008863265393301845,False,,False,True
branch_fe33b4f8cdf2ff4abdbd,g001_b7e43f1d75130653_0000,16,4.0,4.0,22.0,ellipsoid,12.66254525403484,13.426806682278214,6.390291937927466,g001_p000016_empty,0.006830566679127514,0.006830566679127514,True,0.25,0.002021263469941914,False,0.25,0.002021263469941914,False,,False,True
branch_16d0ddd453fc0baf437a,g001_b7e43f1d75130653_0000,17,4.0,4.0,23.0,ellipsoid,14.277764246681226,12.966351079173553,11.289851361212474,g001_p000017_empty,0.007040871423669159,0.007040871423669159,True,0.25,0.0016447146190330386,False,0.25,0.0016447146190330386,False,,False,True
branch_9cf566da047eb8aa3998,g001_b7e43f1d75130653_0000,18,4.0,4.0,24.0,dike_hemisphere,8.490335685018763,6.2350021553717365,8.062835568486674,g001_p000018_empty,0.003931536455638707,0.003931536455638707,True,0.25,0.0007765259360894561,False,0.25,0.0007765259360894561,False,,False,True
branch_32e770696d2e6fc2c4cd,g001_b7e43f1d75130653_0000,19,4.0,4.0,25.0,dike_hemisphere,14.827951813140093,12.568453578252566,9.671104206656779,g001_p000019_empty,0.006863649119623005,0.006863649119623005,True,0.25,0.0015361333498731256,False,0.25,0.0015361333498731256,False,,False,True
branch_f2c00dbbc0cae5d93bd3,g001_b7e43f1d75130653_0000,20,4.0,4.0,26.0,dike_hemisphere,8.936933092598167,8.838217178993887,13.14022167965341,g001_p000020_empty,0.004946904839016497,0.004946904839016497,True,0.25,0.0012273507891222835,False,0.25,0.0012273507891222835,False,,False,True
branch_b28bddce4e0aa4b5f276,g001_b7e43f1d75130653_0000,21,4.0,4.0,27.0,dike_hemisphere,15.287883450656588,10.28247134560215,11.279448186047535,g001_p000021_empty,0.006565572810359299,0.006565572810359299,True,0.25,0.0011416914639994502,False,0.25,0.0011416914639994502,False,,False,True
branch_35981195c2cff30c0dc7,g001_b7e43f1d75130653_0000,22,4.0,4.0,28.0,dike_hemisphere,9.271337286154184,15.296111335691563,11.303765456311448,g001_p000022_empty,0.006257592816837132,0.006257592816837132,True,0.25,0.0011416914639994502,False,0.25,0.0011416914639994502,False,,False,True
branch_bbcb35ca4d918856f778,g001_b7e43f1d75130653_0000,23,4.0,4.0,29.0,dike_hemisphere,8.37103411678402,12.205211207688082,12.081952988637697,g001_p000023_empty,0.005574295879341662,0.005574295879341662,True,0.25,0.0013071201974526048,False,0.25,0.0013071201974526048,False,,False,True
branch_430fff5f6137cb565a4a,g001_b7e43f1d75130653_0000,24,4.0,4.0,30.0,dike_hemisphere,8.779184926985785,12.981715082969046,9.432325288109901,g001_p000024_empty,0.005809423630125821,0.005809423630125821,True,0.25,0.0014628552598878741,False,0.25,0.0014628552598878741,False,,False,True
branch_a8bdcd511947bba97dee,g001_b7e43f1d75130653_0000,25,4.0,4.0,31.0,ellipsoid,12.819631655667587,9.607064401808632,7.13493842416292,g001_p000025_empty,0.005869374726898968,0.005869374726898968,True,0.25,0.0016903093783184886,False,0.25,0.0016903093783184886,False,,False,True
branch_a0eff55e526cc111a26b,g001_b7e43f1d75130653_0000,26,4.0,4.0,32.0,dike_hemisphere,13.2787174475877,12.46132677070634,13.527249454307,g001_p000026_empty,0.006966867600567639,0.006966867600567639,True,0.25,0.0015361338155344129,False,0.25,0.0015361338155344129,False,,False,True
branch_e8eac757afc3e045dcbd,g001_b7e43f1d75130653_0000,27,4.0,4.0,33.0,ellipsoid,13.22408322436877,15.397389444528649,11.284524532640463,g001_p000027_empty,0.007289832574315369,0.007289832574315369,True,0.25,0.0016447101952508092,False,0.25,0.0016447101952508092,False,,False,True
branch_59306d748415e39f0ff5,g001_b7e43f1d75130653_0000,28,4.0,4.0,34.0,ellipsoid,10.210777434559567,12.5828636839424,10.992028153143751,g001_p000028_empty,0.006215999950654805,0.006215999950654805,True,0.25,0.0014438197249546647,False,0.25,0.0014438197249546647,False,,False,True
branch_58c9964585a164d31c63,g001_b7e43f1d75130653_0000,29,4.0,4.0,35.0,ellipsoid,6.98072816480834,12.789817819632761,6.060488361833718,g001_p000029_empty,0.004961686790920794,0.004961686790920794,True,0.25,0.0008863265393301845,False,0.25,0.0008863265393301845,False,,False,True
branch_e649a2b609612226d2ba,g001_b7e43f1d75130653_0000,30,4.0,4.0,36.0,ellipsoid,10.614556477067046,9.888782150067321,11.47271255531718,g001_p000030_empty,0.0057781554060056806,0.0057781554060056806,True,0.25,0.0012273507891222835,False,0.25,0.0012273507891222835,False,,False,True
