branch_id,generation,evaluation_slot,probe_kind,transition,from_scale,scale,ranking_id,rank_index,canonical_center_score,lineage_parent_state_id,child_state_id,center_x,center_y,center_z,shape,material_label,orientation_deg,full_size_x,full_size_y,full_size_z,probe_size_x,probe_size_y,probe_size_z,hard_rmse,delta_rmse_vs_lineage_parent,delta_rmse_vs_empty,strictly_improves_lineage_parent,reallocated_existing_slot,displaced_scheduled_move,displaced_scheduled_parent_state_id,condition_violations,truth_used
v4_branch_ac26fa704793161c937f,1,0,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,0,5.014018097426742e-05,empty,g001_p000000_empty,41.0,9.0,20.0,ellipsoid,9,33.94360557912685,9.069960482085477,12.518838106885632,9.034864313429892,2.2674901205213693,3.129709526721408,2.258716078357473,0.01763303019106388,7.580965757369995e-07,7.580965757369995e-07,False,False,,,0,False
v4_branch_acca7886559c7ba26500,1,1,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,1,4.919147613691166e-05,empty,g001_p000001_empty,9.0,9.0,9.0,ellipsoid,9,140.05301420081562,10.216738703467461,6.449849555799257,8.001534966156104,2.5541846758668654,1.6124623889498142,2.000383741539026,0.01769445836544037,6.218627095222473e-05,6.218627095222473e-05,False,False,,,0,False
v4_branch_105163863a09c7a89e4d,1,2,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,2,4.919147613691166e-05,empty,g001_p000002_empty,9.0,9.0,10.0,ellipsoid,9,88.66852277516863,7.484638497607557,9.991618598313472,11.821175332686096,1.8711596244018893,2.497904649578368,2.955293833171524,0.017679570242762566,4.729814827442169e-05,4.729814827442169e-05,False,False,,,0,False
v4_branch_6b1346d46ba76f482b63,1,3,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,3,4.919147613691166e-05,empty,g001_p000003_empty,9.0,9.0,11.0,dike_hemisphere,9,108.3784039812152,6.9602026354836335,13.792192464052157,7.862544991815387,1.7400506588709084,3.448048116013039,1.9656362479538467,0.017634542658925056,2.2705644369125366e-06,2.2705644369125366e-06,False,False,,,0,False
v4_branch_73c27dbfca0c9b2b1740,1,4,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,4,4.919147613691166e-05,empty,g001_p000004_empty,9.0,10.0,9.0,dike_hemisphere,9,11.694771665313839,11.416029720230092,12.882908191169253,13.24044422109909,2.854007430057523,3.2207270477923133,3.3101110552747723,0.01779269054532051,0.00016041845083236694,0.00016041845083236694,False,False,,,0,False
v4_branch_4e59501b1ac962881e40,1,5,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,5,4.919147613691166e-05,empty,g001_p000005_empty,9.0,10.0,10.0,ellipsoid,9,73.89352658062758,9.3260241652468,9.271963487293934,13.664643496505605,2.3315060413117,2.3179908718234836,3.416160874126401,0.01771538145840168,8.310936391353607e-05,8.310936391353607e-05,False,False,,,0,False
v4_branch_4d23e997bafb30f18d8f,1,6,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,6,4.919147613691166e-05,empty,g001_p000006_empty,9.0,10.0,11.0,dike_hemisphere,9,88.67712622573787,7.852049182093416,11.145289176007863,9.157355840537475,1.963012295523354,2.7863222940019656,2.2893389601343688,0.01765054650604725,1.827441155910492e-05,1.827441155910492e-05,False,False,,,0,False
v4_branch_74360145e14cda39a4b3,1,7,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,7,4.919147613691166e-05,empty,g001_p000007_empty,10.0,9.0,9.0,dike_hemisphere,9,144.50235789362677,12.3065001525419,7.065688742619231,13.200821676546568,3.076625038135475,1.7664221856548077,3.300205419136642,0.017727473750710487,9.520165622234344e-05,9.520165622234344e-05,False,False,,,0,False
v4_branch_a85b5b80da04db5824c5,1,8,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,8,4.919147613691166e-05,empty,g001_p000008_empty,10.0,9.0,10.0,ellipsoid,9,142.09711655694812,8.55601594564268,9.118549501281159,7.592165011248599,2.13900398641067,2.2796373753202896,1.8980412528121497,0.01772109791636467,8.882582187652588e-05,8.882582187652588e-05,False,False,,,0,False
v4_branch_fc4747300b3e117b3df3,1,9,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,9,4.919147613691166e-05,empty,g001_p000009_empty,10.0,9.0,11.0,dike_hemisphere,9,107.71547182800337,7.0104090357618,9.086002987599725,9.12801987946564,1.75260225894045,2.2715007468999313,2.28200496986641,0.017678439617156982,4.61675226688385e-05,4.61675226688385e-05,False,False,,,0,False
v4_branch_13da5debdf8cdd21f5dc,1,10,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,10,4.919147613691166e-05,empty,g001_p000010_empty,25.0,9.0,29.0,ellipsoid,9,110.77220670438774,13.360088129200104,7.883318812364299,11.068272044007422,3.340022032300026,1.9708297030910749,2.7670680110018555,0.017771165817975998,0.000138893723487854,0.000138893723487854,False,False,,,0,False
v4_branch_0f67d0cda2c72b259e50,1,11,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,11,4.919147613691166e-05,empty,g001_p000011_empty,25.0,9.0,30.0,dike_hemisphere,9,52.21242285525821,8.697609417360173,14.354844958554544,11.199660706009823,2.1744023543400433,3.588711239638636,2.7999151765024557,0.017724378034472466,9.21059399843216e-05,9.21059399843216e-05,False,False,,,0,False
v4_branch_aba24cafb2f4b8e29e37,1,12,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,12,4.919147613691166e-05,empty,g001_p000012_empty,25.0,9.0,31.0,ellipsoid,9,85.97105246644753,12.806527380318517,14.472271475228657,12.957059957475643,3.2016318450796293,3.6180678688071644,3.2392649893689107,0.017643049359321594,1.0777264833450317e-05,1.0777264833450317e-05,False,False,,,0,False
v4_branch_b55e236fec8bb4827e45,1,13,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,13,4.919147613691166e-05,empty,g001_p000013_empty,25.0,10.0,30.0,dike_hemisphere,9,174.71832456044808,9.571871857949091,7.160739040984092,11.376243859799143,2.392967964487273,1.790184760246023,2.8440609649497857,0.017650019377470016,1.774728298187256e-05,1.774728298187256e-05,False,False,,,0,False
v4_branch_4d29ca32f2ea35ceee36,1,14,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,14,4.919147613691166e-05,empty,g001_p000014_empty,25.0,10.0,31.0,dike_hemisphere,9,159.63060883025153,11.33455489022586,8.151513453478163,13.286836865297733,2.833638722556465,2.0378783633695408,3.3217092163244333,0.017680136486887932,4.78643923997879e-05,4.78643923997879e-05,False,False,,,0,False
v4_branch_03c66500d93c23a132e7,1,15,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,15,4.919147613691166e-05,empty,g001_p000015_empty,26.0,9.0,30.0,ellipsoid,9,87.29187828979056,12.471258676360954,6.952710364086431,10.660282162596085,3.1178146690902384,1.7381775910216077,2.665070540649021,0.0176379457116127,5.673617124557495e-06,5.673617124557495e-06,False,False,,,0,False
v4_branch_ccdb633bd43fede03b46,1,16,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,16,4.919147613691166e-05,empty,g001_p000016_empty,26.0,9.0,31.0,ellipsoid,9,12.41297095544968,10.874120076267408,7.343850586969914,8.199546644911543,2.718530019066852,1.8359626467424786,2.0498866612278857,0.017635487020015717,3.214925527572632e-06,3.214925527572632e-06,False,False,,,0,False
v4_branch_837790dd37633b5babf1,1,17,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,17,4.919141065329313e-05,empty,g001_p000017_empty,9.0,9.0,12.0,dike_hemisphere,9,39.35387470278744,15.568984308983818,8.401667265695245,10.893816953246827,3.8922460772459546,2.1004168164238113,2.7234542383117066,0.017659755423665047,2.748332917690277e-05,2.748332917690277e-05,False,False,,,0,False
v4_branch_9829a4d9eb87023e0973,1,18,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,18,4.919141065329313e-05,empty,g001_p000018_empty,9.0,10.0,12.0,dike_hemisphere,9,172.45712541101338,13.221076156955991,6.423416583396705,7.317005077734772,3.305269039238998,1.6058541458491762,1.829251269433693,0.017632272094488144,0.0,0.0,False,False,,,0,False
v4_branch_d785a5f0c980a51f22b8,1,19,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,19,4.919141065329313e-05,empty,g001_p000019_empty,25.0,9.0,32.0,dike_hemisphere,9,62.23226789086255,7.847048685441748,8.150579837722574,7.872388357661165,1.961762171360437,2.0376449594306436,1.9680970894152912,0.017632272094488144,0.0,0.0,False,False,,,0,False
v4_branch_d180294a36d2228333de,1,20,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,20,4.919141065329313e-05,empty,g001_p000020_empty,25.0,10.0,32.0,ellipsoid,9,120.3570059864107,6.866976562835077,13.01965842222327,12.093670773758578,1.7167441407087694,3.2549146055558174,3.0234176934396446,0.01763303019106388,7.580965757369995e-07,7.580965757369995e-07,False,False,,,0,False
v4_branch_4e388141782b546148cf,1,21,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,21,4.919139973935671e-05,empty,g001_p000021_empty,10.0,9.0,12.0,dike_hemisphere,9,74.62073140176355,8.55312931220255,12.042131805719643,7.192622343400261,2.1382823280506376,3.010532951429911,1.7981555858500653,0.017632272094488144,0.0,0.0,False,False,,,0,False
v4_branch_c0ba35aa13aa87fa2840,1,22,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,22,4.919139973935671e-05,empty,g001_p000022_empty,26.0,9.0,32.0,dike_hemisphere,9,24.046316962221205,15.727521082664902,12.70611739433694,12.543649458583864,3.9318802706662255,3.176529348584235,3.135912364645966,0.017638323828577995,6.051734089851379e-06,6.051734089851379e-06,False,False,,,0,False
v4_branch_a310a49bf22589adfbbc,1,23,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,23,4.918983540846966e-05,empty,g001_p000023_empty,41.0,9.0,19.0,dike_hemisphere,9,29.431657523885622,15.4949785794143,8.79054516317618,6.340410897677041,3.873744644853575,2.197636290794045,1.5851027244192601,0.01763681136071682,4.539266228675842e-06,4.539266228675842e-06,False,False,,,0,False
v4_branch_03ee4ff5cb15cc49feb9,1,24,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,24,4.9113477871287614e-05,empty,g001_p000024_empty,25.0,10.0,29.0,dike_hemisphere,9,104.6165805034426,14.162383720643012,10.921039813943082,12.808272739595862,3.540595930160753,2.7302599534857706,3.2020681848989656,0.017773451283574104,0.0001411791890859604,0.0001411791890859604,False,False,,,0,False
v4_branch_3d5f33152ef95de87b38,1,25,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,25,4.9113477871287614e-05,empty,g001_p000025_empty,26.0,9.0,29.0,dike_hemisphere,9,97.28757733917105,10.724165173676123,9.933379992288534,12.130224306106765,2.681041293419031,2.4833449980721336,3.0325560765266912,0.017696751281619072,6.447918713092804e-05,6.447918713092804e-05,False,False,,,0,False
v4_branch_8337d372ef22b790d719,1,26,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,26,4.8463407438248396e-05,empty,g001_p000026_empty,41.0,9.0,18.0,ellipsoid,9,54.01640594060518,7.0155988133818585,13.788492252932086,9.51071556944707,1.7538997033454646,3.4471230632330214,2.3776788923617675,0.01776815764605999,0.000135885551571846,0.000135885551571846,False,False,,,0,False
v4_branch_379ed939318dd3e915e0,1,27,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,27,4.838505992665887e-05,empty,g001_p000027_empty,41.0,10.0,17.0,ellipsoid,9,76.32087457784891,13.277395392999473,15.03541459903683,11.10483900104514,3.3193488482498683,3.7588536497592075,2.776209750261285,0.017785895615816116,0.0001536235213279724,0.0001536235213279724,False,False,,,0,False
