generation,state_id,parent_id,ranking_id,rank_index,center_x,center_y,center_z,predicted_first_order_mse_decrease,hard_rmse,delta_rmse_vs_parent,delta_rmse_vs_empty,condition_violations,truth_used
1,g001_p000000_empty,empty,g001_b7e43f1d75130653_0000,0,9.0,9.0,9.0,4.999789234716445e-05,0.011134622618556023,0.00025174580514431,0.00025174580514431,0,False
1,g001_p000001_empty,empty,g001_b7e43f1d75130653_0000,1,9.0,9.0,10.0,4.999789234716445e-05,0.010959343053400517,7.646623998880386e-05,7.646623998880386e-05,0,False
1,g001_p000002_empty,empty,g001_b7e43f1d75130653_0000,2,9.0,9.0,11.0,4.999789234716445e-05,0.010888085700571537,5.208887159824371e-06,5.208887159824371e-06,0,False
1,g001_p000003_empty,empty,g001_b7e43f1d75130653_0000,3,9.0,10.0,9.0,4.999789234716445e-05,0.010959472507238388,7.659569382667542e-05,7.659569382667542e-05,0,False
1,g001_p000004_empty,empty,g001_b7e43f1d75130653_0000,4,9.0,10.0,10.0,4.999789234716445e-05,0.01111131627112627,0.00022843945771455765,0.00022843945771455765,0,False
1,g001_p000005_empty,empty,g001_b7e43f1d75130653_0000,5,9.0,10.0,11.0,4.999789234716445e-05,0.010889310389757156,6.433576345443726e-06,6.433576345443726e-06,0,False
1,g001_p000006_empty,empty,g001_b7e43f1d75130653_0000,6,10.0,9.0,9.0,4.999789234716445e-05,0.010960395447909832,7.751863449811935e-05,7.751863449811935e-05,0,False
1,g001_p000007_empty,empty,g001_b7e43f1d75130653_0000,7,10.0,9.0,10.0,4.999789234716445e-05,0.011011913418769836,0.00012903660535812378,0.00012903660535812378,0,False
1,g001_p000008_empty,empty,g001_b7e43f1d75130653_0000,8,10.0,9.0,11.0,4.999789234716445e-05,0.010887778364121914,4.9015507102012634e-06,4.9015507102012634e-06,0,False
1,g001_p000009_empty,empty,g001_b7e43f1d75130653_0000,9,25.0,9.0,29.0,4.999789234716445e-05,0.010983342304825783,0.00010046549141407013,0.00010046549141407013,0,False
1,g001_p000010_empty,empty,g001_b7e43f1d75130653_0000,10,25.0,9.0,30.0,4.999789234716445e-05,0.011039809323847294,0.0001569325104355812,0.0001569325104355812,0,False
1,g001_p000011_empty,empty,g001_b7e43f1d75130653_0000,11,25.0,9.0,31.0,4.999789234716445e-05,0.010902164503932,1.928769052028656e-05,1.928769052028656e-05,0,False
1,g001_p000012_empty,empty,g001_b7e43f1d75130653_0000,12,25.0,10.0,29.0,4.999789234716445e-05,0.011130053550004959,0.00024717673659324646,0.00024717673659324646,0,False
1,g001_p000013_empty,empty,g001_b7e43f1d75130653_0000,13,25.0,10.0,30.0,4.999789234716445e-05,0.010911606252193451,2.872943878173828e-05,2.872943878173828e-05,0,False
