branch_id,generation,evaluation_slot,probe_kind,transition,from_scale,scale,ranking_id,rank_index,canonical_center_score,lineage_parent_state_id,child_state_id,center_x,center_y,center_z,shape,material_label,orientation_deg,full_size_x,full_size_y,full_size_z,probe_size_x,probe_size_y,probe_size_z,hard_rmse,delta_rmse_vs_lineage_parent,delta_rmse_vs_empty,strictly_improves_lineage_parent,reallocated_existing_slot,displaced_scheduled_move,displaced_scheduled_parent_state_id,condition_violations,truth_used
v4_branch_d9f958e74b7ae98446c4,1,0,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,0,7.10140448063612e-05,empty,g001_p000000_empty,42.0,11.0,24.0,ellipsoid,9,47.07794206407231,14.4425596270046,14.345571233540058,7.910565364157268,3.61063990675115,3.5863928083850145,1.977641341039317,0.016291746869683266,0.00026620179414749146,0.00026620179414749146,False,False,,,0,False
v4_branch_812d8e7588a59c6e0aaa,1,1,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,1,7.101403025444597e-05,empty,g001_p000001_empty,42.0,9.0,24.0,ellipsoid,9,81.5363537528872,10.36041110779938,9.933621427014039,7.784748983917653,2.590102776949845,2.4834053567535097,1.9461872459794132,0.016159193590283394,0.00013364851474761963,0.00013364851474761963,False,False,,,0,False
v4_branch_f52f0f5b1f98abe6270a,1,2,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,2,6.556713924510404e-05,empty,g001_p000002_empty,27.0,10.0,36.0,dike_hemisphere,9,162.88789201475225,11.132032681810502,6.427371643341984,7.3630002595705974,2.7830081704526255,1.606842910835496,1.8407500648926494,0.0160933006554842,6.775557994842529e-05,6.775557994842529e-05,False,False,,,0,False
v4_branch_2601aa3477ad753e383c,1,3,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,3,6.556713196914643e-05,empty,g001_p000003_empty,25.0,10.0,36.0,dike_hemisphere,9,73.14827975367315,12.733733649368876,13.611879445783536,8.195861683841935,3.183433412342219,3.402969861445884,2.0489654209604837,0.01620319113135338,0.00017764605581760406,0.00017764605581760406,False,False,,,0,False
v4_branch_3025d77362e882d67a5e,1,4,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,4,6.420160207198933e-05,empty,g001_p000004_empty,10.0,9.0,16.0,dike_hemisphere,9,160.67975847467753,7.798237526812782,14.96514496205553,13.21075767939735,1.9495593817031955,3.7412862405138827,3.3026894198493375,0.016124803572893143,9.925849735736847e-05,9.925849735736847e-05,False,False,,,0,False
v4_branch_b4baed4938d098498b5a,1,5,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,5,6.420160207198933e-05,empty,g001_p000005_empty,10.0,11.0,16.0,ellipsoid,9,161.20868414978204,8.888576107776366,7.130622542854599,9.194664432290725,2.2221440269440915,1.7826556357136498,2.2986661080726813,0.016105452552437782,7.990747690200806e-05,7.990747690200806e-05,False,False,,,0,False
v4_branch_983ef96dc76f22023e6d,1,6,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,6,5.73338293179404e-05,empty,g001_p000006_empty,9.0,11.0,16.0,ellipsoid,9,139.36014975422052,9.731235455571657,14.20861048249833,8.07666059319666,2.432808863892914,3.5521526206245824,2.019165148299165,0.016238443553447723,0.00021289847791194916,0.00021289847791194916,False,False,,,0,False
v4_branch_fa2afbcdba6c166be649,1,7,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,7,5.733381840400398e-05,empty,g001_p000007_empty,11.0,9.0,16.0,dike_hemisphere,9,136.0867742781983,11.409809591836495,7.209548638978673,6.941494099354311,2.852452397959124,1.8023871597446683,1.7353735248385778,0.016059061512351036,3.351643681526184e-05,3.351643681526184e-05,False,False,,,0,False
v4_branch_22c541434b25b3e0d7c3,1,8,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,8,5.574035458266735e-05,empty,g001_p000008_empty,41.0,10.0,24.0,dike_hemisphere,9,61.97497809785554,8.544655546425227,12.42767553800017,10.812632791044674,2.136163886606307,3.1069188845000424,2.7031581977611685,0.016190579161047935,0.00016503408551216125,0.00016503408551216125,False,False,,,0,False
v4_branch_144752eb45912d3b0118,1,9,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,9,5.5740350944688544e-05,empty,g001_p000009_empty,43.0,10.0,24.0,dike_hemisphere,9,127.41785212030616,15.157723709741802,12.684973529145836,13.345135119501782,3.7894309274354505,3.171243382286459,3.3362837798754454,0.01618359051644802,0.0001580454409122467,0.0001580454409122467,False,False,,,0,False
v4_branch_a708b73b5b43526c877e,1,10,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,10,5.55754013475962e-05,empty,g001_p000010_empty,9.0,10.0,16.0,dike_hemisphere,9,78.93870591406925,14.653842097397476,15.535830123122878,6.025632442219404,3.663460524349369,3.8839575307807195,1.506408110554851,0.016291748732328415,0.0002662036567926407,0.0002662036567926407,False,False,,,0,False
v4_branch_3d5fdcd70d04c85ef535,1,11,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,11,5.557539043365978e-05,empty,g001_p000011_empty,11.0,10.0,16.0,dike_hemisphere,9,102.5380141501751,14.350386721509423,15.154404643538395,11.244704620840427,3.587596680377356,3.788601160884599,2.8111761552101067,0.016179533675312996,0.00015398859977722168,0.00015398859977722168,False,False,,,0,False
v4_branch_ef516c04081e594e0b44,1,12,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,12,5.24175375176128e-05,empty,g001_p000012_empty,9.0,9.0,16.0,ellipsoid,9,171.04958293440473,11.638510731565749,15.87588963992376,6.779185253867019,2.909627682891437,3.96897240998094,1.6947963134667547,0.01628674939274788,0.0002612043172121048,0.0002612043172121048,False,False,,,0,False
v4_branch_d2a1ab4a16ea822225a1,1,13,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,13,5.2417530241655186e-05,empty,g001_p000013_empty,11.0,11.0,16.0,ellipsoid,9,100.20326378237056,13.910705027757762,9.332880763709992,8.936701900768945,3.4776762569394406,2.333220190927498,2.2341754751922362,0.016238443553447723,0.00021289847791194916,0.00021289847791194916,False,False,,,0,False
v4_branch_9756a38ce821ef6ccd47,1,14,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,14,5.201577732805163e-05,empty,g001_p000014_empty,42.0,11.0,23.0,dike_hemisphere,9,164.28789219609968,11.504973032149465,6.826407230927014,13.921577384446248,2.8762432580373662,1.7066018077317535,3.480394346111562,0.01608370430767536,5.81592321395874e-05,5.81592321395874e-05,False,False,,,0,False
v4_branch_d42ba28984163c716839,1,15,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,15,5.201577369007282e-05,empty,g001_p000015_empty,42.0,9.0,23.0,ellipsoid,9,141.22019332048097,14.676258253376632,12.999040990815786,11.868614090992363,3.669064563344158,3.2497602477039464,2.9671535227480907,0.016231173649430275,0.00020562857389450073,0.00020562857389450073,False,False,,,0,False
v4_branch_ce663ec2aac498ba90e0,1,16,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,16,5.165622496861033e-05,empty,g001_p000016_empty,41.0,10.0,23.0,ellipsoid,9,152.63508887835997,8.11769257512655,7.3650625740858615,6.907187922956679,2.0294231437816377,1.8412656435214654,1.7267969807391697,0.01605866849422455,3.312341868877411e-05,3.312341868877411e-05,False,False,,,0,False
v4_branch_1bcd3cb668c944bee906,1,17,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,17,5.165622496861033e-05,empty,g001_p000017_empty,43.0,10.0,23.0,dike_hemisphere,9,88.43301020487067,13.931619276595157,9.413097978217827,9.059862053367251,3.4829048191487892,2.353274494554457,2.2649655133418127,0.016103463247418404,7.79181718826294e-05,7.79181718826294e-05,False,False,,,0,False
v4_branch_65eeff0b556ecc7f6209,1,18,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,18,5.131310172146186e-05,empty,g001_p000018_empty,41.0,9.0,24.0,dike_hemisphere,9,101.77403872606114,13.550863131997843,15.224186924167336,9.135320434596759,3.387715782999461,3.806046731041834,2.2838301086491897,0.016175897791981697,0.00015035271644592285,0.00015035271644592285,False,False,,,0,False
v4_branch_6d4e9d8f78a519b0cf3a,1,19,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,19,5.131309080752544e-05,empty,g001_p000019_empty,43.0,11.0,24.0,dike_hemisphere,9,41.40666991190215,11.85779000735415,8.421037579105906,9.68099462003489,2.9644475018385377,2.1052593947764766,2.4202486550087223,0.01615219935774803,0.00012665428221225739,0.00012665428221225739,False,False,,,0,False
v4_branch_36b62e21002f8b4b3e6a,1,20,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,20,5.092183710075915e-05,empty,g001_p000020_empty,41.0,11.0,24.0,dike_hemisphere,9,26.8135527137307,8.83083333877326,14.593664865254173,9.547355267092462,2.207708334693315,3.648416216313543,2.3868388167731154,0.01613573171198368,0.0001101866364479065,0.0001101866364479065,False,False,,,0,False
v4_branch_2d7dfb6f7f79b358c512,1,21,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,21,5.092183346278034e-05,empty,g001_p000021_empty,43.0,9.0,24.0,ellipsoid,9,9.754716005644607,11.38322522884514,12.452859355759104,8.62003188311849,2.845806307211285,3.113214838939776,2.1550079707796224,0.01626651920378208,0.00024097412824630737,0.00024097412824630737,False,False,,,0,False
v4_branch_fc500bdbee4e6efc52e3,1,22,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,22,4.951177106704563e-05,empty,g001_p000022_empty,24.0,10.0,37.0,dike_hemisphere,9,42.29182387871673,14.791958801713417,7.977049048275362,6.746485503804241,3.697989700428354,1.9942622620688406,1.6866213759510602,0.01629759557545185,0.00027205049991607666,0.00027205049991607666,False,False,,,0,False
v4_branch_e54e3c3a70c51406811f,1,23,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,23,4.9511738325236365e-05,empty,g001_p000023_empty,28.0,10.0,37.0,dike_hemisphere,9,23.292381158314683,10.856752556744603,6.598097727359938,12.708207846444289,2.7141881391861507,1.6495244318399844,3.177051961611072,0.01604675129055977,2.1206215023994446e-05,2.1206215023994446e-05,False,False,,,0,False
v4_branch_ed0f6920355e843ae2b2,1,24,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,24,4.95001622766722e-05,empty,g001_p000024_empty,10.0,9.0,15.0,ellipsoid,9,40.26032660370668,11.741582747159569,10.078518903673327,6.28822502196141,2.9353956867898923,2.519629725918332,1.5720562554903525,0.016223276033997536,0.00019773095846176147,0.00019773095846176147,False,False,,,0,False
v4_branch_54c44ef0adadaceae511,1,25,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,25,4.950015863869339e-05,empty,g001_p000025_empty,10.0,11.0,15.0,ellipsoid,9,178.12495936364968,14.91532222051059,14.519626252738883,8.875139759747581,3.7288305551276477,3.6299065631847207,2.2187849399368953,0.016274303197860718,0.00024875812232494354,0.00024875812232494354,False,False,,,0,False
v4_branch_94104babb1cde42db0ce,1,26,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,26,4.8025380237959325e-05,empty,g001_p000026_empty,42.0,8.0,24.0,dike_hemisphere,9,22.11910805932401,8.716482190765117,11.993909961376513,12.58190248816064,2.179120547691279,2.9984774903441282,3.14547562204016,0.016141271218657494,0.00011572614312171936,0.00011572614312171936,False,False,,,0,False
