branch_id,generation,evaluation_slot,probe_kind,transition,from_scale,scale,ranking_id,rank_index,canonical_center_score,lineage_parent_state_id,child_state_id,center_x,center_y,center_z,shape,material_label,orientation_deg,full_size_x,full_size_y,full_size_z,probe_size_x,probe_size_y,probe_size_z,hard_rmse,delta_rmse_vs_lineage_parent,delta_rmse_vs_empty,strictly_improves_lineage_parent,reallocated_existing_slot,displaced_scheduled_move,displaced_scheduled_parent_state_id,condition_violations,truth_used
v4_branch_2ca76622e9508fb89a1a,1,0,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,0,9.885829967970494e-06,empty,g001_p000000_empty,20.0,30.0,19.0,dike_hemisphere,9,105.06689500971473,11.130653605266843,13.26362719440826,10.740188329029966,2.782663401316711,3.315906798602065,2.6850470822574914,0.01655369997024536,0.000224357470870018,0.000224357470870018,False,False,,,0,False
v4_branch_8fe56fea84fe45f054ef,1,1,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,1,9.868009328783955e-06,empty,g001_p000001_empty,6.0,36.0,36.0,dike_hemisphere,9,35.82778729451044,9.362711293297336,15.281171323391032,13.709995396428752,2.340677823324334,3.820292830847758,3.427498849107188,0.016463471576571465,0.00013412907719612122,0.00013412907719612122,False,False,,,0,False
v4_branch_0e0ed775aea3da6a7f06,1,2,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,2,9.80021013674559e-06,empty,g001_p000002_empty,28.0,18.0,20.0,dike_hemisphere,9,49.01488072582643,6.2415666988930445,11.77849865016452,6.968794592868026,1.5603916747232611,2.94462466254113,1.7421986482170064,0.01636185310781002,3.2510608434677124e-05,3.2510608434677124e-05,False,False,,,0,False
v4_branch_cf4cc9fbdc4c386c89ce,1,3,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,3,9.525522727926727e-06,empty,g001_p000003_empty,56.0,39.0,37.0,ellipsoid,9,55.36908702751661,9.230824813544787,6.934960563263923,10.982392530275137,2.307706203386197,1.7337401408159807,2.745598132568784,0.016412053257226944,8.271075785160065e-05,8.271075785160065e-05,False,False,,,0,False
v4_branch_46673fa98b261b49b700,1,4,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,4,9.284149200539105e-06,empty,g001_p000004_empty,37.0,47.0,21.0,dike_hemisphere,9,70.1575404132806,7.149146866812255,10.362288145253302,12.811821660156152,1.7872867167030637,2.5905720363133256,3.202955415039038,0.01638602837920189,5.6685879826545715e-05,5.6685879826545715e-05,False,False,,,0,False
v4_branch_c6ece00a9d51ff14b1fc,1,5,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,5,9.152731763606425e-06,empty,g001_p000005_empty,13.0,29.0,37.0,dike_hemisphere,9,14.96825065390393,7.0358743255990435,13.01048856687095,13.748950923758187,1.7589685813997609,3.2526221417177377,3.4372377309395468,0.01638602837920189,5.6685879826545715e-05,5.6685879826545715e-05,False,False,,,0,False
v4_branch_80b00bc1821da37fffee,1,6,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,6,8.958597391028889e-06,empty,g001_p000006_empty,30.0,39.0,37.0,dike_hemisphere,9,87.60234051138478,12.873879228621735,13.892721441198542,11.103416575824955,3.218469807155434,3.4731803602996356,2.7758541439562388,0.016502056270837784,0.0001727137714624405,0.0001727137714624405,False,False,,,0,False
v4_branch_5493ebf08d6f9b570fd0,1,7,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,7,8.703160347067751e-06,empty,g001_p000007_empty,19.0,41.0,36.0,ellipsoid,9,48.42125882648074,15.162418769794593,9.93638631247521,10.15382794628593,3.7906046924486483,2.4840965781188027,2.5384569865714823,0.01654105819761753,0.0002117156982421875,0.0002117156982421875,False,False,,,0,False
v4_branch_62340eff87bf01a828a6,1,8,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,8,8.651571988593787e-06,empty,g001_p000008_empty,53.0,38.0,37.0,ellipsoid,9,57.00647101209065,8.200017659354108,12.237932925006314,7.288676725363943,2.050004414838527,3.0594832312515785,1.8221691813409857,0.01655556820333004,0.00022622570395469666,0.00022622570395469666,False,False,,,0,False
v4_branch_cd58b9a0fc2a27d387a2,1,9,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,9,8.604181857663207e-06,empty,g001_p000009_empty,53.0,39.0,37.0,dike_hemisphere,9,149.53207676896727,12.14389253980212,8.65579442964648,7.0254230294058955,3.03597313495053,2.16394860741162,1.7563557573514739,0.016491249203681946,0.00016190670430660248,0.00016190670430660248,False,False,,,0,False
v4_branch_66609199286c66d83a74,1,10,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,10,8.388719834329095e-06,empty,g001_p000010_empty,32.0,57.0,36.0,dike_hemisphere,9,126.25815346725797,7.42690749400205,10.353785693722177,6.45070448275783,1.8567268735005125,2.588446423430544,1.6126761206894575,0.01636185310781002,3.2510608434677124e-05,3.2510608434677124e-05,False,False,,,0,False
v4_branch_1c246017e424df3f2245,1,11,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,11,8.269797035609372e-06,empty,g001_p000011_empty,23.0,9.0,38.0,ellipsoid,9,124.8126669428701,8.968107635794954,8.204825298086925,9.035861568674108,2.2420269089487386,2.0512063245217314,2.258965392168527,0.016481557860970497,0.0001522153615951538,0.0001522153615951538,False,False,,,0,False
v4_branch_03b5248b40b72b84dac6,1,12,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,12,8.199151125154458e-06,empty,g001_p000012_empty,8.0,38.0,39.0,ellipsoid,9,86.79557662119535,10.356060506329875,15.467926449083457,8.725499684395878,2.589015126582469,3.8669816122708642,2.1813749210989695,0.016583099961280823,0.00025375746190547943,0.00025375746190547943,False,False,,,0,False
v4_branch_d4bc4316a1148376c806,1,13,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,13,8.17068666947307e-06,empty,g001_p000013_empty,55.0,38.0,35.0,ellipsoid,9,73.75850051602781,10.884137235601543,11.961049378313037,7.76819714217686,2.7210343089003857,2.9902623445782592,1.942049285544215,0.01655556634068489,0.00022622384130954742,0.00022622384130954742,False,False,,,0,False
v4_branch_40f05bf83cefbbcf4e2e,1,14,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,14,8.148169399646576e-06,empty,g001_p000014_empty,12.0,32.0,21.0,dike_hemisphere,9,93.55253140655259,15.811950456976675,9.720428118243081,12.041065112878798,3.9529876142441687,2.4301070295607703,3.0102662782196994,0.01648613065481186,0.0001567881554365158,0.0001567881554365158,False,False,,,0,False
