sample_id,class_id,truth_present,truth_volume,predicted_volume,volume_error,absolute_volume_error_fraction,iou,precision,recall,candidate_id,retrospective_only,used_for_ranking
0,0,True,227549,212355,-15194,0.06677243143235083,0.9266318629340248,0.9963316145134327,0.9298041300994511,candidate_000000,True,False
0,9,True,1827,15258,13431,7.351395730706075,0.062169723344731115,0.06553938917289291,0.5473453749315819,candidate_000000,True,False
1,0,True,227549,211864,-15685,0.068930208438622,0.9240011384285308,0.996054072423819,0.9273958575955069,candidate_000001,True,False
1,9,True,1827,16362,14535,7.955665024630542,0.056026474686483974,0.058978120034225645,0.5281882868089764,candidate_000001,True,False
2,0,True,227549,209610,-17939,0.07883576724134142,0.9139307120122236,0.9958971423119126,0.9173848270042936,candidate_000002,True,False
2,9,True,1827,18510,16683,9.13136288998358,0.049868359919467246,0.05218800648298217,0.5287356321839081,candidate_000002,True,False
3,0,True,227549,212069,-15480,0.06802930357856989,0.9247049140135196,0.9959494315529379,0.928195685324919,candidate_000003,True,False
3,9,True,1827,15779,13952,7.6365626710454295,0.05818006971991826,0.061347360415742444,0.5298303229337712,candidate_000003,True,False
4,0,True,227549,213690,-13859,0.06090556319737727,0.9318103210497052,0.9959848378492209,0.9353238203639656,candidate_000004,True,False
4,9,True,1827,13827,12000,6.568144499178982,0.06584053925240008,0.06993563318145657,0.5292829775588396,candidate_000004,True,False
5,0,True,227549,211363,-16186,0.07113193202343232,0.9217401584111597,0.9960068696981024,0.9251589767478653,candidate_000005,True,False
5,9,True,1827,16533,14706,8.049261083743842,0.05656902802555101,0.059456843887981614,0.5380405035577449,candidate_000005,True,False
6,0,True,227549,210602,-16947,0.07447626665025994,0.9181562277003629,0.9958499919279019,0.9216828023854203,candidate_000006,True,False
6,9,True,1827,16578,14751,8.073891625615763,0.05460692184276874,0.057485824586801786,0.5216201423097975,candidate_000006,True,False
7,0,True,227549,209914,-17635,0.07749979125375193,0.916352358298398,0.9965223853578132,0.9192921085128918,candidate_000007,True,False
7,9,True,1827,17816,15989,8.751505199781063,0.05852239047259794,0.060956443646160756,0.5944170771756979,candidate_000007,True,False
