candidate_id,candidate_index,source_seed,source_noise_sha256,hard_model_sha256,predicted_observation_sha256,condition_violations,global_accuracy,truth_present_mean_iou,label9_iou,label9_precision,label9_recall,label9_truth_voxels,label9_predicted_voxels,label9_absolute_volume_error_fraction,label9_centroid_distance_voxels,major_component_min_recall,major_component_mean_recall,body_recall,body_precision,matched_body_count,matched_body_center_error_mean,matched_body_relative_size_error_mean,target_tiny_component_mass_le_5,target_tiny_component_mass_fraction_le_5,target_top4_component_mass_fraction,target_top8_component_mass_fraction,target_components_ge_5,target_components_ge_10,target_components_ge_20,target_components_ge_100,target_component_1_voxels,target_component_2_voxels,target_component_3_voxels,target_component_4_voxels,target_component_5_voxels,target_component_6_voxels,target_component_7_voxels,target_component_8_voxels,retrospective_only,used_for_ranking,support_pass,support_conditions_exact,support_label9_iou,support_label9_precision,support_label9_recall,support_major_component_min_recall,support_major_component_mean_recall
candidate_000000,0,9301000,4264a2790c9b34136905ad31038e8f1f38d741ac3a91e1aa02e36801e4251371,7e4144067dbe9dc24e6b4621483af1f45d2c037a5523aefe17ddd90230033da4,91f52f6c6058d19baebcb8764a8cf9864aeeb19e1f08e731e1d3f3534a9ff18b,0,0.9359130859375,0.4944007992744446,0.062169723344731115,0.06553938917289291,0.5473453749315819,1827,15258,7.351395730706075,4.237713813781738,0.0,0.478559825321767,0.6,0.2,3,4.350432680498418,7.932703119224954,66,0.004325599685410932,0.8915323109188622,0.9753571896709923,24,20,15,7,5440,4820,2531,812,685,256,243,95,True,False,False,True,False,False,True,False,True
candidate_000001,1,9301001,20b5a2f01456446706846c2083854baa3267598ffbc8c2ad226d7c438440979a,8ceac6e99fb0af82949bb82c110f50f6ebaf09cfd2db89e745e7c27a9db8b06b,54fbbd4d8c7cfb6f3cb7782663e9d93593b6a82ec27902f56b3b1f11d20428f1,0,0.9336891174316406,0.49001380801200867,0.056026474686483974,0.058978120034225645,0.5281882868089764,1827,16362,7.955665024630542,6.1187028884887695,0.0,0.48409171652690763,0.2,0.2,1,26.941208695044033,27.226872246696036,37,0.0022613372448355945,0.993949394939494,0.9970052560811636,10,6,5,2,12842,3317,80,24,23,12,9,6,True,False,False,True,False,False,True,False,True
candidate_000002,2,9301002,5e3c888815cf65e75d8ba6cfd2bbeaceda46a9e61195a6bd2b705236edc32ca2,19a9c1e5a6ffcebda274d97ae4cc69127e885d0366fd95eaf54a38231eda4e35,2c7dfad17cbca93c80f418140f796f9681fa56daaafdd8ec44efa6ae42ed7fa0,0,0.9250030517578125,0.48189952969551086,0.049868359919467246,0.05218800648298217,0.5287356321839081,1827,18510,9.13136288998358,2.8997230529785156,0.0,0.47845953002610964,0.2,0.2,1,23.107956545148998,38.98898678414097,59,0.003187466234467855,0.9901674770394382,0.9939492166396542,16,10,5,1,18182,81,36,29,20,19,16,15,True,False,False,True,False,False,True,False,True
candidate_000003,3,9301003,ded5c10b9acbf3ff0cb03d2289ba1a15ad6844dfe5b4eeb972a6f3d7dbd93ffe,c710bdd1fb7f6a0f7198989355648acb043a3078824208d158a227657a26ab20,5f53c689b02721c162bf616be4a862d6203213c7a6ea2922b2f107384f155d8b,0,0.9343948364257812,0.4914425015449524,0.05818006971991826,0.061347360415742444,0.5298303229337712,1827,15779,7.6365626710454295,8.945930480957031,0.0,0.44817161462976274,0.4,0.5,2,26.02481846753387,17.196206292237335,22,0.0013942581912668736,0.9944229672349325,0.9986057418087331,8,8,4,4,10208,5126,187,170,19,17,16,14,True,False,False,True,False,False,True,False,True
candidate_000004,4,9301004,9be9312b02811e6499113d2b82972908e52677d0cb2934b460999cd6d5dbaf2d,b0774c89d36f4c97169d8fbb10b787bcaba56e09b96d3239f9eceb7603ce3361,b2fa862e030c4b7c416e4188c87495c42034913e6a3d8a48138ce5b785aaf295,0,0.9405784606933594,0.49882543087005615,0.06584053925240008,0.06993563318145657,0.5292829775588396,1827,13827,6.568144499178982,10.326451301574707,0.01907356948228883,0.48108781830264374,0.8,0.5,4,6.811867045924739,7.911083841836493,34,0.0024589571128950604,0.9640558327909163,0.9938526072177624,13,10,8,5,10146,2652,306,226,217,95,62,38,True,False,False,True,False,False,True,False,True
candidate_000005,5,9301005,761eaaf3dc975c43acb0659be1066178c35942b1c3e61b2249dc1066b305d206,683dae496e3c013fb6653c78d97a1ebe124b83898ab608c748ed2fef9f72012b,403a0c8c97ef3079bf1e0828421f80bb07a584b52556e7b33e2edf6c0bfa1b2a,0,0.9318161010742188,0.4891546070575714,0.05656902802555101,0.059456843887981614,0.5380405035577449,1827,16533,8.049261083743842,6.907700061798096,0.0,0.4643268758759542,0.2,0.5,1,26.1158337940336,34.779735682819386,82,0.0049597774148672355,0.9910482066170689,0.993407125143652,14,6,2,1,16271,78,19,17,13,11,8,7,True,False,False,True,False,False,True,False,True
candidate_000006,6,9301006,4615bba8c95fa908acc0d53e2eeb11a92b28209809d15719636ccea1e24e45e0,f17a22af483b00050400b5b8404b53ffee0f90d070b2ea009ef9e4b3c9dee922,a4b6af90b5c346689f0ffea8a6873be7a2746f204e2ded711cd94b146638dc18,0,0.9286842346191406,0.48638156056404114,0.05460692184276874,0.057485824586801786,0.5216201423097975,1827,16578,8.073891625615763,5.7748894691467285,0.0,0.4386422976501305,0.4,0.2857142857142857,2,8.666729899487812,16.80160816635877,63,0.003800217155266015,0.9657377246953794,0.9945107974423936,11,10,7,5,10388,3517,1187,918,296,84,80,17,True,False,False,True,False,False,True,False,True
candidate_000007,7,9301007,c7bceb5f10c80bc27350f45692cf855721e071edd1a8d0f77ef6bd5388bff516,fdb7eecf09f47456860ec087d49c9b79f93680567ff0b5cdaa73a3866beccb64,a68dcf6bd1969e3565d61967f1df791642d4bd1d1739cf8804574075783c07c8,0,0.9271163940429688,0.48743736743927,0.05852239047259794,0.060956443646160756,0.5944170771756979,1827,17816,8.751505199781063,1.8818989992141724,0.0,0.5368984823741544,0.2,0.14285714285714285,1,21.941499319852987,34.563876651982376,42,0.0023574315222272117,0.9787831162999551,0.9924786708576561,19,13,7,5,16173,691,396,178,175,33,23,13,True,False,False,True,False,False,True,False,True
candidate_000008,8,9301008,12cc853a8d1fc8b0641b1fb691567bc8cd2e64b79f036571819459a7dca402c0,7980b356ffeab0b8a32c36e862ed201d43ca8b3c7380131abb15072166625eb8,4e5e6acea72e64fc1eb0e594d1bfa8f6af5e15ca3cb6181ce4c608300b36fa13,0,0.9079055786132812,0.4739038348197937,0.05361131794489948,0.055065682922440164,0.6699507389162561,1827,22228,11.166392993979201,7.875170707702637,0.15803814713896458,0.6047244975544829,0.2,0.16666666666666666,1,29.87483311021626,46.84581497797357,50,0.0022494151520604643,0.9912272809069642,0.9951862515745906,16,9,6,2,21749,135,83,66,31,27,17,13,True,False,False,True,False,False,True,False,True
candidate_000009,9,9301009,71f7b0daba31b6b1da0e6b8ddd060e468a9f2ab18d125c5b67fc7ee125ae76a1,b4a34d5048f255c3068452a7357c1e90151c32b664a213220c6177797c13a4f6,7f080c12abe30a3f09d7ab0b04aebdb80826afc27ed4c87ee3534f9162dbe40a,0,0.9253387451171875,0.4859788417816162,0.057510897143972416,0.06126975325755475,0.4838533114395183,1827,14428,6.897099069512863,6.5651702880859375,0.0,0.45392510231639976,0.4,0.18181818181818182,2,11.202453989271177,11.270745057556805,83,0.005752703077349598,0.9635431106182423,0.9827418907679512,20,15,11,5,10293,1711,1534,364,109,68,51,49,True,False,False,True,False,False,True,False,True
candidate_000010,10,9301010,7348eb7f789a82c9bed3c6ea3db5486c70933cef992d789d741d0b256cba98c7,371f3d32660578bee97829fbd1324247a73a36a08d3da161b3d3cb15265bd146,19ca371ecf961d6c831b44cd67c16f6937daaf62eb8fa607779ab50aba1173b1,0,0.9134788513183594,0.4764317274093628,0.052212348634835856,0.05393322553029582,0.6206896551724138,1827,21026,10.50848385331144,5.089312553405762,0.0,0.5511444321468817,0.2,0.125,1,23.878319438830456,43.93392070484582,69,0.003281651288880434,0.9865880338628364,0.9922476933320651,17,13,8,3,20427,136,100,81,41,28,27,23,True,False,False,True,False,False,True,False,True
candidate_000011,11,9301011,4600df46f3408c764d893a230eed267a1aa3c1b9b5b55c753b471532549a3fbe,dbb64c224bd3ffa61b48127f1a043b1629eafab1d01aa6d18d1b4e80cf338efb,9207ab09c51ce77aa20914d41db7cb76df7a0f2fef516559b2857ac0dd72f71b,0,0.9568023681640625,0.5201886296272278,0.08992202151811272,0.09886055344546935,0.49863163656267107,1827,9215,4.043787629994527,5.237778663635254,0.0,0.44004375908491217,0.2,0.16666666666666666,1,16.943241835639743,17.044052863436125,45,0.0048833423765599565,0.9746066196418882,0.9904503526858383,12,10,6,4,8219,399,222,141,68,40,19,19,True,False,False,True,False,False,True,False,True
candidate_000012,12,9301012,55bfa0d7e4d26f5087a8f3d0025c7e7deee986dccc5203741d294a331816ceeb,239b91bc3fed797930253ac9736ee5a8019f99a9372f3b45b2e2ee46a945ab01,774dcf726cfa9a3a1e0379c41cf220927f000eed598f3f5a09378e7c476005ca,0,0.9366340637207031,0.49520957469940186,0.06285025182662977,0.06734569778048038,0.4849480021893815,1827,13156,6.200875752599891,7.0487284660339355,0.0,0.4298183115136149,0.2,0.1111111111111111,1,18.16094381514497,20.448924731182796,65,0.004940711462450593,0.9787169352386744,0.9907266646397082,17,9,9,4,8006,3023,1732,115,51,51,30,26,True,False,False,True,False,False,True,False,True
candidate_000013,13,9301013,22f55e5ac4d328de3a7033680ebd60717eb29cf885043104f1fa4eadd9044791,e95b8da430964d83ac0d6a55892253e421a143ad11f1cd776524d0d1d626763c,ce5d32328d5b65ba718448aaca7fbdd585ec5aa95e88012bd46526b38f171549,0,0.9270248413085938,0.4844430685043335,0.05262595501415825,0.05510489510489511,0.5391351943076081,1827,17875,8.783798576902026,7.611870288848877,0.0,0.5132756553647533,0.2,0.16666666666666666,1,28.166334692763822,35.008810572687224,52,0.002909090909090909,0.9856783216783217,0.9936783216783217,14,12,6,4,16375,808,290,146,63,47,17,16,True,False,False,True,False,False,True,False,True
candidate_000014,14,9301014,6c18b38ec4acdafd57348d94f49ba53df96dce08b426f9cac680b761d1602c25,7f490e898ce51fd157a52e50c0a6672d3c00f676379c013206e593d431805d83,9dd5f823eae3d3f4f741125158d9cb53ad4cae55567f7bf5be0e1dd4119e39a2,0,0.933135986328125,0.49269556999206543,0.062110525234540845,0.06628663304830812,0.4964422550629447,1827,13683,6.489326765188834,8.742191314697266,0.0,0.4450949929227594,0.6,0.21428571428571427,3,4.308891468298821,6.743833614161879,65,0.004750420229481839,0.9062340130088431,0.9664547248410437,26,19,14,8,5437,3199,3049,715,347,228,132,117,True,False,False,True,False,False,True,False,True
candidate_000015,15,9301015,bd43bb91455a5007a4a93eb23857929101139d3a1c84e243712f901c4f1cf540,efb410fb4d4b42037c08dcb8adcff476c1526c02e5cd376d5490f6a6e5526e22,b95df37dfd5dc70a30bc6ea83b1498e6992528dedd17655521ecd3157458d157,0,0.9187965393066406,0.4776403605937958,0.048439852551788586,0.05079762617738335,0.5106732348111659,1827,18367,9.053092501368363,5.994175434112549,0.0,0.5153056343507687,0.2,0.16666666666666666,1,23.520742200134855,37.6431718061674,61,0.0033211738443948385,0.9895464692110851,0.9934120977840692,16,11,6,2,17571,456,85,63,21,20,17,13,True,False,False,True,False,False,True,False,True
candidate_000016,16,9301016,9fa35ff9522646ab3560c8334ba7ab059b8c2ed0129a5f2e0e33ae2cfa3853eb,47ae790d9e78022aff8283736e4c32e933089fe10a82285c5a364f07b381c2b3,7be45b30a742d3d120c198a34f1bcf8647cc4898369d38479a4af02774e39e4c,0,0.9233856201171875,0.49122145771980286,0.0704537501458066,0.07309251527802989,0.6611932129173509,1827,16527,8.045977011494253,4.293943405151367,0.05994550408719346,0.6050597085271916,0.2,0.25,1,24.646294504148127,33.140969162995596,99,0.005990197858050463,0.9874145337931869,0.9909239426393175,18,8,4,3,15527,549,205,38,18,15,13,12,True,False,False,True,False,False,True,False,True
candidate_000017,17,9301017,db56522a0c202e1948fc3b33f519da34b312b228384ba7a80ecf8e899cb9c3e4,e853d37091255ceb65c0b089b238fe390e70ea0453c5d8a73a7cec838b35ae8f,7c448fff60d8fb8b0fb1b05ee75813decd77681660daefaf491aa8d03aa6efd7,0,0.9057426452636719,0.47137778997421265,0.05095159598381538,0.05309181761399125,0.5582922824302134,1827,19212,9.51559934318555,5.340176582336426,0.0,0.4764435033186901,0.2,0.14285714285714285,1,23.92346456994809,31.718061674008812,138,0.007183010618363523,0.9811576098271914,0.9877160108265667,23,13,7,4,14881,3170,682,117,58,25,24,19,True,False,False,True,False,False,True,False,True
candidate_000018,18,9301018,39fb14ce2aff207ed0358b263fc7a957b58b25064b803e2bdea06f2804eb8944,399e9088d3629dbc600afcb6586d546e3ecb223760235233bda7f7ac2f7862f3,9365948ff17b3816c2a663c6d4cfad1916e66c850acef5bab632e1c8ee681d06,0,0.9210319519042969,0.4778464138507843,0.04614169675090253,0.04892637119444943,0.44772851669403396,1827,16719,8.151067323481117,7.595742225646973,0.0,0.43351263310919963,0.2,0.125,1,22.996821017081306,26.905286343612335,87,0.005203660506011125,0.9835516478258269,0.9898319277468748,17,12,8,3,12696,3554,128,66,34,30,21,20,True,False,False,True,False,False,True,False,True
candidate_000019,19,9301019,79205f404201b8e99fe21950ff0a530e453a0d475beb209d43c9a298bb04f13e,b378823de3259d091eab36cb9be9ead69de70bdbce04444af46e4d00e4023081,00ca721d13aceafcb9cec7bac3b7223f2ba245bf6a7c275fc26dd296c5fac00f,0,0.94329833984375,0.49782535433769226,0.060178986681699666,0.06460886669692843,0.4674329501915709,1827,13218,6.234811165845649,4.950510025024414,0.0,0.3859263970669839,0.4,0.2222222222222222,2,16.062885881887734,23.623358506398155,81,0.006128007262823422,0.9741261915569678,0.983356029656529,23,14,9,3,8381,4287,119,89,37,36,27,22,True,False,False,True,False,False,True,False,False
candidate_000020,20,9301020,72f41b9e661435ae037b8fc89c356471e607c72569d99fc8b1cb8dbb70a153ec,9e5bffb4e69cb385f6056d603cc5a5e1fd6565ec2f34f67cf3717f5766bfecf8,93f342db3394d07f1cf5be19264c6376815ed9cd02e444702c57b3e51e69ad0d,0,0.9281692504882812,0.4867761731147766,0.05588469864418366,0.058714388316973905,0.5369458128078818,1827,16708,8.14504652435687,8.309496879577637,0.0,0.529631997010191,0.6,0.375,3,7.824569415434039,12.904629046919794,66,0.003950203495331578,0.9839597797462294,0.9893464208762269,22,13,8,3,10365,5753,265,57,23,23,23,21,True,False,False,True,False,False,True,False,True
candidate_000021,21,9301021,5b8ad14e8e23902581e67f3d9796edf3526ee0f6a3b1ad8be9ab0146d9f832c0,225e92f5839282eb259ce640030b5dd2637b37b39b41ed1603614c64288b60d6,b66f14299ba0beac7ae6f4e86ce3301558ad4a82629415f8f7822e5f3bd8702a,0,0.9226875305175781,0.4868711233139038,0.06250989916055119,0.06470652530331183,0.6480569239189928,1827,18298,9.015325670498084,8.340916633605957,0.02997275204359673,0.6616532861637114,0.6,0.375,3,11.123644914181519,12.811879273048804,59,0.003224396108864357,0.9487375669472073,0.9896163515138267,20,16,8,7,11356,4294,969,741,322,236,127,63,True,False,False,True,False,False,True,False,True
candidate_000022,22,9301022,09148c9ea370173d59de0212c5996e59129276c8a8538e8342891669541dbb80,30e1a92ab2b459ee57df5e5e56f4e2d488ac5f8183ef717e20ba272d40cc763e,5a6b90e0084ac44454b0676bbbe3258fbb3636e29db6b90db3f43f36a98b46b1,0,0.9314498901367188,0.4947526156902313,0.06819626287021736,0.07162883845126836,0.5873015873015873,1827,14980,7.199233716475096,6.3813557624816895,0.05994550408719346,0.5137149769872611,0.8,0.36363636363636365,4,6.237377468019163,8.267426499868911,81,0.005407209612817089,0.9508010680907877,0.9833110814419226,23,15,11,5,8065,3290,2508,380,328,72,48,39,True,False,False,True,False,False,True,False,True
candidate_000023,23,9301023,b3b631480630a5f04cd29215e039f399c328e66ffd62d1fdb8256856b443430b,5508ea0b339748aef27f0f9856773e32701d29f789b17c41f5a7b6556a4facab,be9b61d64c5d800e701fd4e6fdb7f865c4a6dad484e672aac36ad0a8f733e0d0,0,0.8618888854980469,0.4376366436481476,0.03324117129571447,0.0340642003928008,0.5790914066776136,1827,31059,16.0,6.5582051277160645,0.0,0.5344195543304466,0.2,0.3333333333333333,1,26.798033187013125,66.74449339207048,59,0.0018996104188801959,0.9971988795518207,0.9981003895811198,10,4,3,2,30783,155,24,10,9,7,6,6,True,False,False,True,False,False,True,False,True
candidate_000024,24,9301024,8d42b926ddfcfd7856c2433b1b4f98d887348491539bc3a6eef6dbe691a87052,a8377419895a078485cd912876876b236ee8aad1e3bb46c56589ecb30371f560,dc6952dfa2498180cfa7415792bd703fc5911189727a311263f57c5ab95fbf7a,0,0.9374046325683594,0.4903987646102905,0.052531599327829324,0.05715875665792193,0.3935413245758073,1827,12579,5.885057471264368,5.977492809295654,0.008174386920980926,0.31834977798723596,0.2,0.16666666666666666,1,26.224823353967047,22.273127753303964,72,0.005723825423324589,0.978058669210589,0.9852929485650688,22,12,6,3,10593,1449,220,41,34,22,19,16,True,False,False,True,False,False,True,False,False
candidate_000025,25,9301025,48904b3a7785ee8e057f9804f61d25c1dbfafb835ea99de5223f9790e3958de6,fa2bdbb534aea2be0a146be7ecfea8bb39525c77b773bfe092a89c5bc7c886f1,b777aa9357bae0ae4287fe5b48e60d3c27c1cca833d9eaa98c263299158fa7f6,0,0.9222030639648438,0.47932168841362,0.047673810768426556,0.05006862475981334,0.49917898193760263,1827,18215,8.969896004378763,9.593537330627441,0.0,0.5035091756585456,0.6,0.3,3,11.426634105485684,13.732572416521968,110,0.0060389788635739775,0.9674444139445512,0.9821575624485315,26,19,10,5,10728,6136,588,170,104,75,57,32,True,False,False,True,False,False,True,False,True
candidate_000026,26,9301026,047c0df3098548b752dcbddb113e18f1b888412a496394f13b27fb16c2b1987d,a6f6509418a0c4a51861968cec2a0d74ac088679765fd97c3bf519b122448b82,bdf06f1a65c0f57a075fc712ab05bf3284c92903e48f466d3350d8a9b5293da3,0,0.92333984375,0.489346981048584,0.06675049201836869,0.06903765690376569,0.6683087027914614,1827,17686,8.680350301039956,3.236823558807373,0.0654911838790932,0.6097187239031395,0.6,0.25,3,11.67030693617661,14.17326839314192,48,0.0027140110822119192,0.9715028836367748,0.9869388216668551,20,15,12,5,9049,5888,2067,178,114,62,50,47,True,False,False,True,False,False,True,False,True
candidate_000027,27,9301027,6b57082d7aedb237239f35f05a146adb9b5cdbb9471f53cd4fb986230c69fa60,f9699d177e729de7de530939b327aea9f1aa3cd01ee9057ef8e3e0e14b5b2699,41f25870917c4a2c73a483901f3a15cf03b01131acf8d28f7c55a6552b114de6,0,0.9139556884765625,0.47462761402130127,0.047704812043964165,0.04952061361457335,0.565407772304324,1827,20860,10.417624521072797,7.764777183532715,0.0653950953678474,0.4857446034752867,0.4,0.18181818181818182,2,15.832355374397551,20.17036274592181,56,0.0026845637583892616,0.9556567593480345,0.9874400767018217,21,14,11,8,18766,578,343,248,226,200,128,109,True,False,False,True,False,False,True,False,True
candidate_000028,28,9301028,91ef1ca0dfa7a1ee9afa72bfa5bd0207e475e59473786fb481ac251a63714e0a,f3057cc6912a38175c37a156b3dc8c1a4758498d9175230c04d4ccd602efc728,bc8fd948a2fb3a4742538e7239656d3909688d2c120e9c8501a4aa28d0594fa3,0,0.9689788818359375,0.5358245372772217,0.10703324808184143,0.12254758418740849,0.458128078817734,1827,6830,2.738368910782704,8.070211410522461,0.0,0.4180667784751393,0.4,0.4,2,7.994005958660411,6.248496044716025,60,0.008784773060029283,0.9695461200585651,0.98199121522694,16,12,5,3,4223,1958,380,61,36,19,17,13,True,False,False,True,False,False,True,False,True
candidate_000029,29,9301029,fba3c3155b573bd7a00a5de435463533cdc45cf2c56a1cb676f5dd36d01790cb,b78ec1b7540b83919e6ef6f818d6f483b9a3a6a9872abef4d50030bdc64233aa,a9beb57c5ffffd718de88f17fae94175e46b4bd216d65ea7d481380eaad1ecda,0,0.9344100952148438,0.49068132042884827,0.05664412461707416,0.05955998541388112,0.5363984674329502,1827,16454,8.006020799124247,4.1885199546813965,0.0,0.49687636066976676,0.2,0.16666666666666666,1,22.991842866786385,34.01101321585903,61,0.0037073052145374986,0.9898504922815121,0.9936185729913699,15,8,6,2,15922,177,95,93,21,20,11,10,True,False,False,True,False,False,True,False,True
candidate_000030,30,9301030,c74a79dda77080e4356614d1e28586a466757012f6a3dde70e7558c87229fc0b,8d145e633686d0b6891ae4012c61e697627ebfc99a91f235b8482bfd54f68388,e24d3ed66a12fef36000a10438baa37fe74c68157835abc1144371881a359761,0,0.9034042358398438,0.46600010991096497,0.04280776389258176,0.04450587422252937,0.5287356321839081,1827,21705,10.880131362889983,9.944709777832031,0.0,0.44666177710380317,0.2,0.3333333333333333,1,32.311642443132875,46.24008810572687,71,0.003271135683022345,0.9926284266298088,0.9950702603086846,14,8,3,1,21474,32,22,17,15,13,13,12,True,False,False,True,False,False,True,False,True
candidate_000031,31,9301031,40419b7389cd4a5549efb2598d52d5e47dbbd6b1d002ff62639e1106b37a64db,2a1114b1043735fdb47136d6c7cc8baa8d0d30fa14da183c2724670deb989b71,af59bbca6928d52e68a4164a28d51b49bab0b0a3304eda82b339f20f987d56cd,0,0.9372711181640625,0.492982417345047,0.05790116316432106,0.061564742056713355,0.4931581828133552,1827,14635,7.0103995621237,7.543330192565918,0.0,0.41632027495867646,0.2,0.3333333333333333,1,20.916151302951135,29.801762114537446,46,0.003143149982917663,0.9947386402459857,0.9968568500170824,9,5,3,3,14011,350,184,13,12,7,6,6,True,False,False,True,False,False,True,False,True
candidate_000032,32,9301032,d956c32e2b90e0c715e48202a974278e080c48ceed19bc5970465cf66d069ad8,6c64f0375f8ffd5025736754b7be5689b473fa64b53c2d3f6f540f839164adf4,ce31029abe6b173f9129593137dfed2f26b0b333d985573d585f10628e420c67,0,0.952178955078125,0.5116578340530396,0.07820522948100166,0.0837421756048046,0.541871921182266,1827,11822,5.4707170224411605,5.8032636642456055,0.0,0.4902088772845953,0.2,0.14285714285714285,1,15.212189423288251,22.169603524229075,48,0.004060226695990526,0.9770766367788868,0.9886652004736931,17,13,7,3,10546,536,415,54,45,40,33,19,True,False,False,True,False,False,True,False,True
