observation,metric,spearman_rho,desired_direction
correct,global_accuracy,-0.9237707665673919,negative
correct,truth_present_mean_iou,-0.8684913917925282,negative
correct,label9_iou,-0.6482732331162415,negative
correct,label9_recall,0.4134147164316601,negative
correct,major_component_mean_recall,0.3879033330611168,negative
zero,global_accuracy,-0.9230968776151683,negative
zero,truth_present_mean_iou,-0.8638049869896395,negative
zero,label9_iou,-0.6396686257232713,negative
zero,label9_recall,0.4230592542704829,negative
zero,major_component_mean_recall,0.397976043374647,negative
shuffled_xy,global_accuracy,-0.9234068940163433,negative
shuffled_xy,truth_present_mean_iou,-0.8642379829335235,negative
shuffled_xy,label9_iou,-0.6402821127780558,negative
shuffled_xy,label9_recall,0.42237138351995773,negative
shuffled_xy,major_component_mean_recall,0.3972614731600028,negative
wrong_case,global_accuracy,-0.923504124194009,negative
wrong_case,truth_present_mean_iou,-0.8674287697781183,negative
wrong_case,label9_iou,-0.6464984063192903,negative
wrong_case,label9_recall,0.41482501036199193,negative
wrong_case,major_component_mean_recall,0.39036585365853654,negative
