observation,metric,subset,fraction,count,mean,full_mean,enrichment
correct,label9_iou,full,1.0,1024,0.07150713441726092,0.07150713441726092,0.0
correct,label9_iou,top_10pct,0.1,103,0.09152912907706638,0.07150713441726092,0.02002199465980546
correct,label9_iou,top_5pct,0.05,52,0.09566540514803995,0.07150713441726092,0.02415827073077903
correct,label9_iou,top_1pct,0.01,11,0.1088821707683183,0.07150713441726092,0.03737503635105738
correct,label9_recall,full,1.0,1024,0.4888143512434285,0.4888143512434285,0.0
correct,label9_recall,top_10pct,0.1,103,0.42954000290516203,0.4888143512434285,-0.05927434833826645
correct,label9_recall,top_5pct,0.05,52,0.41647485147282964,0.4888143512434285,-0.07233949977059884
correct,label9_recall,top_1pct,0.01,11,0.41557916406278717,0.4888143512434285,-0.07323518718064131
correct,major_component_mean_recall,full,1.0,1024,0.4122618684692826,0.4122618684692826,0.0
correct,major_component_mean_recall,top_10pct,0.1,103,0.3547046623541086,0.4122618684692826,-0.05755720611517401
correct,major_component_mean_recall,top_5pct,0.05,52,0.3433487170216247,0.4122618684692826,-0.06891315144765786
correct,major_component_mean_recall,top_1pct,0.01,11,0.3378717380250404,0.4122618684692826,-0.0743901304442422
zero,label9_iou,full,1.0,1024,0.07150713441726092,0.07150713441726092,0.0
zero,label9_iou,top_10pct,0.1,103,0.0910131611085984,0.07150713441726092,0.019506026691337483
zero,label9_iou,top_5pct,0.05,52,0.09510693817119312,0.07150713441726092,0.023599803753932197
zero,label9_iou,top_1pct,0.01,11,0.10590571348590655,0.07150713441726092,0.03439857906864563
zero,label9_recall,full,1.0,1024,0.4888143512434285,0.4888143512434285,0.0
zero,label9_recall,top_10pct,0.1,103,0.42677617295922154,0.4888143512434285,-0.062038178284206935
zero,label9_recall,top_5pct,0.05,52,0.4158916295996765,0.4888143512434285,-0.07292272164375196
zero,label9_recall,top_1pct,0.01,11,0.4039995588721832,0.4888143512434285,-0.08481479237124528
zero,major_component_mean_recall,full,1.0,1024,0.4122618684692827,0.4122618684692827,0.0
zero,major_component_mean_recall,top_10pct,0.1,103,0.3508696459818733,0.4122618684692827,-0.06139222248740939
zero,major_component_mean_recall,top_5pct,0.05,52,0.3415804736349679,0.4122618684692827,-0.07068139483431479
zero,major_component_mean_recall,top_1pct,0.01,11,0.32845957620957816,0.4122618684692827,-0.08380229225970454
shuffled_xy,label9_iou,full,1.0,1024,0.07150713441726093,0.07150713441726093,0.0
shuffled_xy,label9_iou,top_10pct,0.1,103,0.09104781664019009,0.07150713441726093,0.01954068222292915
shuffled_xy,label9_iou,top_5pct,0.05,52,0.09530560625621519,0.07150713441726093,0.023798471838954255
shuffled_xy,label9_iou,top_1pct,0.01,11,0.10590571348590655,0.07150713441726093,0.034398579068645616
shuffled_xy,label9_recall,full,1.0,1024,0.4888143512434284,0.4888143512434284,0.0
shuffled_xy,label9_recall,top_10pct,0.1,103,0.42745927865608757,0.4888143512434284,-0.06135507258734085
shuffled_xy,label9_recall,top_5pct,0.05,52,0.41463187035366567,0.4888143512434284,-0.07418248088976276
shuffled_xy,label9_recall,top_1pct,0.01,11,0.4039995588721832,0.4888143512434284,-0.08481479237124523
shuffled_xy,major_component_mean_recall,full,1.0,1024,0.4122618684692827,0.4122618684692827,0.0
shuffled_xy,major_component_mean_recall,top_10pct,0.1,103,0.3519450168651249,0.4122618684692827,-0.060316851604157784
shuffled_xy,major_component_mean_recall,top_5pct,0.05,52,0.34051784979750227,0.4122618684692827,-0.07174401867178043
shuffled_xy,major_component_mean_recall,top_1pct,0.01,11,0.32845957620957816,0.4122618684692827,-0.08380229225970454
wrong_case,label9_iou,full,1.0,1024,0.07150713441726095,0.07150713441726095,0.0
wrong_case,label9_iou,top_10pct,0.1,103,0.09123139295083961,0.07150713441726095,0.019724258533578662
wrong_case,label9_iou,top_5pct,0.05,52,0.09510693817119312,0.07150713441726095,0.02359980375393217
wrong_case,label9_iou,top_1pct,0.01,11,0.1088821707683183,0.07150713441726095,0.03737503635105735
wrong_case,label9_recall,full,1.0,1024,0.4888143512434285,0.4888143512434285,0.0
wrong_case,label9_recall,top_10pct,0.1,103,0.4287666016276758,0.4888143512434285,-0.060047749615752655
wrong_case,label9_recall,top_5pct,0.05,52,0.4158916295996765,0.4888143512434285,-0.07292272164375196
wrong_case,label9_recall,top_1pct,0.01,11,0.41557916406278717,0.4888143512434285,-0.07323518718064131
wrong_case,major_component_mean_recall,full,1.0,1024,0.41226186846928253,0.41226186846928253,0.0
wrong_case,major_component_mean_recall,top_10pct,0.1,103,0.353959098061946,0.41226186846928253,-0.05830277040733656
wrong_case,major_component_mean_recall,top_5pct,0.05,52,0.3415804736349679,0.41226186846928253,-0.07068139483431463
wrong_case,major_component_mean_recall,top_1pct,0.01,11,0.33787173802504045,0.41226186846928253,-0.07439013044424209
