observation,metric,subset,fraction,count,mean,full_mean,enrichment
correct,label9_iou,full,1.0,4,0.076810754058611,0.076810754058611,0.0
correct,label9_iou,top_10pct,0.1,1,0.08730933954466902,0.076810754058611,0.010498585486058018
correct,label9_iou,top_5pct,0.05,1,0.08730933954466902,0.076810754058611,0.010498585486058018
correct,label9_iou,top_1pct,0.01,1,0.08730933954466902,0.076810754058611,0.010498585486058018
correct,label9_recall,full,1.0,4,0.49716942984229684,0.49716942984229684,0.0
correct,label9_recall,top_10pct,0.1,1,0.46987464617873026,0.49716942984229684,-0.02729478366356658
correct,label9_recall,top_5pct,0.05,1,0.46987464617873026,0.49716942984229684,-0.02729478366356658
correct,label9_recall,top_1pct,0.01,1,0.46987464617873026,0.49716942984229684,-0.02729478366356658
correct,major_component_mean_recall,full,1.0,4,0.42387466044047406,0.42387466044047406,0.0
correct,major_component_mean_recall,top_10pct,0.1,1,0.4070806056933586,0.42387466044047406,-0.016794054747115483
correct,major_component_mean_recall,top_5pct,0.05,1,0.4070806056933586,0.42387466044047406,-0.016794054747115483
correct,major_component_mean_recall,top_1pct,0.01,1,0.4070806056933586,0.42387466044047406,-0.016794054747115483
zero,label9_iou,full,1.0,4,0.076810754058611,0.076810754058611,0.0
zero,label9_iou,top_10pct,0.1,1,0.08730933954466902,0.076810754058611,0.010498585486058018
zero,label9_iou,top_5pct,0.05,1,0.08730933954466902,0.076810754058611,0.010498585486058018
zero,label9_iou,top_1pct,0.01,1,0.08730933954466902,0.076810754058611,0.010498585486058018
zero,label9_recall,full,1.0,4,0.49716942984229684,0.49716942984229684,0.0
zero,label9_recall,top_10pct,0.1,1,0.46987464617873026,0.49716942984229684,-0.02729478366356658
zero,label9_recall,top_5pct,0.05,1,0.46987464617873026,0.49716942984229684,-0.02729478366356658
zero,label9_recall,top_1pct,0.01,1,0.46987464617873026,0.49716942984229684,-0.02729478366356658
zero,major_component_mean_recall,full,1.0,4,0.42387466044047406,0.42387466044047406,0.0
zero,major_component_mean_recall,top_10pct,0.1,1,0.4070806056933586,0.42387466044047406,-0.016794054747115483
zero,major_component_mean_recall,top_5pct,0.05,1,0.4070806056933586,0.42387466044047406,-0.016794054747115483
zero,major_component_mean_recall,top_1pct,0.01,1,0.4070806056933586,0.42387466044047406,-0.016794054747115483
shuffled_xy,label9_iou,full,1.0,4,0.076810754058611,0.076810754058611,0.0
shuffled_xy,label9_iou,top_10pct,0.1,1,0.08730933954466902,0.076810754058611,0.010498585486058018
shuffled_xy,label9_iou,top_5pct,0.05,1,0.08730933954466902,0.076810754058611,0.010498585486058018
shuffled_xy,label9_iou,top_1pct,0.01,1,0.08730933954466902,0.076810754058611,0.010498585486058018
shuffled_xy,label9_recall,full,1.0,4,0.49716942984229684,0.49716942984229684,0.0
shuffled_xy,label9_recall,top_10pct,0.1,1,0.46987464617873026,0.49716942984229684,-0.02729478366356658
shuffled_xy,label9_recall,top_5pct,0.05,1,0.46987464617873026,0.49716942984229684,-0.02729478366356658
shuffled_xy,label9_recall,top_1pct,0.01,1,0.46987464617873026,0.49716942984229684,-0.02729478366356658
shuffled_xy,major_component_mean_recall,full,1.0,4,0.42387466044047406,0.42387466044047406,0.0
shuffled_xy,major_component_mean_recall,top_10pct,0.1,1,0.4070806056933586,0.42387466044047406,-0.016794054747115483
shuffled_xy,major_component_mean_recall,top_5pct,0.05,1,0.4070806056933586,0.42387466044047406,-0.016794054747115483
shuffled_xy,major_component_mean_recall,top_1pct,0.01,1,0.4070806056933586,0.42387466044047406,-0.016794054747115483
wrong_case,label9_iou,full,1.0,4,0.076810754058611,0.076810754058611,0.0
wrong_case,label9_iou,top_10pct,0.1,1,0.08730933954466902,0.076810754058611,0.010498585486058018
wrong_case,label9_iou,top_5pct,0.05,1,0.08730933954466902,0.076810754058611,0.010498585486058018
wrong_case,label9_iou,top_1pct,0.01,1,0.08730933954466902,0.076810754058611,0.010498585486058018
wrong_case,label9_recall,full,1.0,4,0.49716942984229684,0.49716942984229684,0.0
wrong_case,label9_recall,top_10pct,0.1,1,0.46987464617873026,0.49716942984229684,-0.02729478366356658
wrong_case,label9_recall,top_5pct,0.05,1,0.46987464617873026,0.49716942984229684,-0.02729478366356658
wrong_case,label9_recall,top_1pct,0.01,1,0.46987464617873026,0.49716942984229684,-0.02729478366356658
wrong_case,major_component_mean_recall,full,1.0,4,0.42387466044047406,0.42387466044047406,0.0
wrong_case,major_component_mean_recall,top_10pct,0.1,1,0.4070806056933586,0.42387466044047406,-0.016794054747115483
wrong_case,major_component_mean_recall,top_5pct,0.05,1,0.4070806056933586,0.42387466044047406,-0.016794054747115483
wrong_case,major_component_mean_recall,top_1pct,0.01,1,0.4070806056933586,0.42387466044047406,-0.016794054747115483
