sample_id,truth_component_rank,truth_component_voxels,recovered_voxels,recall,candidate_id,retrospective_only,used_for_ranking
0,1,571,546,0.9562171628721541,candidate_000000,True,False
0,2,517,383,0.7408123791102514,candidate_000000,True,False
0,3,487,26,0.053388090349075976,candidate_000000,True,False
0,4,415,0,0.0,candidate_000000,True,False
0,5,301,286,0.9501661129568106,candidate_000000,True,False
1,1,571,146,0.25569176882662,candidate_000001,True,False
1,2,517,413,0.7988394584139265,candidate_000001,True,False
1,3,487,0,0.0,candidate_000001,True,False
1,4,415,0,0.0,candidate_000001,True,False
1,5,301,232,0.770764119601329,candidate_000001,True,False
2,1,571,92,0.16112084063047286,candidate_000002,True,False
2,2,517,403,0.7794970986460348,candidate_000002,True,False
2,3,487,303,0.62217659137577,candidate_000002,True,False
2,4,415,13,0.03132530120481928,candidate_000002,True,False
2,5,301,299,0.9933554817275747,candidate_000002,True,False
3,1,571,287,0.5026269702276708,candidate_000003,True,False
3,2,517,410,0.793036750483559,candidate_000003,True,False
3,3,487,3,0.006160164271047228,candidate_000003,True,False
3,4,415,0,0.0,candidate_000003,True,False
3,5,301,222,0.7375415282392026,candidate_000003,True,False
