observation,metric,spearman_rho,desired_direction
correct,global_accuracy,-0.9999999999999998,negative
correct,truth_present_mean_iou,-0.9999999999999998,negative
correct,label9_iou,-0.7999999999999998,negative
correct,label9_recall,0.5999999999999999,negative
correct,major_component_mean_recall,0.5999999999999999,negative
zero,global_accuracy,-0.9999999999999998,negative
zero,truth_present_mean_iou,-0.9999999999999998,negative
zero,label9_iou,-0.7999999999999998,negative
zero,label9_recall,0.5999999999999999,negative
zero,major_component_mean_recall,0.5999999999999999,negative
shuffled_xy,global_accuracy,-0.9999999999999998,negative
shuffled_xy,truth_present_mean_iou,-0.9999999999999998,negative
shuffled_xy,label9_iou,-0.7999999999999998,negative
shuffled_xy,label9_recall,0.5999999999999999,negative
shuffled_xy,major_component_mean_recall,0.5999999999999999,negative
wrong_case,global_accuracy,-0.9999999999999998,negative
wrong_case,truth_present_mean_iou,-0.9999999999999998,negative
wrong_case,label9_iou,-0.7999999999999998,negative
wrong_case,label9_recall,0.5999999999999999,negative
wrong_case,major_component_mean_recall,0.5999999999999999,negative
