step,t,w_t,geo_loss,grad_norm,prior_velocity_norm,guided_velocity_norm
0,0.0,0.0,4.777985572814941,0.04874247685074806,2050.7119140625,2050.7119140625
1,0.03125,0.0,4.761505603790283,0.0506826750934124,2034.6685791015625,2034.6685791015625
2,0.0625,0.0,4.74320125579834,0.05276651307940483,2033.5118408203125,2033.5118408203125
3,0.09375,0.0,4.722719669342041,0.0550227127969265,2030.9710693359375,2030.9710693359375
4,0.125,0.0,4.699845314025879,0.05747012421488762,2031.9091796875,2031.9091796875
5,0.15625,0.0,4.674088954925537,0.06013498827815056,2034.08642578125,2034.08642578125
6,0.1875,0.0,4.644975662231445,0.06304780393838882,2030.2430419921875,2030.2430419921875
7,0.21875,0.0,4.611994743347168,0.06623581796884537,2031.322021484375,2031.322021484375
8,0.25,0.0,4.574440002441406,0.06974446028470993,2031.695068359375,2031.695068359375
9,0.28125,0.0,4.5314621925354,0.07362128049135208,2030.043701171875,2030.043701171875
10,0.3125,0.0,4.481912136077881,0.0779227539896965,2035.4183349609375,2035.4183349609375
11,0.34375,0.0,4.424107074737549,0.08273185044527054,2032.7567138671875,2032.7567138671875
12,0.375,0.0,4.356480598449707,0.08809947222471237,2028.431640625,2028.431640625
13,0.40625,0.0,4.276696681976318,0.09409134089946747,2025.7078857421875,2025.7078857421875
14,0.4375,0.0,4.182187080383301,0.10080220550298691,2025.2127685546875,2025.2127685546875
15,0.46875,0.0,4.069180011749268,0.10836631804704666,2016.7884521484375,2016.7884521484375
16,0.5,0.0,3.933711051940918,0.11690525710582733,2025.5904541015625,2025.5904541015625
17,0.53125,0.00390625,3.768831253051758,0.12657000124454498,2022.6767578125,2022.6824951171875
18,0.5625,0.015625,3.5668396949768066,0.13704349100589752,2031.458984375,2031.4866943359375
19,0.59375,0.03515625,3.314682722091675,0.14785873889923096,2022.140869140625,2022.21826171875
20,0.625,0.0625,3.0006892681121826,0.1586010903120041,2017.97705078125,2018.1470947265625
21,0.65625,0.09765625,2.6112194061279297,0.16886204481124878,2035.1883544921875,2035.510986328125
22,0.6875,0.140625,2.134315252304077,0.17634834349155426,2026.2440185546875,2026.7921142578125
23,0.71875,0.19140625,1.5860506296157837,0.17438846826553345,2032.590576171875,2033.3936767578125
24,0.75,0.25,1.024705410003662,0.1572563201189041,2031.513671875,2032.478759765625
25,0.78125,0.31640625,0.5499541759490967,0.13269394636154175,2023.40673828125,2024.2965087890625
26,0.8125,0.390625,0.25479456782341003,0.11095373332500458,2042.5018310546875,2042.975830078125
27,0.84375,0.47265625,0.16943234205245972,0.07742025703191757,2036.25537109375,2036.1485595703125
28,0.875,0.5625,0.19345246255397797,0.03321312367916107,2055.455078125,2055.2958984375
29,0.90625,0.66015625,0.20874764025211334,0.016662124544382095,2073.9423828125,2073.896240234375
30,0.9375,0.765625,0.21185646951198578,0.005320561584085226,2089.205078125,2089.196533203125
31,0.96875,0.87890625,0.21200360357761383,0.0013507939875125885,2162.520751953125,2162.52490234375
0,0.0,0.0,4.776943206787109,0.04748067259788513,2051.37255859375,2051.37255859375
1,0.03125,0.0,4.758986473083496,0.0493449941277504,2035.485595703125,2035.485595703125
2,0.0625,0.0,4.739086151123047,0.05134505406022072,2034.3712158203125,2034.3712158203125
