sample_id,path,geo_misfit,geo_rank,voxel_accuracy,mean_iou,borehole_consistency
0,project/geodata-3d-conditional/guided-results/rel_alpha_0/sample_0.pt,0.2318601906299591,13,0.5530409216880798,0.14092878997325897,0.9999855160713196
1,project/geodata-3d-conditional/guided-results/rel_alpha_0/sample_1.pt,0.21683025360107422,10,0.5651286840438843,0.14890122413635254,0.9999276399612427
2,project/geodata-3d-conditional/guided-results/rel_alpha_0/sample_2.pt,0.1814824938774109,3,0.5653514266014099,0.1500217616558075,0.9999421238899231
3,project/geodata-3d-conditional/guided-results/rel_alpha_0/sample_3.pt,0.24912713468074799,15,0.5135329365730286,0.13522964715957642,0.9999276399612427
4,project/geodata-3d-conditional/guided-results/rel_alpha_0/sample_4.pt,0.19625285267829895,4,0.5637822151184082,0.14800314605236053,1.0
5,project/geodata-3d-conditional/guided-results/rel_alpha_0/sample_5.pt,0.2142600566148758,9,0.5194452404975891,0.14066050946712494,0.9999855160713196
6,project/geodata-3d-conditional/guided-results/rel_alpha_0/sample_6.pt,0.2026965171098709,5,0.5422489643096924,0.14398249983787537,1.0
7,project/geodata-3d-conditional/guided-results/rel_alpha_0/sample_7.pt,0.2101052701473236,7,0.5489104390144348,0.13894280791282654,0.9999566078186035
8,project/geodata-3d-conditional/guided-results/rel_alpha_0/sample_8.pt,0.23769627511501312,14,0.5573789477348328,0.1480112224817276,0.9999566078186035
9,project/geodata-3d-conditional/guided-results/rel_alpha_0/sample_9.pt,0.21153397858142853,8,0.587542712688446,0.1577695608139038,0.9999710321426392
10,project/geodata-3d-conditional/guided-results/rel_alpha_0/sample_10.pt,0.1766713261604309,2,0.5545797348022461,0.14516663551330566,0.9999566078186035
11,project/geodata-3d-conditional/guided-results/rel_alpha_0/sample_11.pt,0.2060541957616806,6,0.5370858907699585,0.14454928040504456,0.9998842477798462
12,project/geodata-3d-conditional/guided-results/rel_alpha_0/sample_12.pt,0.2285127192735672,12,0.5303535461425781,0.13525140285491943,1.0
13,project/geodata-3d-conditional/guided-results/rel_alpha_0/sample_13.pt,0.2539638876914978,16,0.5297056436538696,0.14427730441093445,1.0
14,project/geodata-3d-conditional/guided-results/rel_alpha_0/sample_14.pt,0.16860541701316833,1,0.5839487910270691,0.16262401640415192,0.9999710321426392
15,project/geodata-3d-conditional/guided-results/rel_alpha_0/sample_15.pt,0.21732360124588013,11,0.5686618685722351,0.1511794775724411,0.9999566078186035
