sample_id,from_label,to_label,voxel_count,is_changed
0,-1,-1,77676,False
0,-1,0,201,True
0,-1,1,143,True
0,-1,2,123,True
0,-1,3,63,True
0,-1,4,35,True
0,-1,5,96,True
0,-1,6,125,True
0,-1,7,144,True
0,-1,8,71,True
0,-1,9,402,True
0,-1,10,213,True
0,-1,11,46,True
0,-1,12,20,True
0,-1,13,100,True
0,0,-1,39,True
0,0,0,10815,False
0,0,1,133,True
0,0,2,131,True
0,0,3,85,True
0,0,4,67,True
0,0,5,112,True
0,0,6,131,True
0,0,7,108,True
0,0,8,75,True
0,0,9,356,True
0,0,10,194,True
0,0,11,67,True
0,0,12,44,True
0,0,13,66,True
0,1,-1,29,True
0,1,0,211,True
0,1,1,12201,False
0,1,2,101,True
0,1,3,72,True
0,1,4,61,True
0,1,5,141,True
0,1,6,140,True
0,1,7,117,True
0,1,8,57,True
0,1,9,441,True
0,1,10,208,True
0,1,11,64,True
0,1,12,43,True
0,1,13,80,True
0,2,-1,23,True
0,2,0,240,True
0,2,1,168,True
0,2,2,17241,False
0,2,3,66,True
0,2,4,57,True
0,2,5,134,True
0,2,6,126,True
0,2,7,137,True
0,2,8,61,True
0,2,9,449,True
0,2,10,242,True
0,2,11,70,True
0,2,12,21,True
0,2,13,91,True
0,3,-1,11,True
0,3,0,238,True
0,3,1,163,True
0,3,2,116,True
0,3,3,12421,False
0,3,4,51,True
0,3,5,125,True
0,3,6,121,True
0,3,7,156,True
0,3,8,69,True
0,3,9,416,True
0,3,10,227,True
0,3,11,28,True
0,3,12,23,True
0,3,13,101,True
0,4,-1,13,True
0,4,0,223,True
0,4,1,167,True
0,4,2,104,True
0,4,3,65,True
0,4,4,10506,False
0,4,5,112,True
0,4,6,107,True
0,4,7,125,True
0,4,8,58,True
0,4,9,386,True
0,4,10,186,True
0,4,11,39,True
0,4,12,16,True
0,4,13,97,True
0,5,-1,26,True
0,5,0,235,True
0,5,1,174,True
0,5,2,125,True
0,5,3,70,True
0,5,4,44,True
0,5,5,10868,False
0,5,6,106,True
0,5,7,132,True
0,5,8,90,True
0,5,9,382,True
0,5,10,170,True
0,5,11,48,True
0,5,12,14,True
0,5,13,105,True
0,6,-1,20,True
0,6,0,178,True
0,6,1,144,True
0,6,2,104,True
0,6,3,58,True
0,6,4,43,True
0,6,5,83,True
0,6,6,9910,False
0,6,7,141,True
0,6,8,63,True
0,6,9,345,True
0,6,10,160,True
0,6,11,50,True
0,6,12,21,True
0,6,13,78,True
0,7,-1,31,True
0,7,0,196,True
0,7,1,138,True
0,7,2,129,True
0,7,3,84,True
0,7,4,57,True
0,7,5,121,True
0,7,6,113,True
0,7,7,10569,False
0,7,8,64,True
0,7,9,305,True
0,7,10,195,True
0,7,11,55,True
0,7,12,35,True
0,7,13,52,True
0,8,-1,20,True
0,8,0,216,True
0,8,1,133,True
0,8,2,92,True
0,8,3,70,True
0,8,4,44,True
0,8,5,128,True
0,8,6,135,True
0,8,7,142,True
0,8,8,12358,False
0,8,9,392,True
0,8,10,213,True
0,8,11,45,True
0,8,12,32,True
0,8,13,76,True
0,9,-1,33,True
0,9,0,175,True
0,9,1,135,True
0,9,2,83,True
0,9,3,71,True
0,9,4,51,True
0,9,5,104,True
0,9,6,93,True
0,9,7,126,True
0,9,8,78,True
0,9,9,11221,False
0,9,10,176,True
0,9,11,57,True
0,9,12,22,True
0,9,13,98,True
0,10,-1,26,True
0,10,0,244,True
0,10,1,137,True
0,10,2,113,True
0,10,3,63,True
0,10,4,49,True
0,10,5,91,True
0,10,6,69,True
0,10,7,146,True
0,10,8,96,True
0,10,9,403,True
0,10,10,11816,False
0,10,11,54,True
0,10,12,20,True
0,10,13,117,True
0,11,-1,9,True
0,11,0,279,True
0,11,1,165,True
0,11,2,104,True
0,11,3,57,True
0,11,4,53,True
0,11,5,119,True
0,11,6,156,True
0,11,7,148,True
0,11,8,57,True
0,11,9,467,True
0,11,10,224,True
0,11,11,13709,False
0,11,12,20,True
0,11,13,105,True
0,12,-1,19,True
0,12,0,184,True
0,12,1,116,True
0,12,2,101,True
0,12,3,64,True
0,12,4,26,True
0,12,5,70,True
0,12,6,78,True
0,12,7,101,True
0,12,8,56,True
0,12,9,313,True
0,12,10,128,True
0,12,11,50,True
0,12,12,7865,False
0,12,13,93,True
0,13,-1,25,True
0,13,0,174,True
0,13,1,108,True
0,13,2,89,True
0,13,3,49,True
0,13,4,46,True
0,13,5,95,True
0,13,6,104,True
0,13,7,87,True
0,13,8,48,True
0,13,9,298,True
0,13,10,170,True
0,13,11,42,True
0,13,12,18,True
0,13,13,8218,False
